Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:48:10.843841000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.880654875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.884111042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.885871750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.886296083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.886748875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.887170292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.887623167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.888044167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.889369292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.889792792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.891118167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.891540792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.891992917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.892415250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.893740708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.894163583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.894616583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.895037875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.895490958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.895912375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.896364375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.896786500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.898112167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.898535208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.898987958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.899409542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.899862375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.900283375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.901608750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.902032000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.902484583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.902906417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.904231625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.904654750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.905107042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.905528750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.906853542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.907277208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.907730292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.908151375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.908604458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.909025708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.910351167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.910774250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.912099208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.912522833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.913848333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.914271375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.914724083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.915145667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.915597542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.916019458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.916472625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.916894250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.918218458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.918641958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.919095917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.919516458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.919968917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.920391292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.921716167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.922139375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.922592792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.923013708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.923466625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.923887875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.925212667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.925636208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.926961000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.927384833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:48:11.928709042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:48:11.929133375+00:00,1,1,1,1,1,1,1,1
