Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:50:59.512614000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.715470125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.718886083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.720688833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.721070833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.721563792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.721945083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.722438083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.722819000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.724149958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.724567542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.725896792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.726316208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.726810750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.727190542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.728522125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.728938875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.729432583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.729813125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.730306792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.730687625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.731181167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.731561708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.732893458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.733309958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.733804167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.734184458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.734678458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.735058583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.736424417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.736806958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.737301000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.737681375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.739047083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.739429458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.739922917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.740303708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.741670292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.742052667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.742546083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.742926750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.743421042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.743801083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.745167417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.745549750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:50:59.746880458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:50:59.747297917+00:00,1,1,1,1,1,1,1,1
