Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:49:41.908938000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.297526500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.301022792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.302745542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.303207583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.303619917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.304082917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.304495292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.304957250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.306241417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.306631667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.307990708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.308380042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.308865500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.309254292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.310613458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.311002750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.311489000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.311876958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.312362958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.312751208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.313236792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.313625667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.314984583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.315373958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.315860000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.316321958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.316735083+00:00,0,1,1,1,1,1,1,1
