Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:54:46.565757000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.900599167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.904047167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.905818167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.906232250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.906692792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.907106333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.907568500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.907980542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.909314250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.909728750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.911063125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.911477750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.911939625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.912351917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.913686125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.914100542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.914561708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.914974500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.915435167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.915848458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.916310625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.916723000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.918057958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.918471875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.918932792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.919345917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.919808042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.920220125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.921553958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.921968667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.922429833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.922842292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.924176333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.924591167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.925052375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.925465750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.926798875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.927213917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.927674792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.928088042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.928549875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.928962375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.930297208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.930711042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.932044167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.932459167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.933793125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.934207833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.934668958+00:00,0,1,1,1,1,1,1,1
