Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:52:06.405251000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.349066708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.352515042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.354282750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.354700083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.355159833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.355574458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.356033958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.356448792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.357779833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.358197042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.359529833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.359945500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.360405208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.360820000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.362152083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.362568333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.363028167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.363442542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.363904083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.364316833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.364776917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.365191083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.366522208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.366939500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.367399292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.367813958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.368273625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.368687917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.370019417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.370436542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.370896875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.371310792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.372642292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.373059167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.373518750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.373933458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.375264917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.375681958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.376141708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.376556167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.377015083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.377430417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.378761500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.379178958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.380510542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.380927333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.382258500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.382675958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.383134750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.383550125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.384009083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.384424417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.384882917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.385298458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.385758917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.386172750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.387504542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.387921208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.388380375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.388795500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.390126292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.390544000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.391003625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.391418333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.391878750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.392292375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.393624875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.394040875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.395370708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.395789375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.396248375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.396663583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.397995375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.398412250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.399742125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.400160542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.400650667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.401034667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.402366375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.402783167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.403273208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.403657458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.404988292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.405405917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.484883250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.488334250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.490100875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.490519500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.491010500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.491393833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.491884250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:07.492268042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:07.493597500+00:00,0,1,1,1,1,1,1,1
