Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:52:31.381922000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.777766792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.781218875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.782983875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.783404083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.783895208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.784278458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.784770292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.785152750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.786482333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.786901167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.788230875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.788649667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.789140708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.789523792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.790855542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.791272167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.791763292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.792146292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.792637375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.793020583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.793512292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.793895042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.795223458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.795643333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.796134417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.796517625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.797008792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.797391958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.798721917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.799140500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.799632125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.800014750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.801379000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.801763292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.802254292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.802637500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.803966625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.804386000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.804876792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.805260250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.805751750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.806134375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.807464000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.807882958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.808374542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.808757042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.809248667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.809631375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.810088375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.810505667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.810997083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.811379792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.812708292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.813128250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.813619708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.814002542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.815331083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.815750917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.816242792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.816625333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.817989667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.818373667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.819702500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.820122083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.820613417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.820996208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.821488875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.821870458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.822328875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.822744875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.823236458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.823619125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.824947625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.825367625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.826731625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.827115958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.828445833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.828864500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.830193833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.830612875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.831104625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:31.831487167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:31.831978667+00:00,0,1,1,1,1,1,1,1
