Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:52:46.723945000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.513179042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.516600917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.518397167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.518786042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.519273875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.519660333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.520147625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.520534667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.521894417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.522283208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.523642542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.524031792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.524517875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.524905917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.526265000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.526654417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.527141167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.527528625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.528016083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.528402833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.528889500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.529277167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.530635958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.531025583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.531513000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.531900000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.532386750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.532774083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.534133958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.534522625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.535009542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.535396833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.536756125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.537145458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.537632375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.538019625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.539378875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.539768167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.540254667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.540642333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.541130125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.541516708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:47.542876083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:47.543265083+00:00,1,1,1,1,1,1,1,1
