Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:52:19.972277000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.930070833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.933521000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.935289375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.935706458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.936165417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.936580667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.937070583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.937454792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.938787333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.939203375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.940534250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.940952042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.941411292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.941826125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.943156292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.943574500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.944065250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.944448750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.944908458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.945323125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.945813417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.946197292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.947527167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.947945750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.948404542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.948820125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.949280125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.949694333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.951024292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.951443042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.951933333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.952317250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.953646167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.954065458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.954555583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.954939833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.956269625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.956688250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.957178667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.957562667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:52:20.958052875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:52:20.958436708+00:00,1,1,1,1,1,1,1,1
