Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:56:44.692823000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:44.990154458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:44.993576458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:44.995373208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:44.995761875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:44.996248792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:44.996636000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:44.997122042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:44.997510125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:44.998869792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:44.999282667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.000618083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.001031333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.001493250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.001905750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.003239875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.003654458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.004115583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.004528667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.004991167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.005403167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.005863750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.006277417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.007610583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.008026083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.008488125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.008900167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.009361292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.009774292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.011109125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.011523042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.011984708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.012397458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.013730958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.014145750+00:00,1,1,1,1,1,1,1,1
