Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:56:53.964301000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.655456208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.658878167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.660673125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.661063250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.661549458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.661937500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.662423875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.662811792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.664170667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.664560167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.665919583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.666308792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.666794917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.667183042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.668541333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.668931500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.669417375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.669805625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.670291917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.670679958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.671166292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.671554292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.672912167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.673302708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.673789708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.674177083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.674662667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.675051083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.676409250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.676799667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.677286917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.677673958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.679033417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.679422500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.679908750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.680296708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.681655833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:54.682045250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:54.682531625+00:00,0,1,1,1,1,1,1,1
