Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:55:22.255230000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.763202167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.766651292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.768420500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.768836500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.769297208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.769710875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.770170417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.770585042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.771916875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.772333292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.773665542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.774081708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.774541958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.774955958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.776287292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.776704417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.777164958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.777578667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.778038917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.778452833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.778912042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.779327042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.780658083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.781075375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.781534625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.781949708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.782410417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.782823958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.784155500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.784572292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.785031125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.785446750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.786778417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.787195083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.787656500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.788069458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.789401125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.789818125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.790277083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.790692292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.791151708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.791566500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.792898208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.793314833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.794646125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:55:22.795063292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:55:22.796393917+00:00,0,1,1,1,1,1,1,1
