Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:57:26.120374000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.122957292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.126380125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.128175083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.128639875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.129051042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.129439500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.129925917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.130388625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.131672875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.132062375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.133420125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.133883292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.134296917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.134757333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.136043917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.136433458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.136920000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.137307792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.137792958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.138254750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.138669125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.139128083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.140415208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.140804917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.141291500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.141679083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.142164292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.142553375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.143912542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.144301792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.144788000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.145176083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.146534583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.146924750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.147410333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.147799000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.149158042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.149547583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.150033625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.150421792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.150908042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.151296083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.152654583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.153044458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.153530667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.153989917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.154404542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.154866750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.155279042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:57:26.155667333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:57:26.156152625+00:00,0,1,1,1,1,1,1,1
