Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:56:34.743263000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.318189125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.321687375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.323407625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.323797292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.324283625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.324671542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.325158208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.325545833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.326905458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.327294208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.328652583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.329042667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.329529292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.329916875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.331275458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.331665417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.332151125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.332539708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.333026125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.333413958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.333899875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.334288333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.335646708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.336036500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.336522792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.336910875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.337397000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.337785083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.339143542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.339533542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.340019125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.340407792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.341766583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.342156333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.342642500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.343030583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.344388500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.344778958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.345265333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.345653375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.346140375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.346527500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.347885792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.348275958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.349634542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.350024417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.351383792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.351772917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.352258917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.352647208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.353133250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.353521500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.354880083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.355270083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.356628542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.357018500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.357504583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.357892750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.359251375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.359641208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.360999625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.361389625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.361875958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.362263875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.362750958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.363138208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.364496625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.364886542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.365373000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.365760917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.367119375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.367509250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.367995958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.368383583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.368869542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.369257792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.369744833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.370132000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.371491542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.371880625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.372367333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.372754875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.374113958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.374503375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.454007625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.457458167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.459225167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.459643417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.460133125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.460517500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.460975875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.461391833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.462723083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.463140292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.464470750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.464888833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.465346375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.465762792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.467093875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.467511500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.467971333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.468385750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.468844417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.469259958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.469717500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.470134292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.471463875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.471882625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.472372833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.472756875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.473247125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.473631125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.474960542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.475379625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.475837917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.476253833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.477583333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.478002417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.478492833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.478876667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.480206875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.480625083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.481116208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.481499333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.481989833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.482373625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.483702625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.484121917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.485452917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.485870417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.487198958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.487618958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.488109792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.488493167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.488984292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.489367250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.490695500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.491115750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.492445583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.492864375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.493354500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.493738583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.495068167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.495487000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.496816500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.497235500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.497726333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.498109833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.498601417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.498983750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.500347542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.500732375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.501223625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:35.501606333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:35.502937042+00:00,0,1,1,1,1,1,1,1
