Time [s],Channel 0
2026-08-23T10:39:41.985180000+00:00,1
2026-08-23T10:39:42.849174708+00:00,0
2026-08-23T10:39:42.852710625+00:00,1
2026-08-23T10:39:42.854403708+00:00,0
2026-08-23T10:39:42.854865792+00:00,1
2026-08-23T10:39:42.855272625+00:00,0
2026-08-23T10:39:42.855731792+00:00,1
2026-08-23T10:39:42.856142500+00:00,0
2026-08-23T10:39:42.856603708+00:00,1
2026-08-23T10:39:42.857880125+00:00,0
2026-08-23T10:39:42.858340250+00:00,1
2026-08-23T10:39:42.859622292+00:00,0
2026-08-23T10:39:42.860085833+00:00,1
2026-08-23T10:39:42.860491500+00:00,0
2026-08-23T10:39:42.860952625+00:00,1
2026-08-23T10:39:42.862232167+00:00,0
2026-08-23T10:39:42.862690792+00:00,1
2026-08-23T10:39:42.863100458+00:00,0
2026-08-23T10:39:42.863558792+00:00,1
2026-08-23T10:39:42.863972000+00:00,0
2026-08-23T10:39:42.864433292+00:00,1
2026-08-23T10:39:42.864841750+00:00,0
2026-08-23T10:39:42.865305000+00:00,1
2026-08-23T10:39:42.866579958+00:00,0
2026-08-23T10:39:42.867044167+00:00,1
2026-08-23T10:39:42.867452917+00:00,0
2026-08-23T10:39:42.867912167+00:00,1
2026-08-23T10:39:42.868318833+00:00,0
2026-08-23T10:39:42.868781333+00:00,1
2026-08-23T10:39:42.870060167+00:00,0
2026-08-23T10:39:42.870524042+00:00,1
2026-08-23T10:39:42.870928875+00:00,0
2026-08-23T10:39:42.871389458+00:00,1
2026-08-23T10:39:42.872670375+00:00,0
2026-08-23T10:39:42.873131583+00:00,1
2026-08-23T10:39:42.873538917+00:00,0
2026-08-23T10:39:42.874001458+00:00,1
2026-08-23T10:39:42.875277625+00:00,0
2026-08-23T10:39:42.875739500+00:00,1
2026-08-23T10:39:42.876148792+00:00,0
2026-08-23T10:39:42.876609958+00:00,1
2026-08-23T10:39:42.877019417+00:00,0
2026-08-23T10:39:42.877482792+00:00,1
2026-08-23T10:39:42.878757667+00:00,0
2026-08-23T10:39:42.879220167+00:00,1
2026-08-23T10:39:42.879628458+00:00,0
2026-08-23T10:39:42.880092583+00:00,1
2026-08-23T10:39:42.880498542+00:00,0
2026-08-23T10:39:42.880966458+00:00,1
2026-08-23T10:39:42.881366125+00:00,0
2026-08-23T10:39:42.881823375+00:00,1
2026-08-23T10:39:42.882238708+00:00,0
2026-08-23T10:39:42.882695250+00:00,1
2026-08-23T10:39:42.883107958+00:00,0
2026-08-23T10:39:42.883569542+00:00,1
2026-08-23T10:39:42.883976167+00:00,0
2026-08-23T10:39:42.884436292+00:00,1
2026-08-23T10:39:42.885717000+00:00,0
2026-08-23T10:39:42.886179500+00:00,1
2026-08-23T10:39:42.887456583+00:00,0
2026-08-23T10:39:42.887918042+00:00,1
2026-08-23T10:39:42.888327333+00:00,0
2026-08-23T10:39:42.888786375+00:00,1
2026-08-23T10:39:42.890064833+00:00,0
2026-08-23T10:39:42.890525792+00:00,1
2026-08-23T10:39:42.890936583+00:00,0
2026-08-23T10:39:42.891398167+00:00,1
2026-08-23T10:39:42.891805333+00:00,0
2026-08-23T10:39:42.892262542+00:00,1
2026-08-23T10:39:42.893543667+00:00,0
2026-08-23T10:39:42.894006083+00:00,1
2026-08-23T10:39:42.894414583+00:00,0
2026-08-23T10:39:42.894878292+00:00,1
2026-08-23T10:39:42.896152958+00:00,0
2026-08-23T10:39:42.896621958+00:00,1
2026-08-23T10:39:42.897023417+00:00,0
2026-08-23T10:39:42.897486917+00:00,1
2026-08-23T10:39:42.897894833+00:00,0
2026-08-23T10:39:42.898362500+00:00,1
2026-08-23T10:39:42.899632792+00:00,0
2026-08-23T10:39:42.900094625+00:00,1
2026-08-23T10:39:42.900504083+00:00,0
2026-08-23T10:39:42.900966167+00:00,1
2026-08-23T10:39:42.901372958+00:00,0
2026-08-23T10:39:42.901833250+00:00,1
2026-08-23T10:39:42.976891958+00:00,0
2026-08-23T10:39:42.980423167+00:00,1
2026-08-23T10:39:42.982120250+00:00,0
2026-08-23T10:39:42.982589042+00:00,1
2026-08-23T10:39:42.982987750+00:00,0
2026-08-23T10:39:42.983448167+00:00,1
2026-08-23T10:39:42.983858583+00:00,0
2026-08-23T10:39:42.984319375+00:00,1
2026-08-23T10:39:42.985597292+00:00,0
2026-08-23T10:39:42.986057667+00:00,1
2026-08-23T10:39:42.987338875+00:00,0
2026-08-23T10:39:42.987800417+00:00,1
2026-08-23T10:39:42.988207042+00:00,0
2026-08-23T10:39:42.988668875+00:00,1
2026-08-23T10:39:42.989948417+00:00,0
2026-08-23T10:39:42.990330833+00:00,1
2026-08-23T10:39:42.990817208+00:00,0
2026-08-23T10:39:42.991277750+00:00,1
2026-08-23T10:39:42.991689042+00:00,0
2026-08-23T10:39:42.992145708+00:00,1
2026-08-23T10:39:42.992559333+00:00,0
2026-08-23T10:39:42.993017083+00:00,1
2026-08-23T10:39:42.994297167+00:00,0
2026-08-23T10:39:42.994756583+00:00,1
2026-08-23T10:39:42.995168167+00:00,0
2026-08-23T10:39:42.995629875+00:00,1
2026-08-23T10:39:42.996036333+00:00,0
2026-08-23T10:39:42.996492958+00:00,1
2026-08-23T10:39:42.997776958+00:00,0
2026-08-23T10:39:42.998238083+00:00,1
2026-08-23T10:39:42.998645333+00:00,0
2026-08-23T10:39:42.999113167+00:00,1
2026-08-23T10:39:43.000386417+00:00,0
2026-08-23T10:39:43.000846667+00:00,1
2026-08-23T10:39:43.001256208+00:00,0
2026-08-23T10:39:43.001719000+00:00,1
2026-08-23T10:39:43.002993875+00:00,0
2026-08-23T10:39:43.003456333+00:00,1
2026-08-23T10:39:43.003866292+00:00,0
2026-08-23T10:39:43.004326292+00:00,1
2026-08-23T10:39:43.004736083+00:00,0
