Time [s],Channel 0
2026-08-23T10:41:28.879388000+00:00,1
2026-08-23T10:41:29.173630917+00:00,0
2026-08-23T10:41:29.177170417+00:00,1
2026-08-23T10:41:29.178859583+00:00,0
2026-08-23T10:41:29.179327958+00:00,1
2026-08-23T10:41:29.179727667+00:00,0
2026-08-23T10:41:29.180196000+00:00,1
2026-08-23T10:41:29.180598625+00:00,0
2026-08-23T10:41:29.181059083+00:00,1
2026-08-23T10:41:29.182336917+00:00,0
2026-08-23T10:41:29.182798333+00:00,1
2026-08-23T10:41:29.184078250+00:00,0
2026-08-23T10:41:29.184535958+00:00,1
2026-08-23T10:41:29.184947500+00:00,0
2026-08-23T10:41:29.185406958+00:00,1
2026-08-23T10:41:29.186688292+00:00,0
2026-08-23T10:41:29.187152167+00:00,1
2026-08-23T10:41:29.187555958+00:00,0
2026-08-23T10:41:29.188017875+00:00,1
2026-08-23T10:41:29.188427917+00:00,0
2026-08-23T10:41:29.188890083+00:00,1
2026-08-23T10:41:29.189298708+00:00,0
2026-08-23T10:41:29.189765875+00:00,1
2026-08-23T10:41:29.191036083+00:00,0
2026-08-23T10:41:29.191498250+00:00,1
2026-08-23T10:41:29.191908208+00:00,0
2026-08-23T10:41:29.192369958+00:00,1
2026-08-23T10:41:29.192774250+00:00,0
2026-08-23T10:41:29.193243333+00:00,1
2026-08-23T10:41:29.194516708+00:00,0
2026-08-23T10:41:29.194974208+00:00,1
2026-08-23T10:41:29.195384750+00:00,0
2026-08-23T10:41:29.195845458+00:00,1
2026-08-23T10:41:29.197125750+00:00,0
2026-08-23T10:41:29.197585333+00:00,1
2026-08-23T10:41:29.197996250+00:00,0
2026-08-23T10:41:29.198454875+00:00,1
2026-08-23T10:41:29.199733333+00:00,0
2026-08-23T10:41:29.200196125+00:00,1
2026-08-23T10:41:29.200605250+00:00,0
2026-08-23T10:41:29.201072875+00:00,1
2026-08-23T10:41:29.201474417+00:00,0
2026-08-23T10:41:29.201934042+00:00,1
2026-08-23T10:41:29.203212708+00:00,0
2026-08-23T10:41:29.203675792+00:00,1
2026-08-23T10:41:29.204084292+00:00,0
2026-08-23T10:41:29.204544625+00:00,1
2026-08-23T10:41:29.204954708+00:00,0
2026-08-23T10:41:29.205416500+00:00,1
2026-08-23T10:41:29.205822083+00:00,0
2026-08-23T10:41:29.206289792+00:00,1
2026-08-23T10:41:29.206694417+00:00,0
2026-08-23T10:41:29.207156667+00:00,1
2026-08-23T10:41:29.207564083+00:00,0
2026-08-23T10:41:29.208022542+00:00,1
2026-08-23T10:41:29.209302875+00:00,0
2026-08-23T10:41:29.209760375+00:00,1
2026-08-23T10:41:29.211042208+00:00,0
2026-08-23T10:41:29.211510000+00:00,1
2026-08-23T10:41:29.212780375+00:00,0
2026-08-23T10:41:29.213239542+00:00,1
2026-08-23T10:41:29.213652208+00:00,0
2026-08-23T10:41:29.214119833+00:00,1
2026-08-23T10:41:29.215390125+00:00,0
2026-08-23T10:41:29.215849417+00:00,1
2026-08-23T10:41:29.216261500+00:00,0
2026-08-23T10:41:29.216724333+00:00,1
2026-08-23T10:41:29.217129875+00:00,0
2026-08-23T10:41:29.217588458+00:00,1
2026-08-23T10:41:29.218868583+00:00,0
2026-08-23T10:41:29.219331250+00:00,1
2026-08-23T10:41:29.220610542+00:00,0
2026-08-23T10:41:29.221073833+00:00,1
2026-08-23T10:41:29.222350083+00:00,0
2026-08-23T10:41:29.222813083+00:00,1
2026-08-23T10:41:29.223221417+00:00,0
2026-08-23T10:41:29.223680750+00:00,1
2026-08-23T10:41:29.224086750+00:00,0
2026-08-23T10:41:29.224549708+00:00,1
2026-08-23T10:41:29.225829250+00:00,0
2026-08-23T10:41:29.226291708+00:00,1
2026-08-23T10:41:29.226698000+00:00,0
2026-08-23T10:41:29.227159500+00:00,1
2026-08-23T10:41:29.227570042+00:00,0
2026-08-23T10:41:29.228032000+00:00,1
2026-08-23T10:41:29.303088375+00:00,0
2026-08-23T10:41:29.306622750+00:00,1
2026-08-23T10:41:29.308316250+00:00,0
2026-08-23T10:41:29.308780333+00:00,1
2026-08-23T10:41:29.309185458+00:00,0
2026-08-23T10:41:29.309647875+00:00,1
2026-08-23T10:41:29.310055000+00:00,0
2026-08-23T10:41:29.310436875+00:00,1
2026-08-23T10:41:29.311793958+00:00,0
2026-08-23T10:41:29.312257500+00:00,1
2026-08-23T10:41:29.313535583+00:00,0
2026-08-23T10:41:29.313995917+00:00,1
2026-08-23T10:41:29.314404792+00:00,0
2026-08-23T10:41:29.314862875+00:00,1
2026-08-23T10:41:29.316145792+00:00,0
2026-08-23T10:41:29.316604875+00:00,1
2026-08-23T10:41:29.317014583+00:00,0
2026-08-23T10:41:29.317470167+00:00,1
2026-08-23T10:41:29.317885375+00:00,0
2026-08-23T10:41:29.318340667+00:00,1
2026-08-23T10:41:29.318755167+00:00,0
2026-08-23T10:41:29.319223250+00:00,1
2026-08-23T10:41:29.320494708+00:00,0
2026-08-23T10:41:29.320955958+00:00,1
2026-08-23T10:41:29.321364625+00:00,0
2026-08-23T10:41:29.321832458+00:00,1
2026-08-23T10:41:29.322232458+00:00,0
2026-08-23T10:41:29.322697792+00:00,1
2026-08-23T10:41:29.323973042+00:00,0
2026-08-23T10:41:29.324435208+00:00,1
2026-08-23T10:41:29.324842333+00:00,0
2026-08-23T10:41:29.325302250+00:00,1
2026-08-23T10:41:29.326582875+00:00,0
2026-08-23T10:41:29.327045083+00:00,1
2026-08-23T10:41:29.327453083+00:00,0
2026-08-23T10:41:29.327906917+00:00,1
2026-08-23T10:41:29.329190208+00:00,0
2026-08-23T10:41:29.329653167+00:00,1
2026-08-23T10:41:29.330062833+00:00,0
2026-08-23T10:41:29.330524292+00:00,1
2026-08-23T10:41:29.330932375+00:00,0
2026-08-23T10:41:29.331392292+00:00,1
2026-08-23T10:41:29.332669500+00:00,0
2026-08-23T10:41:29.333135625+00:00,1
2026-08-23T10:41:29.333541417+00:00,0
2026-08-23T10:41:29.334003500+00:00,1
2026-08-23T10:41:29.334412458+00:00,0
2026-08-23T10:41:29.334873292+00:00,1
2026-08-23T10:41:29.335280167+00:00,0
2026-08-23T10:41:29.335740458+00:00,1
2026-08-23T10:41:29.336151542+00:00,0
2026-08-23T10:41:29.336612625+00:00,1
2026-08-23T10:41:29.337021917+00:00,0
2026-08-23T10:41:29.337482583+00:00,1
2026-08-23T10:41:29.338759417+00:00,0
2026-08-23T10:41:29.339220875+00:00,1
2026-08-23T10:41:29.340499458+00:00,0
2026-08-23T10:41:29.340967958+00:00,1
2026-08-23T10:41:29.342238375+00:00,0
2026-08-23T10:41:29.342696833+00:00,1
2026-08-23T10:41:29.343109458+00:00,0
2026-08-23T10:41:29.343566833+00:00,1
2026-08-23T10:41:29.344848292+00:00,0
2026-08-23T10:41:29.345310417+00:00,1
2026-08-23T10:41:29.345718375+00:00,0
2026-08-23T10:41:29.346181208+00:00,1
2026-08-23T10:41:29.346588000+00:00,0
2026-08-23T10:41:29.347043458+00:00,1
2026-08-23T10:41:29.348325917+00:00,0
2026-08-23T10:41:29.348793917+00:00,1
2026-08-23T10:41:29.350068042+00:00,0
2026-08-23T10:41:29.350525250+00:00,1
2026-08-23T10:41:29.351806833+00:00,0
2026-08-23T10:41:29.352263875+00:00,1
2026-08-23T10:41:29.352678208+00:00,0
2026-08-23T10:41:29.353140083+00:00,1
2026-08-23T10:41:29.353545708+00:00,0
2026-08-23T10:41:29.354006583+00:00,1
2026-08-23T10:41:29.355287417+00:00,0
2026-08-23T10:41:29.355750583+00:00,1
2026-08-23T10:41:29.356155167+00:00,0
2026-08-23T10:41:29.356617708+00:00,1
2026-08-23T10:41:29.357027250+00:00,0
2026-08-23T10:41:29.357494583+00:00,1
2026-08-23T10:41:29.432545292+00:00,0
2026-08-23T10:41:29.436075417+00:00,1
2026-08-23T10:41:29.437773250+00:00,0
2026-08-23T10:41:29.438234917+00:00,1
2026-08-23T10:41:29.438642292+00:00,0
2026-08-23T10:41:29.439102500+00:00,1
2026-08-23T10:41:29.439511875+00:00,0
2026-08-23T10:41:29.439971167+00:00,1
2026-08-23T10:41:29.441249833+00:00,0
2026-08-23T10:41:29.441718917+00:00,1
2026-08-23T10:41:29.442991125+00:00,0
2026-08-23T10:41:29.443454542+00:00,1
2026-08-23T10:41:29.443859792+00:00,0
2026-08-23T10:41:29.444319750+00:00,1
2026-08-23T10:41:29.445601292+00:00,0
2026-08-23T10:41:29.446063333+00:00,1
2026-08-23T10:41:29.446469333+00:00,0
2026-08-23T10:41:29.446931542+00:00,1
2026-08-23T10:41:29.447341167+00:00,0
2026-08-23T10:41:29.447800417+00:00,1
2026-08-23T10:41:29.448211917+00:00,0
2026-08-23T10:41:29.448674000+00:00,1
2026-08-23T10:41:29.449950125+00:00,0
2026-08-23T10:41:29.450408708+00:00,1
2026-08-23T10:41:29.450821833+00:00,0
2026-08-23T10:41:29.451281625+00:00,1
2026-08-23T10:41:29.451688917+00:00,0
2026-08-23T10:41:29.452149667+00:00,1
2026-08-23T10:41:29.453429667+00:00,0
2026-08-23T10:41:29.453892625+00:00,1
2026-08-23T10:41:29.454297875+00:00,0
2026-08-23T10:41:29.454760500+00:00,1
2026-08-23T10:41:29.456039125+00:00,0
2026-08-23T10:41:29.456500750+00:00,1
2026-08-23T10:41:29.456908917+00:00,0
2026-08-23T10:41:29.457368875+00:00,1
2026-08-23T10:41:29.458646667+00:00,0
2026-08-23T10:41:29.459109833+00:00,1
2026-08-23T10:41:29.459518792+00:00,0
2026-08-23T10:41:29.459980792+00:00,1
2026-08-23T10:41:29.460388333+00:00,0
2026-08-23T10:41:29.460850667+00:00,1
2026-08-23T10:41:29.462126833+00:00,0
2026-08-23T10:41:29.462588000+00:00,1
2026-08-23T10:41:29.462998375+00:00,0
2026-08-23T10:41:29.463459083+00:00,1
2026-08-23T10:41:29.463868208+00:00,0
2026-08-23T10:41:29.464331792+00:00,1
2026-08-23T10:41:29.464735667+00:00,0
2026-08-23T10:41:29.465203708+00:00,1
2026-08-23T10:41:29.465607042+00:00,0
2026-08-23T10:41:29.466075042+00:00,1
2026-08-23T10:41:29.466477417+00:00,0
2026-08-23T10:41:29.466939667+00:00,1
2026-08-23T10:41:29.468216000+00:00,0
2026-08-23T10:41:29.468675333+00:00,1
2026-08-23T10:41:29.469955542+00:00,0
2026-08-23T10:41:29.470415375+00:00,1
2026-08-23T10:41:29.471693875+00:00,0
2026-08-23T10:41:29.472157083+00:00,1
2026-08-23T10:41:29.472565958+00:00,0
2026-08-23T10:41:29.473029750+00:00,1
2026-08-23T10:41:29.474304167+00:00,0
2026-08-23T10:41:29.474761958+00:00,1
2026-08-23T10:41:29.475175125+00:00,0
2026-08-23T10:41:29.475638708+00:00,1
2026-08-23T10:41:29.476043625+00:00,0
2026-08-23T10:41:29.476505667+00:00,1
2026-08-23T10:41:29.477781917+00:00,0
2026-08-23T10:41:29.478250833+00:00,1
2026-08-23T10:41:29.479524667+00:00,0
2026-08-23T10:41:29.479987542+00:00,1
2026-08-23T10:41:29.481263042+00:00,0
2026-08-23T10:41:29.481726000+00:00,1
2026-08-23T10:41:29.482134125+00:00,0
2026-08-23T10:41:29.482591208+00:00,1
2026-08-23T10:41:29.483001625+00:00,0
2026-08-23T10:41:29.483463208+00:00,1
2026-08-23T10:41:29.484743917+00:00,0
2026-08-23T10:41:29.485205708+00:00,1
2026-08-23T10:41:29.485609708+00:00,0
2026-08-23T10:41:29.486071208+00:00,1
2026-08-23T10:41:29.486484375+00:00,0
2026-08-23T10:41:29.486944417+00:00,1
2026-08-23T10:41:29.562001500+00:00,0
2026-08-23T10:41:29.565535500+00:00,1
2026-08-23T10:41:29.567230458+00:00,0
2026-08-23T10:41:29.567698500+00:00,1
2026-08-23T10:41:29.568098833+00:00,0
2026-08-23T10:41:29.568559167+00:00,1
2026-08-23T10:41:29.568968250+00:00,0
2026-08-23T10:41:29.569430500+00:00,1
2026-08-23T10:41:29.570707250+00:00,0
2026-08-23T10:41:29.571171458+00:00,1
2026-08-23T10:41:29.572449208+00:00,0
2026-08-23T10:41:29.572911167+00:00,1
2026-08-23T10:41:29.573317375+00:00,0
2026-08-23T10:41:29.573778583+00:00,1
2026-08-23T10:41:29.575060000+00:00,0
2026-08-23T10:41:29.575523042+00:00,1
2026-08-23T10:41:29.575926833+00:00,0
2026-08-23T10:41:29.576387917+00:00,1
2026-08-23T10:41:29.576798875+00:00,0
2026-08-23T10:41:29.577260708+00:00,1
2026-08-23T10:41:29.577668833+00:00,0
2026-08-23T10:41:29.578131750+00:00,1
2026-08-23T10:41:29.579407375+00:00,0
2026-08-23T10:41:29.579871125+00:00,1
2026-08-23T10:41:29.580278875+00:00,0
2026-08-23T10:41:29.580740375+00:00,1
2026-08-23T10:41:29.581146792+00:00,0
2026-08-23T10:41:29.581613292+00:00,1
2026-08-23T10:41:29.582886708+00:00,0
2026-08-23T10:41:29.583347958+00:00,1
2026-08-23T10:41:29.583755333+00:00,0
2026-08-23T10:41:29.584217375+00:00,1
