Time [s],Channel 0
2026-08-23T10:47:00.195673000+00:00,1
2026-08-23T10:47:00.886142500+00:00,0
2026-08-23T10:47:00.889599292+00:00,1
2026-08-23T10:47:00.891373708+00:00,0
2026-08-23T10:47:00.891756083+00:00,1
2026-08-23T10:47:00.892241625+00:00,0
2026-08-23T10:47:00.892647958+00:00,1
2026-08-23T10:47:00.893112417+00:00,0
2026-08-23T10:47:00.893493583+00:00,1
2026-08-23T10:47:00.894849792+00:00,0
2026-08-23T10:47:00.895233083+00:00,1
2026-08-23T10:47:00.896591417+00:00,0
2026-08-23T10:47:00.896975125+00:00,1
2026-08-23T10:47:00.897460875+00:00,0
2026-08-23T10:47:00.897842417+00:00,1
2026-08-23T10:47:00.899200917+00:00,0
2026-08-23T10:47:00.899609292+00:00,1
2026-08-23T10:47:00.900070667+00:00,0
2026-08-23T10:47:00.900451958+00:00,1
2026-08-23T10:47:00.900942292+00:00,0
2026-08-23T10:47:00.901323625+00:00,1
2026-08-23T10:47:00.901811250+00:00,0
2026-08-23T10:47:00.902194292+00:00,1
2026-08-23T10:47:00.903549917+00:00,0
2026-08-23T10:47:00.903957792+00:00,1
2026-08-23T10:47:00.904420667+00:00,0
2026-08-23T10:47:00.904803375+00:00,1
2026-08-23T10:47:00.905288583+00:00,0
2026-08-23T10:47:00.905695042+00:00,1
2026-08-23T10:47:00.907030833+00:00,0
2026-08-23T10:47:00.907412500+00:00,1
2026-08-23T10:47:00.907898667+00:00,0
2026-08-23T10:47:00.908280208+00:00,1
2026-08-23T10:47:00.909639417+00:00,0
2026-08-23T10:47:00.910047125+00:00,1
2026-08-23T10:47:00.910509833+00:00,0
2026-08-23T10:47:00.910916000+00:00,1
2026-08-23T10:47:00.912246458+00:00,0
2026-08-23T10:47:00.912630125+00:00,1
2026-08-23T10:47:00.913119500+00:00,0
2026-08-23T10:47:00.913525000+00:00,1
2026-08-23T10:47:00.913989417+00:00,0
2026-08-23T10:47:00.914370750+00:00,1
2026-08-23T10:47:00.915726583+00:00,0
2026-08-23T10:47:00.916134333+00:00,1
2026-08-23T10:47:00.917466000+00:00,0
2026-08-23T10:47:00.917849292+00:00,1
2026-08-23T10:47:00.919206208+00:00,0
2026-08-23T10:47:00.919613375+00:00,1
2026-08-23T10:47:00.920075875+00:00,0
2026-08-23T10:47:00.920458833+00:00,1
2026-08-23T10:47:00.920944875+00:00,0
2026-08-23T10:47:00.921327458+00:00,1
