Time [s],Channel 0
2026-08-23T10:49:01.237333000+00:00,1
2026-08-23T10:49:01.417012958+00:00,0
2026-08-23T10:49:01.420520792+00:00,1
2026-08-23T10:49:01.422241667+00:00,0
2026-08-23T10:49:01.422676958+00:00,1
2026-08-23T10:49:01.423109292+00:00,0
2026-08-23T10:49:01.423544958+00:00,1
2026-08-23T10:49:01.423979958+00:00,0
2026-08-23T10:49:01.424440583+00:00,1
2026-08-23T10:49:01.425718667+00:00,0
2026-08-23T10:49:01.426152833+00:00,1
2026-08-23T10:49:01.427430042+00:00,0
2026-08-23T10:49:01.427919708+00:00,1
2026-08-23T10:49:01.428328292+00:00,0
2026-08-23T10:49:01.428763000+00:00,1
2026-08-23T10:49:01.430070125+00:00,0
2026-08-23T10:49:01.430529667+00:00,1
2026-08-23T10:49:01.430938167+00:00,0
2026-08-23T10:49:01.431398833+00:00,1
2026-08-23T10:49:01.431780125+00:00,0
2026-08-23T10:49:01.432270708+00:00,1
2026-08-23T10:49:01.432679625+00:00,0
2026-08-23T10:49:01.433114958+00:00,1
2026-08-23T10:49:01.434418208+00:00,0
2026-08-23T10:49:01.434879417+00:00,1
2026-08-23T10:49:01.435289667+00:00,0
2026-08-23T10:49:01.435722083+00:00,1
2026-08-23T10:49:01.436156458+00:00,0
2026-08-23T10:49:01.436591250+00:00,1
2026-08-23T10:49:01.437898250+00:00,0
2026-08-23T10:49:01.438357292+00:00,1
2026-08-23T10:49:01.438766792+00:00,0
2026-08-23T10:49:01.439120458+00:00,1
2026-08-23T10:49:01.440507542+00:00,0
2026-08-23T10:49:01.440967000+00:00,1
2026-08-23T10:49:01.441376708+00:00,0
2026-08-23T10:49:01.441812625+00:00,1
2026-08-23T10:49:01.443115542+00:00,0
2026-08-23T10:49:01.443574000+00:00,1
2026-08-23T10:49:01.443987208+00:00,0
2026-08-23T10:49:01.444421542+00:00,1
2026-08-23T10:49:01.444856917+00:00,0
2026-08-23T10:49:01.445316958+00:00,1
2026-08-23T10:49:01.446595167+00:00,0
2026-08-23T10:49:01.447026875+00:00,1
2026-08-23T10:49:01.447466792+00:00,0
2026-08-23T10:49:01.447926125+00:00,1
2026-08-23T10:49:01.448336667+00:00,0
2026-08-23T10:49:01.448690833+00:00,1
2026-08-23T10:49:01.449204708+00:00,0
2026-08-23T10:49:01.449639208+00:00,1
2026-08-23T10:49:01.450075667+00:00,0
2026-08-23T10:49:01.450511500+00:00,1
2026-08-23T10:49:01.450946000+00:00,0
2026-08-23T10:49:01.451406750+00:00,1
2026-08-23T10:49:01.452684542+00:00,0
2026-08-23T10:49:01.453112292+00:00,1
2026-08-23T10:49:01.453556208+00:00,0
2026-08-23T10:49:01.454016542+00:00,1
2026-08-23T10:49:01.454422958+00:00,0
2026-08-23T10:49:01.454884125+00:00,1
2026-08-23T10:49:01.456164375+00:00,0
2026-08-23T10:49:01.456623625+00:00,1
2026-08-23T10:49:01.457873333+00:00,0
2026-08-23T10:49:01.458363667+00:00,1
2026-08-23T10:49:01.458774708+00:00,0
2026-08-23T10:49:01.459209792+00:00,1
2026-08-23T10:49:01.459643125+00:00,0
2026-08-23T10:49:01.460103250+00:00,1
2026-08-23T10:49:01.461382333+00:00,0
2026-08-23T10:49:01.461816167+00:00,1
2026-08-23T10:49:01.463120833+00:00,0
2026-08-23T10:49:01.463581583+00:00,1
2026-08-23T10:49:01.463991708+00:00,0
2026-08-23T10:49:01.464423000+00:00,1
2026-08-23T10:49:01.465699500+00:00,0
2026-08-23T10:49:01.466166042+00:00,1
2026-08-23T10:49:01.467469625+00:00,0
2026-08-23T10:49:01.467928625+00:00,1
2026-08-23T10:49:01.469181292+00:00,0
2026-08-23T10:49:01.469644917+00:00,1
2026-08-23T10:49:01.470080000+00:00,0
2026-08-23T10:49:01.470514917+00:00,1
2026-08-23T10:49:01.470951583+00:00,0
2026-08-23T10:49:01.471386125+00:00,1
2026-08-23T10:49:01.546470833+00:00,0
2026-08-23T10:49:01.549980083+00:00,1
2026-08-23T10:49:01.551699458+00:00,0
2026-08-23T10:49:01.552135000+00:00,1
2026-08-23T10:49:01.552568000+00:00,0
2026-08-23T10:49:01.552998417+00:00,1
2026-08-23T10:49:01.553438792+00:00,0
2026-08-23T10:49:01.553871125+00:00,1
2026-08-23T10:49:01.555176583+00:00,0
2026-08-23T10:49:01.555635542+00:00,1
2026-08-23T10:49:01.556918500+00:00,0
2026-08-23T10:49:01.557349875+00:00,1
2026-08-23T10:49:01.557787167+00:00,0
2026-08-23T10:49:01.558220875+00:00,1
2026-08-23T10:49:01.559528000+00:00,0
2026-08-23T10:49:01.559987292+00:00,1
2026-08-23T10:49:01.560395583+00:00,0
