Time [s],Channel 0
2026-08-23T10:49:12.070459000+00:00,1
2026-08-23T10:49:12.452975417+00:00,0
2026-08-23T10:49:12.456507750+00:00,1
2026-08-23T10:49:12.458204458+00:00,0
2026-08-23T10:49:12.458662250+00:00,1
2026-08-23T10:49:12.459071500+00:00,0
2026-08-23T10:49:12.459426000+00:00,1
2026-08-23T10:49:12.459942458+00:00,0
2026-08-23T10:49:12.460401917+00:00,1
2026-08-23T10:49:12.461680958+00:00,0
2026-08-23T10:49:12.462140750+00:00,1
2026-08-23T10:49:12.463422250+00:00,0
2026-08-23T10:49:12.463854208+00:00,1
2026-08-23T10:49:12.464290625+00:00,0
2026-08-23T10:49:12.464749583+00:00,1
2026-08-23T10:49:12.466032208+00:00,0
2026-08-23T10:49:12.466466333+00:00,1
2026-08-23T10:49:12.466900542+00:00,0
2026-08-23T10:49:12.467357917+00:00,1
2026-08-23T10:49:12.467772000+00:00,0
2026-08-23T10:49:12.468232208+00:00,1
2026-08-23T10:49:12.468642458+00:00,0
2026-08-23T10:49:12.469077375+00:00,1
2026-08-23T10:49:12.470381500+00:00,0
2026-08-23T10:49:12.470812750+00:00,1
2026-08-23T10:49:12.471251583+00:00,0
2026-08-23T10:49:12.471683792+00:00,1
2026-08-23T10:49:12.472118667+00:00,0
2026-08-23T10:49:12.472546750+00:00,1
2026-08-23T10:49:12.473860458+00:00,0
2026-08-23T10:49:12.474318208+00:00,1
2026-08-23T10:49:12.474728667+00:00,0
2026-08-23T10:49:12.475186375+00:00,1
2026-08-23T10:49:12.476441458+00:00,0
2026-08-23T10:49:12.476903458+00:00,1
2026-08-23T10:49:12.477339667+00:00,0
2026-08-23T10:49:12.477799292+00:00,1
2026-08-23T10:49:12.479047500+00:00,0
2026-08-23T10:49:12.479511417+00:00,1
2026-08-23T10:49:12.479948792+00:00,0
2026-08-23T10:49:12.480376708+00:00,1
2026-08-23T10:49:12.480819208+00:00,0
2026-08-23T10:49:12.481251042+00:00,1
2026-08-23T10:49:12.482557375+00:00,0
2026-08-23T10:49:12.483017000+00:00,1
2026-08-23T10:49:12.483428083+00:00,0
2026-08-23T10:49:12.483886542+00:00,1
2026-08-23T10:49:12.484298917+00:00,0
2026-08-23T10:49:12.484756542+00:00,1
2026-08-23T10:49:12.485166542+00:00,0
2026-08-23T10:49:12.485626875+00:00,1
2026-08-23T10:49:12.486038125+00:00,0
2026-08-23T10:49:12.486498125+00:00,1
2026-08-23T10:49:12.487776375+00:00,0
2026-08-23T10:49:12.488236000+00:00,1
2026-08-23T10:49:12.489515417+00:00,0
