Time [s],Channel 0
2026-08-23T10:46:32.290838000+00:00,1
2026-08-23T10:46:32.673483625+00:00,0
2026-08-23T10:46:32.677025000+00:00,1
2026-08-23T10:46:32.678713125+00:00,0
2026-08-23T10:46:32.679120542+00:00,1
2026-08-23T10:46:32.679581500+00:00,0
2026-08-23T10:46:32.679988667+00:00,1
2026-08-23T10:46:32.680451250+00:00,0
2026-08-23T10:46:32.680834042+00:00,1
2026-08-23T10:46:32.682190042+00:00,0
2026-08-23T10:46:32.682597792+00:00,1
2026-08-23T10:46:32.683932833+00:00,0
2026-08-23T10:46:32.684314917+00:00,1
2026-08-23T10:46:32.684800583+00:00,0
2026-08-23T10:46:32.685182500+00:00,1
2026-08-23T10:46:32.686541542+00:00,0
2026-08-23T10:46:32.686924292+00:00,1
2026-08-23T10:46:32.687410083+00:00,0
2026-08-23T10:46:32.687791958+00:00,1
2026-08-23T10:46:32.688282208+00:00,0
2026-08-23T10:46:32.688736792+00:00,1
2026-08-23T10:46:32.689152000+00:00,0
2026-08-23T10:46:32.689558833+00:00,1
2026-08-23T10:46:32.690889708+00:00,0
2026-08-23T10:46:32.691272958+00:00,1
2026-08-23T10:46:32.691761625+00:00,0
2026-08-23T10:46:32.692143375+00:00,1
2026-08-23T10:46:32.692629833+00:00,0
2026-08-23T10:46:32.693035167+00:00,1
2026-08-23T10:46:32.694369042+00:00,0
2026-08-23T10:46:32.694752625+00:00,1
2026-08-23T10:46:32.695237792+00:00,0
2026-08-23T10:46:32.695620208+00:00,1
2026-08-23T10:46:32.696979125+00:00,0
2026-08-23T10:46:32.697386583+00:00,1
2026-08-23T10:46:32.697848750+00:00,0
2026-08-23T10:46:32.698231250+00:00,1
2026-08-23T10:46:32.699586958+00:00,0
2026-08-23T10:46:32.699994708+00:00,1
2026-08-23T10:46:32.700458375+00:00,0
2026-08-23T10:46:32.700865000+00:00,1
2026-08-23T10:46:32.701329708+00:00,0
2026-08-23T10:46:32.701710833+00:00,1
2026-08-23T10:46:32.703067667+00:00,0
2026-08-23T10:46:32.703474125+00:00,1
2026-08-23T10:46:32.704806000+00:00,0
2026-08-23T10:46:32.705213625+00:00,1
2026-08-23T10:46:32.706545750+00:00,0
2026-08-23T10:46:32.706952333+00:00,1
2026-08-23T10:46:32.707415792+00:00,0
2026-08-23T10:46:32.707798458+00:00,1
2026-08-23T10:46:32.708285458+00:00,0
2026-08-23T10:46:32.708667375+00:00,1
2026-08-23T10:46:32.709155875+00:00,0
2026-08-23T10:46:32.709562375+00:00,1
2026-08-23T10:46:32.710026375+00:00,0
2026-08-23T10:46:32.710407917+00:00,1
2026-08-23T10:46:32.711763708+00:00,0
2026-08-23T10:46:32.712147167+00:00,1
2026-08-23T10:46:32.713503500+00:00,0
2026-08-23T10:46:32.713885833+00:00,1
2026-08-23T10:46:32.714375042+00:00,0
2026-08-23T10:46:32.714780667+00:00,1
2026-08-23T10:46:32.715246000+00:00,0
2026-08-23T10:46:32.715626667+00:00,1
2026-08-23T10:46:32.716115542+00:00,0
2026-08-23T10:46:32.716497125+00:00,1
2026-08-23T10:46:32.717855000+00:00,0
2026-08-23T10:46:32.718237667+00:00,1
2026-08-23T10:46:32.719593458+00:00,0
2026-08-23T10:46:32.719976958+00:00,1
2026-08-23T10:46:32.720465875+00:00,0
2026-08-23T10:46:32.720847250+00:00,1
2026-08-23T10:46:32.722202583+00:00,0
2026-08-23T10:46:32.722586208+00:00,1
