Time [s],Channel 0
2026-08-23T10:46:52.050259000+00:00,1
2026-08-23T10:46:52.276569792+00:00,0
2026-08-23T10:46:52.280111167+00:00,1
2026-08-23T10:46:52.281798458+00:00,0
2026-08-23T10:46:52.282182083+00:00,1
2026-08-23T10:46:52.282667875+00:00,0
2026-08-23T10:46:52.283049500+00:00,1
2026-08-23T10:46:52.283537500+00:00,0
2026-08-23T10:46:52.283919833+00:00,1
2026-08-23T10:46:52.285275542+00:00,0
2026-08-23T10:46:52.285658792+00:00,1
2026-08-23T10:46:52.287017917+00:00,0
2026-08-23T10:46:52.287425875+00:00,1
2026-08-23T10:46:52.287886583+00:00,0
2026-08-23T10:46:52.288292000+00:00,1
2026-08-23T10:46:52.289626583+00:00,0
2026-08-23T10:46:52.290035000+00:00,1
2026-08-23T10:46:52.290495375+00:00,0
2026-08-23T10:46:52.290902667+00:00,1
2026-08-23T10:46:52.291367708+00:00,0
2026-08-23T10:46:52.291749250+00:00,1
2026-08-23T10:46:52.292238792+00:00,0
2026-08-23T10:46:52.292619958+00:00,1
2026-08-23T10:46:52.293975958+00:00,0
2026-08-23T10:46:52.294383667+00:00,1
2026-08-23T10:46:52.294847417+00:00,0
2026-08-23T10:46:52.295253708+00:00,1
2026-08-23T10:46:52.295715292+00:00,0
2026-08-23T10:46:52.296096875+00:00,1
2026-08-23T10:46:52.297454750+00:00,0
2026-08-23T10:46:52.297838417+00:00,1
2026-08-23T10:46:52.298324833+00:00,0
2026-08-23T10:46:52.298705958+00:00,1
2026-08-23T10:46:52.300065625+00:00,0
2026-08-23T10:46:52.300472667+00:00,1
2026-08-23T10:46:52.300934750+00:00,0
2026-08-23T10:46:52.301341042+00:00,1
2026-08-23T10:46:52.302673708+00:00,0
2026-08-23T10:46:52.303056083+00:00,1
2026-08-23T10:46:52.303545958+00:00,0
2026-08-23T10:46:52.303926500+00:00,1
2026-08-23T10:46:52.304415875+00:00,0
2026-08-23T10:46:52.304821375+00:00,1
2026-08-23T10:46:52.306152375+00:00,0
2026-08-23T10:46:52.306535625+00:00,1
2026-08-23T10:46:52.307891333+00:00,0
2026-08-23T10:46:52.308299500+00:00,1
2026-08-23T10:46:52.309631083+00:00,0
2026-08-23T10:46:52.310038667+00:00,1
2026-08-23T10:46:52.310500875+00:00,0
2026-08-23T10:46:52.310884292+00:00,1
2026-08-23T10:46:52.311371625+00:00,0
2026-08-23T10:46:52.311753167+00:00,1
2026-08-23T10:46:52.313112792+00:00,0
2026-08-23T10:46:52.313520250+00:00,1
2026-08-23T10:46:52.313980708+00:00,0
2026-08-23T10:46:52.314362625+00:00,1
2026-08-23T10:46:52.315721708+00:00,0
2026-08-23T10:46:52.316129250+00:00,1
2026-08-23T10:46:52.317461292+00:00,0
2026-08-23T10:46:52.317868417+00:00,1
2026-08-23T10:46:52.318331500+00:00,0
2026-08-23T10:46:52.318738583+00:00,1
2026-08-23T10:46:52.319199417+00:00,0
2026-08-23T10:46:52.319581792+00:00,1
2026-08-23T10:46:52.320069875+00:00,0
2026-08-23T10:46:52.320476208+00:00,1
2026-08-23T10:46:52.321810583+00:00,0
2026-08-23T10:46:52.322217458+00:00,1
2026-08-23T10:46:52.322681125+00:00,0
2026-08-23T10:46:52.323062833+00:00,1
2026-08-23T10:46:52.323551958+00:00,0
2026-08-23T10:46:52.323958000+00:00,1
2026-08-23T10:46:52.325289500+00:00,0
2026-08-23T10:46:52.325672292+00:00,1
2026-08-23T10:46:52.326160750+00:00,0
2026-08-23T10:46:52.326567292+00:00,1
2026-08-23T10:46:52.327899292+00:00,0
2026-08-23T10:46:52.328281333+00:00,1
2026-08-23T10:46:52.329637958+00:00,0
2026-08-23T10:46:52.330020792+00:00,1
2026-08-23T10:46:52.330509917+00:00,0
2026-08-23T10:46:52.330915958+00:00,1
2026-08-23T10:46:52.332246375+00:00,0
2026-08-23T10:46:52.332629417+00:00,1
2026-08-23T10:46:52.407766500+00:00,0
2026-08-23T10:46:52.411245667+00:00,1
2026-08-23T10:46:52.412994875+00:00,0
2026-08-23T10:46:52.413378375+00:00,1
2026-08-23T10:46:52.413864333+00:00,0
2026-08-23T10:46:52.414270167+00:00,1
2026-08-23T10:46:52.414734917+00:00,0
2026-08-23T10:46:52.415140542+00:00,1
2026-08-23T10:46:52.416471125+00:00,0
2026-08-23T10:46:52.416855458+00:00,1
2026-08-23T10:46:52.418214208+00:00,0
2026-08-23T10:46:52.418597292+00:00,1
2026-08-23T10:46:52.419082292+00:00,0
2026-08-23T10:46:52.419464708+00:00,1
2026-08-23T10:46:52.420823417+00:00,0
2026-08-23T10:46:52.421231250+00:00,1
2026-08-23T10:46:52.421692208+00:00,0
2026-08-23T10:46:52.422074208+00:00,1
2026-08-23T10:46:52.422564792+00:00,0
2026-08-23T10:46:52.422945833+00:00,1
2026-08-23T10:46:52.423434917+00:00,0
2026-08-23T10:46:52.423840417+00:00,1
2026-08-23T10:46:52.425173542+00:00,0
2026-08-23T10:46:52.425555083+00:00,1
2026-08-23T10:46:52.426043708+00:00,0
2026-08-23T10:46:52.426425792+00:00,1
2026-08-23T10:46:52.426911500+00:00,0
2026-08-23T10:46:52.427317167+00:00,1
2026-08-23T10:46:52.428652208+00:00,0
2026-08-23T10:46:52.429059458+00:00,1
2026-08-23T10:46:52.429520167+00:00,0
2026-08-23T10:46:52.429902500+00:00,1
2026-08-23T10:46:52.431261333+00:00,0
2026-08-23T10:46:52.431644208+00:00,1
2026-08-23T10:46:52.432130792+00:00,0
2026-08-23T10:46:52.432538083+00:00,1
2026-08-23T10:46:52.433868708+00:00,0
2026-08-23T10:46:52.434252292+00:00,1
2026-08-23T10:46:52.434740958+00:00,0
2026-08-23T10:46:52.435146875+00:00,1
2026-08-23T10:46:52.435610958+00:00,0
2026-08-23T10:46:52.435992875+00:00,1
2026-08-23T10:46:52.437348958+00:00,0
2026-08-23T10:46:52.437732208+00:00,1
2026-08-23T10:46:52.439088083+00:00,0
2026-08-23T10:46:52.439496083+00:00,1
2026-08-23T10:46:52.440827417+00:00,0
2026-08-23T10:46:52.441234958+00:00,1
2026-08-23T10:46:52.441698958+00:00,0
2026-08-23T10:46:52.442080667+00:00,1
2026-08-23T10:46:52.442567542+00:00,0
2026-08-23T10:46:52.442949792+00:00,1
2026-08-23T10:46:52.444309708+00:00,0
2026-08-23T10:46:52.444691625+00:00,1
2026-08-23T10:46:52.445177542+00:00,0
2026-08-23T10:46:52.445559042+00:00,1
2026-08-23T10:46:52.446917958+00:00,0
2026-08-23T10:46:52.447326000+00:00,1
2026-08-23T10:46:52.448657292+00:00,0
2026-08-23T10:46:52.449040042+00:00,1
2026-08-23T10:46:52.449529417+00:00,0
2026-08-23T10:46:52.449910583+00:00,1
2026-08-23T10:46:52.450396375+00:00,0
2026-08-23T10:46:52.450802583+00:00,1
2026-08-23T10:46:52.451266083+00:00,0
2026-08-23T10:46:52.451648083+00:00,1
2026-08-23T10:46:52.453005750+00:00,0
2026-08-23T10:46:52.453388625+00:00,1
2026-08-23T10:46:52.453878333+00:00,0
2026-08-23T10:46:52.454259167+00:00,1
2026-08-23T10:46:52.454748500+00:00,0
