Time [s],Channel 0
2026-08-23T10:48:53.421383000+00:00,1
2026-08-23T10:48:54.109453750+00:00,0
2026-08-23T10:48:54.112960458+00:00,1
2026-08-23T10:48:54.114682083+00:00,0
2026-08-23T10:48:54.115141167+00:00,1
2026-08-23T10:48:54.115550208+00:00,0
2026-08-23T10:48:54.116009125+00:00,1
2026-08-23T10:48:54.116420125+00:00,0
2026-08-23T10:48:54.116852958+00:00,1
2026-08-23T10:48:54.118129375+00:00,0
2026-08-23T10:48:54.118595833+00:00,1
2026-08-23T10:48:54.119901500+00:00,0
2026-08-23T10:48:54.120331625+00:00,1
2026-08-23T10:48:54.120769042+00:00,0
2026-08-23T10:48:54.121203208+00:00,1
2026-08-23T10:48:54.122510792+00:00,0
2026-08-23T10:48:54.122969750+00:00,1
2026-08-23T10:48:54.123378333+00:00,0
2026-08-23T10:48:54.123813125+00:00,1
2026-08-23T10:48:54.124250375+00:00,0
2026-08-23T10:48:54.124685875+00:00,1
2026-08-23T10:48:54.125119875+00:00,0
2026-08-23T10:48:54.125556208+00:00,1
2026-08-23T10:48:54.126858875+00:00,0
2026-08-23T10:48:54.127213667+00:00,1
2026-08-23T10:48:54.127729792+00:00,0
2026-08-23T10:48:54.128164292+00:00,1
2026-08-23T10:48:54.128597000+00:00,0
2026-08-23T10:48:54.129056542+00:00,1
2026-08-23T10:48:54.130309625+00:00,0
2026-08-23T10:48:54.130769167+00:00,1
2026-08-23T10:48:54.131206125+00:00,0
2026-08-23T10:48:54.131640833+00:00,1
2026-08-23T10:48:54.132948458+00:00,0
2026-08-23T10:48:54.133405042+00:00,1
2026-08-23T10:48:54.133817625+00:00,0
2026-08-23T10:48:54.134279000+00:00,1
2026-08-23T10:48:54.135524000+00:00,0
2026-08-23T10:48:54.135991125+00:00,1
2026-08-23T10:48:54.136427792+00:00,0
2026-08-23T10:48:54.136885833+00:00,1
2026-08-23T10:48:54.137297583+00:00,0
2026-08-23T10:48:54.137730750+00:00,1
2026-08-23T10:48:54.139035708+00:00,0
2026-08-23T10:48:54.139495250+00:00,1
2026-08-23T10:48:54.140745083+00:00,0
2026-08-23T10:48:54.141235208+00:00,1
2026-08-23T10:48:54.142514417+00:00,0
2026-08-23T10:48:54.142945333+00:00,1
2026-08-23T10:48:54.143385083+00:00,0
2026-08-23T10:48:54.143817375+00:00,1
2026-08-23T10:48:54.144253875+00:00,0
2026-08-23T10:48:54.144687250+00:00,1
2026-08-23T10:48:54.145995417+00:00,0
2026-08-23T10:48:54.146428375+00:00,1
2026-08-23T10:48:54.146863333+00:00,0
2026-08-23T10:48:54.147297458+00:00,1
2026-08-23T10:48:54.148577333+00:00,0
2026-08-23T10:48:54.149038417+00:00,1
2026-08-23T10:48:54.149472708+00:00,0
2026-08-23T10:48:54.149931583+00:00,1
2026-08-23T10:48:54.151214000+00:00,0
2026-08-23T10:48:54.151650375+00:00,1
2026-08-23T10:48:54.152082042+00:00,0
2026-08-23T10:48:54.152540917+00:00,1
2026-08-23T10:48:54.152952875+00:00,0
2026-08-23T10:48:54.153385500+00:00,1
2026-08-23T10:48:54.154692375+00:00,0
2026-08-23T10:48:54.155125000+00:00,1
2026-08-23T10:48:54.155564167+00:00,0
2026-08-23T10:48:54.155998542+00:00,1
2026-08-23T10:48:54.156433958+00:00,0
2026-08-23T10:48:54.156862833+00:00,1
2026-08-23T10:48:54.158171917+00:00,0
2026-08-23T10:48:54.158633750+00:00,1
2026-08-23T10:48:54.159911375+00:00,0
2026-08-23T10:48:54.160368625+00:00,1
2026-08-23T10:48:54.160782250+00:00,0
2026-08-23T10:48:54.161217125+00:00,1
2026-08-23T10:48:54.162520917+00:00,0
2026-08-23T10:48:54.162957250+00:00,1
2026-08-23T10:48:54.163391875+00:00,0
2026-08-23T10:48:54.163819125+00:00,1
2026-08-23T10:48:54.165129250+00:00,0
2026-08-23T10:48:54.165562125+00:00,1
2026-08-23T10:48:54.240651208+00:00,0
2026-08-23T10:48:54.244159125+00:00,1
2026-08-23T10:48:54.245851292+00:00,0
2026-08-23T10:48:54.246314542+00:00,1
2026-08-23T10:48:54.246748542+00:00,0
2026-08-23T10:48:54.247206792+00:00,1
