Time [s],Channel 0
2026-08-23T10:52:12.522722000+00:00,1
2026-08-23T10:52:12.527401292+00:00,0
2026-08-23T10:52:12.530852458+00:00,1
2026-08-23T10:52:12.532602958+00:00,0
2026-08-23T10:52:12.532985042+00:00,1
2026-08-23T10:52:12.533498083+00:00,0
2026-08-23T10:52:12.533852375+00:00,1
2026-08-23T10:52:12.534341250+00:00,0
2026-08-23T10:52:12.534747875+00:00,1
2026-08-23T10:52:12.536078958+00:00,0
2026-08-23T10:52:12.536462250+00:00,1
2026-08-23T10:52:12.537819583+00:00,0
2026-08-23T10:52:12.538204042+00:00,1
2026-08-23T10:52:12.538689542+00:00,0
2026-08-23T10:52:12.539096292+00:00,1
2026-08-23T10:52:12.540429583+00:00,0
2026-08-23T10:52:12.540813375+00:00,1
2026-08-23T10:52:12.541298625+00:00,0
2026-08-23T10:52:12.541705250+00:00,1
2026-08-23T10:52:12.542170250+00:00,0
2026-08-23T10:52:12.542577000+00:00,1
2026-08-23T10:52:12.543067958+00:00,0
2026-08-23T10:52:12.543422625+00:00,1
2026-08-23T10:52:12.544777917+00:00,0
2026-08-23T10:52:12.545186667+00:00,1
2026-08-23T10:52:12.545650208+00:00,0
2026-08-23T10:52:12.546032042+00:00,1
2026-08-23T10:52:12.546545333+00:00,0
2026-08-23T10:52:12.546899917+00:00,1
2026-08-23T10:52:12.548256792+00:00,0
2026-08-23T10:52:12.548737083+00:00,1
2026-08-23T10:52:12.549128292+00:00,0
2026-08-23T10:52:12.549533875+00:00,1
2026-08-23T10:52:12.550867042+00:00,0
2026-08-23T10:52:12.551251167+00:00,1
2026-08-23T10:52:12.551736750+00:00,0
2026-08-23T10:52:12.552120042+00:00,1
2026-08-23T10:52:12.553475375+00:00,0
2026-08-23T10:52:12.553883625+00:00,1
2026-08-23T10:52:12.554374750+00:00,0
2026-08-23T10:52:12.554729375+00:00,1
2026-08-23T10:52:12.555217292+00:00,0
2026-08-23T10:52:12.555599833+00:00,1
2026-08-23T10:52:12.556955875+00:00,0
2026-08-23T10:52:12.557338875+00:00,1
2026-08-23T10:52:12.558693958+00:00,0
2026-08-23T10:52:12.559152125+00:00,1
2026-08-23T10:52:12.560432958+00:00,0
2026-08-23T10:52:12.560914417+00:00,1
2026-08-23T10:52:12.561332542+00:00,0
2026-08-23T10:52:12.561711667+00:00,1
2026-08-23T10:52:12.562175042+00:00,0
2026-08-23T10:52:12.562580792+00:00,1
2026-08-23T10:52:12.563044667+00:00,0
2026-08-23T10:52:12.563450917+00:00,1
2026-08-23T10:52:12.563914250+00:00,0
2026-08-23T10:52:12.564321917+00:00,1
2026-08-23T10:52:12.564783000+00:00,0
2026-08-23T10:52:12.565167333+00:00,1
2026-08-23T10:52:12.566523417+00:00,0
2026-08-23T10:52:12.566930750+00:00,1
2026-08-23T10:52:12.568260125+00:00,0
2026-08-23T10:52:12.568738458+00:00,1
2026-08-23T10:52:12.569132792+00:00,0
2026-08-23T10:52:12.569540250+00:00,1
2026-08-23T10:52:12.570004958+00:00,0
2026-08-23T10:52:12.570386042+00:00,1
2026-08-23T10:52:12.571742625+00:00,0
2026-08-23T10:52:12.572151417+00:00,1
2026-08-23T10:52:12.573510875+00:00,0
2026-08-23T10:52:12.573865875+00:00,1
2026-08-23T10:52:12.574381708+00:00,0
2026-08-23T10:52:12.574761000+00:00,1
2026-08-23T10:52:12.575248958+00:00,0
2026-08-23T10:52:12.575628583+00:00,1
2026-08-23T10:52:12.576091167+00:00,0
2026-08-23T10:52:12.576473833+00:00,1
2026-08-23T10:52:12.576989542+00:00,0
2026-08-23T10:52:12.577369167+00:00,1
2026-08-23T10:52:12.578699292+00:00,0
2026-08-23T10:52:12.579107417+00:00,1
2026-08-23T10:52:12.579569542+00:00,0
2026-08-23T10:52:12.579953625+00:00,1
2026-08-23T10:52:12.581310417+00:00,0
2026-08-23T10:52:12.581694833+00:00,1
2026-08-23T10:52:12.656831542+00:00,0
2026-08-23T10:52:12.660287125+00:00,1
2026-08-23T10:52:12.662061083+00:00,0
2026-08-23T10:52:12.662468792+00:00,1
2026-08-23T10:52:12.662929625+00:00,0
2026-08-23T10:52:12.663336417+00:00,1
2026-08-23T10:52:12.663798542+00:00,0
2026-08-23T10:52:12.664205875+00:00,1
2026-08-23T10:52:12.665536375+00:00,0
2026-08-23T10:52:12.665921000+00:00,1
2026-08-23T10:52:12.667278417+00:00,0
2026-08-23T10:52:12.667662958+00:00,1
2026-08-23T10:52:12.668147000+00:00,0
2026-08-23T10:52:12.668530458+00:00,1
2026-08-23T10:52:12.669889750+00:00,0
2026-08-23T10:52:12.670372458+00:00,1
2026-08-23T10:52:12.670759375+00:00,0
2026-08-23T10:52:12.671139750+00:00,1
2026-08-23T10:52:12.671629542+00:00,0
2026-08-23T10:52:12.672011625+00:00,1
2026-08-23T10:52:12.672499792+00:00,0
2026-08-23T10:52:12.672906667+00:00,1
2026-08-23T10:52:12.674236250+00:00,0
2026-08-23T10:52:12.674620917+00:00,1
2026-08-23T10:52:12.675136458+00:00,0
2026-08-23T10:52:12.675515583+00:00,1
2026-08-23T10:52:12.675976958+00:00,0
2026-08-23T10:52:12.676383042+00:00,1
2026-08-23T10:52:12.677717792+00:00,0
2026-08-23T10:52:12.678100708+00:00,1
2026-08-23T10:52:12.678613208+00:00,0
2026-08-23T10:52:12.678968125+00:00,1
2026-08-23T10:52:12.680326917+00:00,0
2026-08-23T10:52:12.680710167+00:00,1
2026-08-23T10:52:12.681196458+00:00,0
2026-08-23T10:52:12.681578917+00:00,1
2026-08-23T10:52:12.682935125+00:00,0
2026-08-23T10:52:12.683318000+00:00,1
2026-08-23T10:52:12.683806458+00:00,0
2026-08-23T10:52:12.684213250+00:00,1
2026-08-23T10:52:12.684676083+00:00,0
2026-08-23T10:52:12.685058667+00:00,1
2026-08-23T10:52:12.686414167+00:00,0
2026-08-23T10:52:12.686822375+00:00,1
2026-08-23T10:52:12.688153125+00:00,0
