Time [s],Channel 0
2026-08-23T10:50:50.714663000+00:00,1
2026-08-23T10:50:51.574896667+00:00,0
2026-08-23T10:50:51.578323500+00:00,1
2026-08-23T10:50:51.580097000+00:00,0
2026-08-23T10:50:51.580504792+00:00,1
2026-08-23T10:50:51.580966583+00:00,0
2026-08-23T10:50:51.581347792+00:00,1
2026-08-23T10:50:51.581836958+00:00,0
2026-08-23T10:50:51.582242625+00:00,1
2026-08-23T10:50:51.583574792+00:00,0
2026-08-23T10:50:51.583957375+00:00,1
2026-08-23T10:50:51.585315167+00:00,0
2026-08-23T10:50:51.585796292+00:00,1
2026-08-23T10:50:51.586183458+00:00,0
2026-08-23T10:50:51.586591333+00:00,1
2026-08-23T10:50:51.587924875+00:00,0
2026-08-23T10:50:51.588308958+00:00,1
2026-08-23T10:50:51.588792292+00:00,0
2026-08-23T10:50:51.589200667+00:00,1
2026-08-23T10:50:51.589666375+00:00,0
2026-08-23T10:50:51.590072667+00:00,1
2026-08-23T10:50:51.590563583+00:00,0
2026-08-23T10:50:51.590918250+00:00,1
2026-08-23T10:50:51.592273667+00:00,0
2026-08-23T10:50:51.592728875+00:00,1
2026-08-23T10:50:51.593145000+00:00,0
2026-08-23T10:50:51.593552458+00:00,1
2026-08-23T10:50:51.594013167+00:00,0
2026-08-23T10:50:51.594419792+00:00,1
2026-08-23T10:50:51.595752458+00:00,0
2026-08-23T10:50:51.596137417+00:00,1
2026-08-23T10:50:51.596623958+00:00,0
2026-08-23T10:50:51.597029208+00:00,1
2026-08-23T10:50:51.598362250+00:00,0
2026-08-23T10:50:51.598746792+00:00,1
2026-08-23T10:50:51.599231750+00:00,0
2026-08-23T10:50:51.599615625+00:00,1
2026-08-23T10:50:51.600971333+00:00,0
2026-08-23T10:50:51.601452167+00:00,1
2026-08-23T10:50:51.601870250+00:00,0
2026-08-23T10:50:51.602224792+00:00,1
2026-08-23T10:50:51.602713292+00:00,0
2026-08-23T10:50:51.603119875+00:00,1
2026-08-23T10:50:51.604453750+00:00,0
2026-08-23T10:50:51.604858667+00:00,1
2026-08-23T10:50:51.606189625+00:00,0
2026-08-23T10:50:51.606647958+00:00,1
2026-08-23T10:50:51.607930500+00:00,0
2026-08-23T10:50:51.608410083+00:00,1
2026-08-23T10:50:51.608800458+00:00,0
2026-08-23T10:50:51.609207583+00:00,1
2026-08-23T10:50:51.609697292+00:00,0
2026-08-23T10:50:51.610076833+00:00,1
2026-08-23T10:50:51.611408792+00:00,0
2026-08-23T10:50:51.611793708+00:00,1
2026-08-23T10:50:51.613149000+00:00,0
2026-08-23T10:50:51.613557375+00:00,1
2026-08-23T10:50:51.614887292+00:00,0
2026-08-23T10:50:51.615371500+00:00,1
2026-08-23T10:50:51.615759750+00:00,0
2026-08-23T10:50:51.616142458+00:00,1
2026-08-23T10:50:51.617500917+00:00,0
2026-08-23T10:50:51.617981250+00:00,1
2026-08-23T10:50:51.618370375+00:00,0
2026-08-23T10:50:51.618775583+00:00,1
2026-08-23T10:50:51.620106625+00:00,0
2026-08-23T10:50:51.620515708+00:00,1
2026-08-23T10:50:51.620978083+00:00,0
2026-08-23T10:50:51.621359958+00:00,1
2026-08-23T10:50:51.621875875+00:00,0
2026-08-23T10:50:51.622230125+00:00,1
2026-08-23T10:50:51.623586625+00:00,0
2026-08-23T10:50:51.623993625+00:00,1
2026-08-23T10:50:51.625325333+00:00,0
2026-08-23T10:50:51.625805042+00:00,1
2026-08-23T10:50:51.627066167+00:00,0
2026-08-23T10:50:51.627549292+00:00,1
2026-08-23T10:50:51.627933917+00:00,0
2026-08-23T10:50:51.628318000+00:00,1
2026-08-23T10:50:51.629675792+00:00,0
2026-08-23T10:50:51.630084375+00:00,1
2026-08-23T10:50:51.631444042+00:00,0
2026-08-23T10:50:51.631798917+00:00,1
2026-08-23T10:50:51.632313750+00:00,0
2026-08-23T10:50:51.632668292+00:00,1
2026-08-23T10:50:51.707832917+00:00,0
2026-08-23T10:50:51.711260000+00:00,1
2026-08-23T10:50:51.713033250+00:00,0
2026-08-23T10:50:51.713417125+00:00,1
2026-08-23T10:50:51.713903625+00:00,0
2026-08-23T10:50:51.714308833+00:00,1
2026-08-23T10:50:51.714771500+00:00,0
2026-08-23T10:50:51.715179792+00:00,1
2026-08-23T10:50:51.716509375+00:00,0
2026-08-23T10:50:51.716893875+00:00,1
2026-08-23T10:50:51.718280708+00:00,0
2026-08-23T10:50:51.718736500+00:00,1
2026-08-23T10:50:51.719120542+00:00,0
2026-08-23T10:50:51.719527917+00:00,1
2026-08-23T10:50:51.720860917+00:00,0
2026-08-23T10:50:51.721343458+00:00,1
2026-08-23T10:50:51.721730208+00:00,0
2026-08-23T10:50:51.722137833+00:00,1
2026-08-23T10:50:51.722601542+00:00,0
2026-08-23T10:50:51.722984458+00:00,1
2026-08-23T10:50:51.723470458+00:00,0
2026-08-23T10:50:51.723854958+00:00,1
2026-08-23T10:50:51.725212708+00:00,0
2026-08-23T10:50:51.725618333+00:00,1
2026-08-23T10:50:51.726109500+00:00,0
2026-08-23T10:50:51.726464083+00:00,1
2026-08-23T10:50:51.726949708+00:00,0
2026-08-23T10:50:51.727331708+00:00,1
2026-08-23T10:50:51.728690208+00:00,0
2026-08-23T10:50:51.729173042+00:00,1
2026-08-23T10:50:51.729558542+00:00,0
2026-08-23T10:50:51.729965583+00:00,1
2026-08-23T10:50:51.731298875+00:00,0
2026-08-23T10:50:51.731683250+00:00,1
2026-08-23T10:50:51.732168333+00:00,0
2026-08-23T10:50:51.732576167+00:00,1
2026-08-23T10:50:51.733907667+00:00,0
2026-08-23T10:50:51.734315375+00:00,1
2026-08-23T10:50:51.734779625+00:00,0
2026-08-23T10:50:51.735185833+00:00,1
2026-08-23T10:50:51.735648875+00:00,0
2026-08-23T10:50:51.736056625+00:00,1
2026-08-23T10:50:51.737388292+00:00,0
2026-08-23T10:50:51.737869958+00:00,1
2026-08-23T10:50:51.739126417+00:00,0
2026-08-23T10:50:51.739594250+00:00,1
2026-08-23T10:50:51.740864083+00:00,0
2026-08-23T10:50:51.741348958+00:00,1
2026-08-23T10:50:51.741764917+00:00,0
2026-08-23T10:50:51.742119250+00:00,1
2026-08-23T10:50:51.742606458+00:00,0
2026-08-23T10:50:51.743012625+00:00,1
2026-08-23T10:50:51.744346667+00:00,0
2026-08-23T10:50:51.744754833+00:00,1
2026-08-23T10:50:51.746086542+00:00,0
2026-08-23T10:50:51.746469292+00:00,1
2026-08-23T10:50:51.747825125+00:00,0
2026-08-23T10:50:51.748208625+00:00,1
2026-08-23T10:50:51.748696000+00:00,0
2026-08-23T10:50:51.749079083+00:00,1
2026-08-23T10:50:51.750435458+00:00,0
2026-08-23T10:50:51.750818167+00:00,1
2026-08-23T10:50:51.751305208+00:00,0
2026-08-23T10:50:51.751712875+00:00,1
2026-08-23T10:50:51.753045917+00:00,0
2026-08-23T10:50:51.753525583+00:00,1
2026-08-23T10:50:51.753913792+00:00,0
2026-08-23T10:50:51.754321042+00:00,1
2026-08-23T10:50:51.754784000+00:00,0
2026-08-23T10:50:51.755166750+00:00,1
2026-08-23T10:50:51.756521750+00:00,0
2026-08-23T10:50:51.756905875+00:00,1
2026-08-23T10:50:51.758261500+00:00,0
2026-08-23T10:50:51.758740250+00:00,1
2026-08-23T10:50:51.760002875+00:00,0
2026-08-23T10:50:51.760386958+00:00,1
2026-08-23T10:50:51.760873625+00:00,0
2026-08-23T10:50:51.761279000+00:00,1
2026-08-23T10:50:51.762615042+00:00,0
2026-08-23T10:50:51.763096833+00:00,1
2026-08-23T10:50:51.764351667+00:00,0
2026-08-23T10:50:51.764735708+00:00,1
2026-08-23T10:50:51.765250042+00:00,0
2026-08-23T10:50:51.765604750+00:00,1
2026-08-23T10:50:51.840738917+00:00,0
2026-08-23T10:50:51.844196625+00:00,1
2026-08-23T10:50:51.845971208+00:00,0
2026-08-23T10:50:51.846377875+00:00,1
2026-08-23T10:50:51.846866167+00:00,0
2026-08-23T10:50:51.847245875+00:00,1
2026-08-23T10:50:51.847708333+00:00,0
2026-08-23T10:50:51.848091208+00:00,1
2026-08-23T10:50:51.849446708+00:00,0
2026-08-23T10:50:51.849830375+00:00,1
2026-08-23T10:50:51.851189417+00:00,0
2026-08-23T10:50:51.851667167+00:00,1
2026-08-23T10:50:51.852084792+00:00,0
2026-08-23T10:50:51.852439750+00:00,1
2026-08-23T10:50:51.853797042+00:00,0
2026-08-23T10:50:51.854206250+00:00,1
2026-08-23T10:50:51.854668458+00:00,0
2026-08-23T10:50:51.855049125+00:00,1
2026-08-23T10:50:51.855539042+00:00,0
2026-08-23T10:50:51.855945333+00:00,1
2026-08-23T10:50:51.856409417+00:00,0
2026-08-23T10:50:51.856816125+00:00,1
2026-08-23T10:50:51.858147125+00:00,0
2026-08-23T10:50:51.858555083+00:00,1
2026-08-23T10:50:51.859016042+00:00,0
2026-08-23T10:50:51.859400958+00:00,1
2026-08-23T10:50:51.859885708+00:00,0
2026-08-23T10:50:51.860292875+00:00,1
2026-08-23T10:50:51.861626250+00:00,0
2026-08-23T10:50:51.862010000+00:00,1
2026-08-23T10:50:51.862496958+00:00,0
2026-08-23T10:50:51.862901833+00:00,1
2026-08-23T10:50:51.864237667+00:00,0
2026-08-23T10:50:51.864619292+00:00,1
2026-08-23T10:50:51.865105583+00:00,0
2026-08-23T10:50:51.865513208+00:00,1
2026-08-23T10:50:51.866843208+00:00,0
2026-08-23T10:50:51.867227500+00:00,1
2026-08-23T10:50:51.867713375+00:00,0
2026-08-23T10:50:51.868098042+00:00,1
2026-08-23T10:50:51.868585000+00:00,0
2026-08-23T10:50:51.868992292+00:00,1
2026-08-23T10:50:51.870324333+00:00,0
2026-08-23T10:50:51.870707333+00:00,1
2026-08-23T10:50:51.872062417+00:00,0
2026-08-23T10:50:51.872446625+00:00,1
2026-08-23T10:50:51.873802583+00:00,0
2026-08-23T10:50:51.874185292+00:00,1
2026-08-23T10:50:51.874674000+00:00,0
2026-08-23T10:50:51.875056208+00:00,1
2026-08-23T10:50:51.875542333+00:00,0
2026-08-23T10:50:51.875924750+00:00,1
2026-08-23T10:50:51.877283292+00:00,0
2026-08-23T10:50:51.877691208+00:00,1
2026-08-23T10:50:51.879050792+00:00,0
2026-08-23T10:50:51.879405917+00:00,1
2026-08-23T10:50:51.880761208+00:00,0
2026-08-23T10:50:51.881243708+00:00,1
2026-08-23T10:50:51.881633292+00:00,0
2026-08-23T10:50:51.882015250+00:00,1
2026-08-23T10:50:51.883371000+00:00,0
2026-08-23T10:50:51.883852000+00:00,1
2026-08-23T10:50:51.884242833+00:00,0
2026-08-23T10:50:51.884649875+00:00,1
2026-08-23T10:50:51.885980208+00:00,0
2026-08-23T10:50:51.886459792+00:00,1
2026-08-23T10:50:51.886878667+00:00,0
2026-08-23T10:50:51.887232792+00:00,1
2026-08-23T10:50:51.887719708+00:00,0
2026-08-23T10:50:51.888103167+00:00,1
2026-08-23T10:50:51.889458958+00:00,0
2026-08-23T10:50:51.889867250+00:00,1
2026-08-23T10:50:51.891196333+00:00,0
2026-08-23T10:50:51.891677958+00:00,1
2026-08-23T10:50:51.892941750+00:00,0
2026-08-23T10:50:51.893323500+00:00,1
2026-08-23T10:50:51.893835875+00:00,0
2026-08-23T10:50:51.894288333+00:00,1
2026-08-23T10:50:51.895547833+00:00,0
2026-08-23T10:50:51.895957167+00:00,1
2026-08-23T10:50:51.897288708+00:00,0
2026-08-23T10:50:51.897770458+00:00,1
2026-08-23T10:50:51.898157083+00:00,0
2026-08-23T10:50:51.898541250+00:00,1
2026-08-23T10:50:51.973675792+00:00,0
2026-08-23T10:50:51.977132000+00:00,1
2026-08-23T10:50:51.978907167+00:00,0
2026-08-23T10:50:51.979288792+00:00,1
2026-08-23T10:50:51.979802208+00:00,0
2026-08-23T10:50:51.980180875+00:00,1
2026-08-23T10:50:51.980642750+00:00,0
2026-08-23T10:50:51.981051417+00:00,1
2026-08-23T10:50:51.982383292+00:00,0
2026-08-23T10:50:51.982765875+00:00,1
2026-08-23T10:50:51.984124625+00:00,0
2026-08-23T10:50:51.984532500+00:00,1
2026-08-23T10:50:51.984991958+00:00,0
2026-08-23T10:50:51.985400250+00:00,1
2026-08-23T10:50:51.986733958+00:00,0
2026-08-23T10:50:51.987214083+00:00,1
2026-08-23T10:50:51.987602250+00:00,0
2026-08-23T10:50:51.988009042+00:00,1
2026-08-23T10:50:51.988474292+00:00,0
2026-08-23T10:50:51.988881458+00:00,1
2026-08-23T10:50:51.989344833+00:00,0
2026-08-23T10:50:51.989726792+00:00,1
2026-08-23T10:50:51.991081875+00:00,0
2026-08-23T10:50:51.991465833+00:00,1
2026-08-23T10:50:51.991955167+00:00,0
2026-08-23T10:50:51.992360917+00:00,1
2026-08-23T10:50:51.992849042+00:00,0
2026-08-23T10:50:51.993228167+00:00,1
2026-08-23T10:50:51.994561250+00:00,0
2026-08-23T10:50:51.994969875+00:00,1
2026-08-23T10:50:51.995430500+00:00,0
2026-08-23T10:50:51.995837833+00:00,1
2026-08-23T10:50:51.997170500+00:00,0
2026-08-23T10:50:51.997579542+00:00,1
2026-08-23T10:50:51.998042625+00:00,0
2026-08-23T10:50:51.998424167+00:00,1
2026-08-23T10:50:51.999780208+00:00,0
2026-08-23T10:50:52.000187375+00:00,1
2026-08-23T10:50:52.000649458+00:00,0
2026-08-23T10:50:52.001033375+00:00,1
2026-08-23T10:50:52.001520000+00:00,0
2026-08-23T10:50:52.001928458+00:00,1
2026-08-23T10:50:52.003259875+00:00,0
2026-08-23T10:50:52.003666958+00:00,1
2026-08-23T10:50:52.004998208+00:00,0
2026-08-23T10:50:52.005381833+00:00,1
2026-08-23T10:50:52.006737125+00:00,0
2026-08-23T10:50:52.007219250+00:00,1
2026-08-23T10:50:52.007609958+00:00,0
2026-08-23T10:50:52.007991583+00:00,1
2026-08-23T10:50:52.008506167+00:00,0
2026-08-23T10:50:52.008884500+00:00,1
2026-08-23T10:50:52.010218042+00:00,0
2026-08-23T10:50:52.010626750+00:00,1
2026-08-23T10:50:52.011958250+00:00,0
2026-08-23T10:50:52.012441167+00:00,1
2026-08-23T10:50:52.013697208+00:00,0
2026-08-23T10:50:52.014080833+00:00,1
2026-08-23T10:50:52.014568792+00:00,0
2026-08-23T10:50:52.014975417+00:00,1
2026-08-23T10:50:52.016307292+00:00,0
2026-08-23T10:50:52.016785875+00:00,1
2026-08-23T10:50:52.017178583+00:00,0
2026-08-23T10:50:52.017560583+00:00,1
2026-08-23T10:50:52.018915667+00:00,0
2026-08-23T10:50:52.019323792+00:00,1
2026-08-23T10:50:52.019813792+00:00,0
2026-08-23T10:50:52.020168708+00:00,1
2026-08-23T10:50:52.020657042+00:00,0
2026-08-23T10:50:52.021038792+00:00,1
2026-08-23T10:50:52.022394417+00:00,0
2026-08-23T10:50:52.022777792+00:00,1
2026-08-23T10:50:52.024132875+00:00,0
2026-08-23T10:50:52.024517125+00:00,1
2026-08-23T10:50:52.025875750+00:00,0
2026-08-23T10:50:52.026356083+00:00,1
2026-08-23T10:50:52.026742500+00:00,0
2026-08-23T10:50:52.027150500+00:00,1
2026-08-23T10:50:52.028486625+00:00,0
2026-08-23T10:50:52.028868292+00:00,1
2026-08-23T10:50:52.030223750+00:00,0
2026-08-23T10:50:52.030607625+00:00,1
2026-08-23T10:50:52.031093125+00:00,0
2026-08-23T10:50:52.031476833+00:00,1
2026-08-23T10:50:52.106611667+00:00,0
2026-08-23T10:50:52.110092667+00:00,1
2026-08-23T10:50:52.111842333+00:00,0
2026-08-23T10:50:52.112249750+00:00,1
2026-08-23T10:50:52.112710583+00:00,0
2026-08-23T10:50:52.113116875+00:00,1
2026-08-23T10:50:52.113582792+00:00,0
2026-08-23T10:50:52.113987833+00:00,1
2026-08-23T10:50:52.115319417+00:00,0
2026-08-23T10:50:52.115702292+00:00,1
2026-08-23T10:50:52.117060625+00:00,0
2026-08-23T10:50:52.117545375+00:00,1
2026-08-23T10:50:52.117928875+00:00,0
2026-08-23T10:50:52.118336292+00:00,1
2026-08-23T10:50:52.119671958+00:00,0
2026-08-23T10:50:52.120078417+00:00,1
2026-08-23T10:50:52.120539917+00:00,0
2026-08-23T10:50:52.120946042+00:00,1
2026-08-23T10:50:52.121410750+00:00,0
2026-08-23T10:50:52.121817583+00:00,1
2026-08-23T10:50:52.122281208+00:00,0
2026-08-23T10:50:52.122663250+00:00,1
2026-08-23T10:50:52.124019333+00:00,0
2026-08-23T10:50:52.124427250+00:00,1
2026-08-23T10:50:52.124890833+00:00,0
2026-08-23T10:50:52.125272750+00:00,1
2026-08-23T10:50:52.125785292+00:00,0
2026-08-23T10:50:52.126140125+00:00,1
2026-08-23T10:50:52.127527167+00:00,0
2026-08-23T10:50:52.127881958+00:00,1
2026-08-23T10:50:52.128367625+00:00,0
2026-08-23T10:50:52.128749667+00:00,1
2026-08-23T10:50:52.130107500+00:00,0
2026-08-23T10:50:52.130515708+00:00,1
2026-08-23T10:50:52.130977708+00:00,0
2026-08-23T10:50:52.131384917+00:00,1
2026-08-23T10:50:52.132715625+00:00,0
2026-08-23T10:50:52.133099375+00:00,1
2026-08-23T10:50:52.133588833+00:00,0
2026-08-23T10:50:52.133969958+00:00,1
2026-08-23T10:50:52.134485292+00:00,0
2026-08-23T10:50:52.134864250+00:00,1
2026-08-23T10:50:52.136194583+00:00,0
2026-08-23T10:50:52.136579333+00:00,1
2026-08-23T10:50:52.137934125+00:00,0
2026-08-23T10:50:52.138417042+00:00,1
2026-08-23T10:50:52.139673292+00:00,0
2026-08-23T10:50:52.140156250+00:00,1
2026-08-23T10:50:52.140543542+00:00,0
2026-08-23T10:50:52.140927833+00:00,1
2026-08-23T10:50:52.141415833+00:00,0
2026-08-23T10:50:52.141821208+00:00,1
2026-08-23T10:50:52.143155833+00:00,0
