Time [s],Channel 0
2026-08-23T10:50:19.697015000+00:00,1
2026-08-23T10:50:20.294513167+00:00,0
2026-08-23T10:50:20.297969083+00:00,1
2026-08-23T10:50:20.299742708+00:00,0
2026-08-23T10:50:20.300200000+00:00,1
2026-08-23T10:50:20.300609833+00:00,0
2026-08-23T10:50:20.301017667+00:00,1
2026-08-23T10:50:20.301481000+00:00,0
2026-08-23T10:50:20.301958542+00:00,1
2026-08-23T10:50:20.303218333+00:00,0
2026-08-23T10:50:20.303602917+00:00,1
2026-08-23T10:50:20.304963917+00:00,0
2026-08-23T10:50:20.305424333+00:00,1
2026-08-23T10:50:20.305857250+00:00,0
2026-08-23T10:50:20.306212167+00:00,1
2026-08-23T10:50:20.307571042+00:00,0
2026-08-23T10:50:20.308056000+00:00,1
2026-08-23T10:50:20.308466792+00:00,0
2026-08-23T10:50:20.308897167+00:00,1
2026-08-23T10:50:20.309338500+00:00,0
2026-08-23T10:50:20.309793458+00:00,1
2026-08-23T10:50:20.310182625+00:00,0
2026-08-23T10:50:20.310588583+00:00,1
2026-08-23T10:50:20.311919708+00:00,0
2026-08-23T10:50:20.312402875+00:00,1
2026-08-23T10:50:20.312790625+00:00,0
2026-08-23T10:50:20.313173375+00:00,1
2026-08-23T10:50:20.313656750+00:00,0
2026-08-23T10:50:20.314040792+00:00,1
2026-08-23T10:50:20.315399000+00:00,0
2026-08-23T10:50:20.315857000+00:00,1
2026-08-23T10:50:20.316268167+00:00,0
2026-08-23T10:50:20.316649958+00:00,1
2026-08-23T10:50:20.318008500+00:00,0
2026-08-23T10:50:20.318494167+00:00,1
2026-08-23T10:50:20.318877292+00:00,0
2026-08-23T10:50:20.319360333+00:00,1
2026-08-23T10:50:20.320617750+00:00,0
2026-08-23T10:50:20.321076458+00:00,1
2026-08-23T10:50:20.321489042+00:00,0
2026-08-23T10:50:20.321969458+00:00,1
2026-08-23T10:50:20.322358167+00:00,0
2026-08-23T10:50:20.322740542+00:00,1
2026-08-23T10:50:20.324096208+00:00,0
