Time [s],Channel 0
2026-08-23T10:51:40.819488000+00:00,1
2026-08-23T10:51:41.700198667+00:00,0
2026-08-23T10:51:41.703679292+00:00,1
2026-08-23T10:51:41.705429042+00:00,0
2026-08-23T10:51:41.705812125+00:00,1
2026-08-23T10:51:41.706296958+00:00,0
2026-08-23T10:51:41.706679708+00:00,1
2026-08-23T10:51:41.707167583+00:00,0
2026-08-23T10:51:41.707549750+00:00,1
2026-08-23T10:51:41.708905542+00:00,0
2026-08-23T10:51:41.709288875+00:00,1
2026-08-23T10:51:41.710646292+00:00,0
2026-08-23T10:51:41.711056125+00:00,1
2026-08-23T10:51:41.711516292+00:00,0
2026-08-23T10:51:41.711922083+00:00,1
2026-08-23T10:51:41.713258208+00:00,0
2026-08-23T10:51:41.713665167+00:00,1
2026-08-23T10:51:41.714124917+00:00,0
2026-08-23T10:51:41.714532750+00:00,1
2026-08-23T10:51:41.714997333+00:00,0
2026-08-23T10:51:41.715404292+00:00,1
2026-08-23T10:51:41.715869250+00:00,0
2026-08-23T10:51:41.716249792+00:00,1
2026-08-23T10:51:41.717604625+00:00,0
2026-08-23T10:51:41.718013500+00:00,1
2026-08-23T10:51:41.718475417+00:00,0
2026-08-23T10:51:41.718859167+00:00,1
2026-08-23T10:51:41.719346750+00:00,0
2026-08-23T10:51:41.719751167+00:00,1
2026-08-23T10:51:41.721085083+00:00,0
2026-08-23T10:51:41.721493042+00:00,1
2026-08-23T10:51:41.721953958+00:00,0
2026-08-23T10:51:41.722336250+00:00,1
2026-08-23T10:51:41.723695125+00:00,0
2026-08-23T10:51:41.724103208+00:00,1
2026-08-23T10:51:41.724565250+00:00,0
2026-08-23T10:51:41.724971417+00:00,1
2026-08-23T10:51:41.726302708+00:00,0
2026-08-23T10:51:41.726710958+00:00,1
2026-08-23T10:51:41.727172833+00:00,0
2026-08-23T10:51:41.727556625+00:00,1
2026-08-23T10:51:41.728043792+00:00,0
2026-08-23T10:51:41.728451708+00:00,1
2026-08-23T10:51:41.729783167+00:00,0
2026-08-23T10:51:41.730190375+00:00,1
2026-08-23T10:51:41.730654375+00:00,0
2026-08-23T10:51:41.731060875+00:00,1
2026-08-23T10:51:41.731524375+00:00,0
2026-08-23T10:51:41.731930750+00:00,1
2026-08-23T10:51:41.732390500+00:00,0
2026-08-23T10:51:41.732798375+00:00,1
2026-08-23T10:51:41.733263125+00:00,0
2026-08-23T10:51:41.733645708+00:00,1
2026-08-23T10:51:41.735001250+00:00,0
2026-08-23T10:51:41.735409583+00:00,1
2026-08-23T10:51:41.735873042+00:00,0
2026-08-23T10:51:41.736255167+00:00,1
