Time [s],Channel 0
2026-08-23T10:51:53.829396000+00:00,1
2026-08-23T10:51:53.856673917+00:00,0
2026-08-23T10:51:53.860129250+00:00,1
2026-08-23T10:51:53.861903167+00:00,0
2026-08-23T10:51:53.862286250+00:00,1
2026-08-23T10:51:53.862770625+00:00,0
2026-08-23T10:51:53.863153625+00:00,1
2026-08-23T10:51:53.863640792+00:00,0
2026-08-23T10:51:53.864024042+00:00,1
2026-08-23T10:51:53.865382625+00:00,0
2026-08-23T10:51:53.865787542+00:00,1
2026-08-23T10:51:53.867120667+00:00,0
2026-08-23T10:51:53.867505167+00:00,1
2026-08-23T10:51:53.867990292+00:00,0
2026-08-23T10:51:53.868396917+00:00,1
2026-08-23T10:51:53.869731458+00:00,0
2026-08-23T10:51:53.870138792+00:00,1
2026-08-23T10:51:53.870601500+00:00,0
2026-08-23T10:51:53.871006000+00:00,1
2026-08-23T10:51:53.871470833+00:00,0
2026-08-23T10:51:53.871878542+00:00,1
2026-08-23T10:51:53.872340833+00:00,0
2026-08-23T10:51:53.872723958+00:00,1
2026-08-23T10:51:53.874079500+00:00,0
2026-08-23T10:51:53.874487375+00:00,1
2026-08-23T10:51:53.874950167+00:00,0
2026-08-23T10:51:53.875333208+00:00,1
2026-08-23T10:51:53.875818792+00:00,0
2026-08-23T10:51:53.876200917+00:00,1
2026-08-23T10:51:53.877559125+00:00,0
2026-08-23T10:51:53.877967583+00:00,1
2026-08-23T10:51:53.878455417+00:00,0
2026-08-23T10:51:53.878810208+00:00,1
2026-08-23T10:51:53.880168875+00:00,0
2026-08-23T10:51:53.880577000+00:00,1
2026-08-23T10:51:53.881038958+00:00,0
2026-08-23T10:51:53.881445750+00:00,1
2026-08-23T10:51:53.882776833+00:00,0
2026-08-23T10:51:53.883255625+00:00,1
2026-08-23T10:51:53.883647583+00:00,0
2026-08-23T10:51:53.884030667+00:00,1
2026-08-23T10:51:53.884518917+00:00,0
2026-08-23T10:51:53.884925792+00:00,1
2026-08-23T10:51:53.886256542+00:00,0
2026-08-23T10:51:53.886664542+00:00,1
2026-08-23T10:51:53.887128125+00:00,0
2026-08-23T10:51:53.887534917+00:00,1
2026-08-23T10:51:53.887998917+00:00,0
2026-08-23T10:51:53.888380500+00:00,1
2026-08-23T10:51:53.888893708+00:00,0
2026-08-23T10:51:53.889248083+00:00,1
2026-08-23T10:51:53.889737583+00:00,0
2026-08-23T10:51:53.890119958+00:00,1
2026-08-23T10:51:53.891474792+00:00,0
2026-08-23T10:51:53.891859042+00:00,1
2026-08-23T10:51:53.893214375+00:00,0
2026-08-23T10:51:53.893597917+00:00,1
2026-08-23T10:51:53.894955000+00:00,0
2026-08-23T10:51:53.895337208+00:00,1
2026-08-23T10:51:53.896691250+00:00,0
2026-08-23T10:51:53.897101042+00:00,1
2026-08-23T10:51:53.898435917+00:00,0
2026-08-23T10:51:53.898818250+00:00,1
2026-08-23T10:51:53.900173292+00:00,0
2026-08-23T10:51:53.900581875+00:00,1
2026-08-23T10:51:53.901045542+00:00,0
2026-08-23T10:51:53.901427917+00:00,1
2026-08-23T10:51:53.901912792+00:00,0
2026-08-23T10:51:53.902321000+00:00,1
2026-08-23T10:51:53.902784583+00:00,0
2026-08-23T10:51:53.903167042+00:00,1
2026-08-23T10:51:53.904522750+00:00,0
2026-08-23T10:51:53.904930792+00:00,1
2026-08-23T10:51:53.906263042+00:00,0
2026-08-23T10:51:53.906670125+00:00,1
2026-08-23T10:51:53.907131083+00:00,0
2026-08-23T10:51:53.907515667+00:00,1
2026-08-23T10:51:53.908871417+00:00,0
2026-08-23T10:51:53.909279500+00:00,1
2026-08-23T10:51:53.910609792+00:00,0
2026-08-23T10:51:53.910993667+00:00,1
2026-08-23T10:51:53.911509625+00:00,0
2026-08-23T10:51:53.911888500+00:00,1
2026-08-23T10:51:53.912378625+00:00,0
2026-08-23T10:51:53.912758042+00:00,1
2026-08-23T10:51:53.987871625+00:00,0
2026-08-23T10:51:53.991326583+00:00,1
2026-08-23T10:51:53.993099792+00:00,0
2026-08-23T10:51:53.993483833+00:00,1
2026-08-23T10:51:53.993968167+00:00,0
2026-08-23T10:51:53.994351042+00:00,1
2026-08-23T10:51:53.994866875+00:00,0
2026-08-23T10:51:53.995246208+00:00,1
2026-08-23T10:51:53.996577375+00:00,0
2026-08-23T10:51:53.997057500+00:00,1
2026-08-23T10:51:53.998319125+00:00,0
2026-08-23T10:51:53.998727333+00:00,1
2026-08-23T10:51:53.999188125+00:00,0
2026-08-23T10:51:53.999594292+00:00,1
2026-08-23T10:51:54.000928583+00:00,0
2026-08-23T10:51:54.001336458+00:00,1
2026-08-23T10:51:54.001795250+00:00,0
2026-08-23T10:51:54.002179667+00:00,1
2026-08-23T10:51:54.002668208+00:00,0
2026-08-23T10:51:54.003075708+00:00,1
2026-08-23T10:51:54.003539083+00:00,0
2026-08-23T10:51:54.003945583+00:00,1
2026-08-23T10:51:54.005277708+00:00,0
2026-08-23T10:51:54.005685292+00:00,1
2026-08-23T10:51:54.006147458+00:00,0
2026-08-23T10:51:54.006555208+00:00,1
2026-08-23T10:51:54.007016458+00:00,0
2026-08-23T10:51:54.007398167+00:00,1
2026-08-23T10:51:54.008755792+00:00,0
2026-08-23T10:51:54.009165250+00:00,1
2026-08-23T10:51:54.009625042+00:00,0
2026-08-23T10:51:54.010007583+00:00,1
2026-08-23T10:51:54.011365458+00:00,0
2026-08-23T10:51:54.011749875+00:00,1
2026-08-23T10:51:54.012238292+00:00,0
2026-08-23T10:51:54.012618667+00:00,1
2026-08-23T10:51:54.013975333+00:00,0
2026-08-23T10:51:54.014382875+00:00,1
2026-08-23T10:51:54.014846167+00:00,0
2026-08-23T10:51:54.015228125+00:00,1
2026-08-23T10:51:54.015743958+00:00,0
2026-08-23T10:51:54.016098417+00:00,1
2026-08-23T10:51:54.017453000+00:00,0
2026-08-23T10:51:54.017861792+00:00,1
2026-08-23T10:51:54.018324917+00:00,0
2026-08-23T10:51:54.018707708+00:00,1
2026-08-23T10:51:54.019223708+00:00,0
2026-08-23T10:51:54.019578000+00:00,1
2026-08-23T10:51:54.020062167+00:00,0
2026-08-23T10:51:54.020469792+00:00,1
2026-08-23T10:51:54.020935042+00:00,0
2026-08-23T10:51:54.021317292+00:00,1
2026-08-23T10:51:54.022675042+00:00,0
2026-08-23T10:51:54.023080958+00:00,1
2026-08-23T10:51:54.024413042+00:00,0
2026-08-23T10:51:54.024819792+00:00,1
2026-08-23T10:51:54.026150917+00:00,0
2026-08-23T10:51:54.026632667+00:00,1
2026-08-23T10:51:54.027890917+00:00,0
2026-08-23T10:51:54.028370708+00:00,1
2026-08-23T10:51:54.029632917+00:00,0
2026-08-23T10:51:54.030015667+00:00,1
2026-08-23T10:51:54.031370292+00:00,0
2026-08-23T10:51:54.031779167+00:00,1
2026-08-23T10:51:54.032270333+00:00,0
2026-08-23T10:51:54.032625125+00:00,1
2026-08-23T10:51:54.033139458+00:00,0
2026-08-23T10:51:54.033494042+00:00,1
2026-08-23T10:51:54.034009625+00:00,0
2026-08-23T10:51:54.034364083+00:00,1
2026-08-23T10:51:54.035720792+00:00,0
2026-08-23T10:51:54.036103708+00:00,1
2026-08-23T10:51:54.037459167+00:00,0
2026-08-23T10:51:54.037867708+00:00,1
2026-08-23T10:51:54.038329000+00:00,0
2026-08-23T10:51:54.038712958+00:00,1
2026-08-23T10:51:54.040067917+00:00,0
2026-08-23T10:51:54.040476917+00:00,1
2026-08-23T10:51:54.041808708+00:00,0
2026-08-23T10:51:54.042191125+00:00,1
2026-08-23T10:51:54.042680375+00:00,0
2026-08-23T10:51:54.043061750+00:00,1
2026-08-23T10:51:54.043547375+00:00,0
2026-08-23T10:51:54.043930833+00:00,1
2026-08-23T10:51:54.119068125+00:00,0
2026-08-23T10:51:54.122524875+00:00,1
2026-08-23T10:51:54.124298833+00:00,0
2026-08-23T10:51:54.124706125+00:00,1
2026-08-23T10:51:54.125168583+00:00,0
2026-08-23T10:51:54.125573792+00:00,1
2026-08-23T10:51:54.126037125+00:00,0
2026-08-23T10:51:54.126444125+00:00,1
2026-08-23T10:51:54.127775667+00:00,0
2026-08-23T10:51:54.128158958+00:00,1
2026-08-23T10:51:54.129517000+00:00,0
2026-08-23T10:51:54.129901000+00:00,1
2026-08-23T10:51:54.130385958+00:00,0
2026-08-23T10:51:54.130793000+00:00,1
2026-08-23T10:51:54.132127167+00:00,0
2026-08-23T10:51:54.132510208+00:00,1
2026-08-23T10:51:54.132995167+00:00,0
2026-08-23T10:51:54.133377583+00:00,1
2026-08-23T10:51:54.133866000+00:00,0
2026-08-23T10:51:54.134249583+00:00,1
2026-08-23T10:51:54.134736500+00:00,0
2026-08-23T10:51:54.135119792+00:00,1
2026-08-23T10:51:54.136474208+00:00,0
2026-08-23T10:51:54.136883417+00:00,1
2026-08-23T10:51:54.137347917+00:00,0
2026-08-23T10:51:54.137729375+00:00,1
2026-08-23T10:51:54.138214042+00:00,0
2026-08-23T10:51:54.138596792+00:00,1
2026-08-23T10:51:54.139955208+00:00,0
2026-08-23T10:51:54.140363167+00:00,1
2026-08-23T10:51:54.140824250+00:00,0
2026-08-23T10:51:54.141230208+00:00,1
2026-08-23T10:51:54.142563208+00:00,0
2026-08-23T10:51:54.142948000+00:00,1
2026-08-23T10:51:54.143434958+00:00,0
2026-08-23T10:51:54.143841042+00:00,1
2026-08-23T10:51:54.145171958+00:00,0
2026-08-23T10:51:54.145580333+00:00,1
2026-08-23T10:51:54.146071542+00:00,0
2026-08-23T10:51:54.146426333+00:00,1
2026-08-23T10:51:54.146914292+00:00,0
2026-08-23T10:51:54.147296667+00:00,1
2026-08-23T10:51:54.148652625+00:00,0
2026-08-23T10:51:54.149059708+00:00,1
2026-08-23T10:51:54.149525375+00:00,0
2026-08-23T10:51:54.149906083+00:00,1
2026-08-23T10:51:54.150393458+00:00,0
2026-08-23T10:51:54.150800833+00:00,1
2026-08-23T10:51:54.151262542+00:00,0
2026-08-23T10:51:54.151668792+00:00,1
2026-08-23T10:51:54.152135375+00:00,0
2026-08-23T10:51:54.152515375+00:00,1
2026-08-23T10:51:54.153870750+00:00,0
2026-08-23T10:51:54.154254750+00:00,1
2026-08-23T10:51:54.155609667+00:00,0
2026-08-23T10:51:54.156018083+00:00,1
2026-08-23T10:51:54.157349083+00:00,0
2026-08-23T10:51:54.157757208+00:00,1
2026-08-23T10:51:54.159088875+00:00,0
2026-08-23T10:51:54.159471958+00:00,1
2026-08-23T10:51:54.160831083+00:00,0
2026-08-23T10:51:54.161238667+00:00,1
2026-08-23T10:51:54.162568375+00:00,0
2026-08-23T10:51:54.163051875+00:00,1
2026-08-23T10:51:54.163439667+00:00,0
2026-08-23T10:51:54.163848083+00:00,1
2026-08-23T10:51:54.164309333+00:00,0
2026-08-23T10:51:54.164692708+00:00,1
2026-08-23T10:51:54.165180000+00:00,0
2026-08-23T10:51:54.165562667+00:00,1
2026-08-23T10:51:54.166919417+00:00,0
2026-08-23T10:51:54.167301708+00:00,1
2026-08-23T10:51:54.168655917+00:00,0
2026-08-23T10:51:54.169041042+00:00,1
2026-08-23T10:51:54.169529917+00:00,0
2026-08-23T10:51:54.169911167+00:00,1
2026-08-23T10:51:54.171267042+00:00,0
2026-08-23T10:51:54.171650500+00:00,1
2026-08-23T10:51:54.173006500+00:00,0
2026-08-23T10:51:54.173389958+00:00,1
2026-08-23T10:51:54.173905167+00:00,0
2026-08-23T10:51:54.174259875+00:00,1
2026-08-23T10:51:54.174748625+00:00,0
2026-08-23T10:51:54.175154333+00:00,1
2026-08-23T10:51:54.250268708+00:00,0
2026-08-23T10:51:54.253748167+00:00,1
