Time [s],Channel 0
2026-08-23T10:50:40.660154000+00:00,1
2026-08-23T10:50:42.801530833+00:00,0
2026-08-23T10:50:42.804988167+00:00,1
2026-08-23T10:50:42.806762375+00:00,0
2026-08-23T10:50:42.807145167+00:00,1
2026-08-23T10:50:42.807628792+00:00,0
2026-08-23T10:50:42.808012667+00:00,1
2026-08-23T10:50:42.808500375+00:00,0
2026-08-23T10:50:42.808907500+00:00,1
2026-08-23T10:50:42.810238208+00:00,0
2026-08-23T10:50:42.810622125+00:00,1
2026-08-23T10:50:42.811980625+00:00,0
2026-08-23T10:50:42.812388958+00:00,1
2026-08-23T10:50:42.812847708+00:00,0
2026-08-23T10:50:42.813231708+00:00,1
2026-08-23T10:50:42.814589917+00:00,0
2026-08-23T10:50:42.814973750+00:00,1
2026-08-23T10:50:42.815458542+00:00,0
2026-08-23T10:50:42.815865333+00:00,1
2026-08-23T10:50:42.816329875+00:00,0
2026-08-23T10:50:42.816737583+00:00,1
2026-08-23T10:50:42.817228292+00:00,0
2026-08-23T10:50:42.817583083+00:00,1
2026-08-23T10:50:42.818938708+00:00,0
2026-08-23T10:50:42.819346792+00:00,1
2026-08-23T10:50:42.819809083+00:00,0
2026-08-23T10:50:42.820217208+00:00,1
2026-08-23T10:50:42.820677167+00:00,0
2026-08-23T10:50:42.821084083+00:00,1
2026-08-23T10:50:42.822417917+00:00,0
2026-08-23T10:50:42.822826917+00:00,1
2026-08-23T10:50:42.823290042+00:00,0
2026-08-23T10:50:42.823669375+00:00,1
2026-08-23T10:50:42.825028375+00:00,0
2026-08-23T10:50:42.825435958+00:00,1
2026-08-23T10:50:42.825898500+00:00,0
2026-08-23T10:50:42.826280125+00:00,1
2026-08-23T10:50:42.827635542+00:00,0
2026-08-23T10:50:42.828043667+00:00,1
2026-08-23T10:50:42.828534875+00:00,0
2026-08-23T10:50:42.828889583+00:00,1
2026-08-23T10:50:42.829377000+00:00,0
2026-08-23T10:50:42.829784625+00:00,1
2026-08-23T10:50:42.831114917+00:00,0
2026-08-23T10:50:42.831498708+00:00,1
2026-08-23T10:50:42.832853667+00:00,0
2026-08-23T10:50:42.833335375+00:00,1
2026-08-23T10:50:42.834593542+00:00,0
2026-08-23T10:50:42.835001917+00:00,1
2026-08-23T10:50:42.835466458+00:00,0
2026-08-23T10:50:42.835872250+00:00,1
2026-08-23T10:50:42.836361708+00:00,0
2026-08-23T10:50:42.836741125+00:00,1
2026-08-23T10:50:42.838074625+00:00,0
2026-08-23T10:50:42.838483042+00:00,1
2026-08-23T10:50:42.839813750+00:00,0
2026-08-23T10:50:42.840297042+00:00,1
2026-08-23T10:50:42.841552042+00:00,0
2026-08-23T10:50:42.841936958+00:00,1
2026-08-23T10:50:42.843292500+00:00,0
2026-08-23T10:50:42.843676208+00:00,1
2026-08-23T10:50:42.844165625+00:00,0
2026-08-23T10:50:42.844546125+00:00,1
2026-08-23T10:50:42.845900875+00:00,0
2026-08-23T10:50:42.846285708+00:00,1
2026-08-23T10:50:42.847640417+00:00,0
2026-08-23T10:50:42.848120958+00:00,1
2026-08-23T10:50:42.848514667+00:00,0
2026-08-23T10:50:42.848921083+00:00,1
2026-08-23T10:50:42.849383417+00:00,0
2026-08-23T10:50:42.849788875+00:00,1
2026-08-23T10:50:42.851123750+00:00,0
2026-08-23T10:50:42.851505958+00:00,1
2026-08-23T10:50:42.852861625+00:00,0
2026-08-23T10:50:42.853343833+00:00,1
2026-08-23T10:50:42.853735125+00:00,0
2026-08-23T10:50:42.854115292+00:00,1
2026-08-23T10:50:42.855469792+00:00,0
2026-08-23T10:50:42.855878958+00:00,1
2026-08-23T10:50:42.856344000+00:00,0
2026-08-23T10:50:42.856724542+00:00,1
2026-08-23T10:50:42.858079750+00:00,0
2026-08-23T10:50:42.858463750+00:00,1
2026-08-23T10:50:42.858952333+00:00,0
2026-08-23T10:50:42.859357458+00:00,1
2026-08-23T10:50:42.934467667+00:00,0
2026-08-23T10:50:42.937949500+00:00,1
2026-08-23T10:50:42.939697875+00:00,0
2026-08-23T10:50:42.940081833+00:00,1
2026-08-23T10:50:42.940566875+00:00,0
2026-08-23T10:50:42.940973792+00:00,1
2026-08-23T10:50:42.941437875+00:00,0
2026-08-23T10:50:42.941844208+00:00,1
2026-08-23T10:50:42.943174125+00:00,0
2026-08-23T10:50:42.943558833+00:00,1
2026-08-23T10:50:42.944916667+00:00,0
2026-08-23T10:50:42.945398417+00:00,1
2026-08-23T10:50:42.945785958+00:00,0
2026-08-23T10:50:42.946192708+00:00,1
2026-08-23T10:50:42.947526667+00:00,0
2026-08-23T10:50:42.947934833+00:00,1
2026-08-23T10:50:42.948395917+00:00,0
2026-08-23T10:50:42.948802125+00:00,1
2026-08-23T10:50:42.949267167+00:00,0
2026-08-23T10:50:42.949673708+00:00,1
2026-08-23T10:50:42.950136833+00:00,0
2026-08-23T10:50:42.950519667+00:00,1
2026-08-23T10:50:42.951874833+00:00,0
2026-08-23T10:50:42.952283792+00:00,1
2026-08-23T10:50:42.952745583+00:00,0
2026-08-23T10:50:42.953129000+00:00,1
2026-08-23T10:50:42.953613542+00:00,0
2026-08-23T10:50:42.953996625+00:00,1
2026-08-23T10:50:42.955355583+00:00,0
2026-08-23T10:50:42.955762958+00:00,1
2026-08-23T10:50:42.956224333+00:00,0
2026-08-23T10:50:42.956605958+00:00,1
2026-08-23T10:50:42.957963958+00:00,0
2026-08-23T10:50:42.958373000+00:00,1
2026-08-23T10:50:42.958833583+00:00,0
2026-08-23T10:50:42.959241333+00:00,1
2026-08-23T10:50:42.960571833+00:00,0
2026-08-23T10:50:42.960980500+00:00,1
2026-08-23T10:50:42.961443500+00:00,0
2026-08-23T10:50:42.961826542+00:00,1
2026-08-23T10:50:42.962341750+00:00,0
2026-08-23T10:50:42.962721333+00:00,1
2026-08-23T10:50:42.964052708+00:00,0
2026-08-23T10:50:42.964435583+00:00,1
2026-08-23T10:50:42.965789875+00:00,0
2026-08-23T10:50:42.966199542+00:00,1
2026-08-23T10:50:42.967530792+00:00,0
2026-08-23T10:50:42.967938833+00:00,1
2026-08-23T10:50:42.968401417+00:00,0
2026-08-23T10:50:42.968784208+00:00,1
2026-08-23T10:50:42.969298417+00:00,0
2026-08-23T10:50:42.969677542+00:00,1
2026-08-23T10:50:42.971011750+00:00,0
2026-08-23T10:50:42.971420125+00:00,1
2026-08-23T10:50:42.972749875+00:00,0
2026-08-23T10:50:42.973134208+00:00,1
2026-08-23T10:50:42.974489250+00:00,0
2026-08-23T10:50:42.974897625+00:00,1
2026-08-23T10:50:42.976228500+00:00,0
2026-08-23T10:50:42.976637458+00:00,1
2026-08-23T10:50:42.977101250+00:00,0
2026-08-23T10:50:42.977506875+00:00,1
2026-08-23T10:50:42.978837750+00:00,0
2026-08-23T10:50:42.979246333+00:00,1
2026-08-23T10:50:42.980577167+00:00,0
2026-08-23T10:50:42.981027083+00:00,1
2026-08-23T10:50:42.981477958+00:00,0
2026-08-23T10:50:42.981857750+00:00,1
2026-08-23T10:50:42.982345833+00:00,0
2026-08-23T10:50:42.982700167+00:00,1
2026-08-23T10:50:42.984058208+00:00,0
2026-08-23T10:50:42.984467083+00:00,1
2026-08-23T10:50:42.985796750+00:00,0
2026-08-23T10:50:42.986181167+00:00,1
2026-08-23T10:50:42.986697125+00:00,0
2026-08-23T10:50:42.987076208+00:00,1
2026-08-23T10:50:42.988406833+00:00,0
2026-08-23T10:50:42.988815875+00:00,1
2026-08-23T10:50:42.989277583+00:00,0
2026-08-23T10:50:42.989661167+00:00,1
2026-08-23T10:50:42.991015875+00:00,0
2026-08-23T10:50:42.991425042+00:00,1
2026-08-23T10:50:42.991886250+00:00,0
2026-08-23T10:50:42.992269708+00:00,1
2026-08-23T10:50:43.067406000+00:00,0
2026-08-23T10:50:43.070862500+00:00,1
2026-08-23T10:50:43.072637042+00:00,0
2026-08-23T10:50:43.073019333+00:00,1
2026-08-23T10:50:43.073503292+00:00,0
2026-08-23T10:50:43.073910958+00:00,1
2026-08-23T10:50:43.074374500+00:00,0
2026-08-23T10:50:43.074756958+00:00,1
2026-08-23T10:50:43.076111458+00:00,0
2026-08-23T10:50:43.076520417+00:00,1
2026-08-23T10:50:43.077855958+00:00,0
2026-08-23T10:50:43.078238000+00:00,1
2026-08-23T10:50:43.078750833+00:00,0
2026-08-23T10:50:43.079105375+00:00,1
2026-08-23T10:50:43.080463917+00:00,0
2026-08-23T10:50:43.080872542+00:00,1
2026-08-23T10:50:43.081332417+00:00,0
2026-08-23T10:50:43.081714833+00:00,1
2026-08-23T10:50:43.082232250+00:00,0
2026-08-23T10:50:43.082586708+00:00,1
2026-08-23T10:50:43.083073542+00:00,0
2026-08-23T10:50:43.083481333+00:00,1
2026-08-23T10:50:43.084813208+00:00,0
2026-08-23T10:50:43.085220500+00:00,1
2026-08-23T10:50:43.085683083+00:00,0
2026-08-23T10:50:43.086066583+00:00,1
2026-08-23T10:50:43.086550583+00:00,0
2026-08-23T10:50:43.086958625+00:00,1
2026-08-23T10:50:43.088292500+00:00,0
2026-08-23T10:50:43.088675833+00:00,1
2026-08-23T10:50:43.089161292+00:00,0
2026-08-23T10:50:43.089543458+00:00,1
2026-08-23T10:50:43.090901542+00:00,0
2026-08-23T10:50:43.091285208+00:00,1
2026-08-23T10:50:43.091799833+00:00,0
2026-08-23T10:50:43.092154375+00:00,1
2026-08-23T10:50:43.093511083+00:00,0
2026-08-23T10:50:43.093917750+00:00,1
2026-08-23T10:50:43.094381708+00:00,0
2026-08-23T10:50:43.094788125+00:00,1
2026-08-23T10:50:43.095252250+00:00,0
2026-08-23T10:50:43.095658250+00:00,1
2026-08-23T10:50:43.096988708+00:00,0
2026-08-23T10:50:43.097373042+00:00,1
2026-08-23T10:50:43.098730583+00:00,0
2026-08-23T10:50:43.099112125+00:00,1
2026-08-23T10:50:43.100467417+00:00,0
2026-08-23T10:50:43.100851333+00:00,1
2026-08-23T10:50:43.101338750+00:00,0
2026-08-23T10:50:43.101721625+00:00,1
2026-08-23T10:50:43.102235583+00:00,0
2026-08-23T10:50:43.102590458+00:00,1
2026-08-23T10:50:43.103948958+00:00,0
2026-08-23T10:50:43.104357583+00:00,1
2026-08-23T10:50:43.105690292+00:00,0
2026-08-23T10:50:43.106071708+00:00,1
2026-08-23T10:50:43.107425958+00:00,0
2026-08-23T10:50:43.107907958+00:00,1
2026-08-23T10:50:43.109165667+00:00,0
2026-08-23T10:50:43.109574833+00:00,1
2026-08-23T10:50:43.110038917+00:00,0
2026-08-23T10:50:43.110420292+00:00,1
2026-08-23T10:50:43.111775167+00:00,0
2026-08-23T10:50:43.112184042+00:00,1
2026-08-23T10:50:43.113515958+00:00,0
2026-08-23T10:50:43.113922917+00:00,1
2026-08-23T10:50:43.114388417+00:00,0
2026-08-23T10:50:43.114770333+00:00,1
2026-08-23T10:50:43.115283208+00:00,0
2026-08-23T10:50:43.115637750+00:00,1
2026-08-23T10:50:43.116998000+00:00,0
2026-08-23T10:50:43.117404083+00:00,1
2026-08-23T10:50:43.118735958+00:00,0
2026-08-23T10:50:43.119215667+00:00,1
2026-08-23T10:50:43.119605750+00:00,0
2026-08-23T10:50:43.120013542+00:00,1
2026-08-23T10:50:43.121344625+00:00,0
2026-08-23T10:50:43.121825083+00:00,1
2026-08-23T10:50:43.122215250+00:00,0
2026-08-23T10:50:43.122623042+00:00,1
2026-08-23T10:50:43.123954417+00:00,0
2026-08-23T10:50:43.124361792+00:00,1
2026-08-23T10:50:43.124824333+00:00,0
2026-08-23T10:50:43.125207083+00:00,1
2026-08-23T10:50:43.200344042+00:00,0
2026-08-23T10:50:43.203824208+00:00,1
2026-08-23T10:50:43.205573083+00:00,0
2026-08-23T10:50:43.205956792+00:00,1
2026-08-23T10:50:43.206443333+00:00,0
2026-08-23T10:50:43.206848208+00:00,1
2026-08-23T10:50:43.207312542+00:00,0
2026-08-23T10:50:43.207719000+00:00,1
2026-08-23T10:50:43.209049292+00:00,0
2026-08-23T10:50:43.209457875+00:00,1
2026-08-23T10:50:43.210793333+00:00,0
2026-08-23T10:50:43.211175667+00:00,1
2026-08-23T10:50:43.211662542+00:00,0
2026-08-23T10:50:43.212043000+00:00,1
2026-08-23T10:50:43.213401417+00:00,0
2026-08-23T10:50:43.213809125+00:00,1
2026-08-23T10:50:43.214270875+00:00,0
2026-08-23T10:50:43.214652250+00:00,1
2026-08-23T10:50:43.215169667+00:00,0
2026-08-23T10:50:43.215548625+00:00,1
2026-08-23T10:50:43.216010792+00:00,0
2026-08-23T10:50:43.216419375+00:00,1
2026-08-23T10:50:43.217751250+00:00,0
2026-08-23T10:50:43.218158375+00:00,1
2026-08-23T10:50:43.218621458+00:00,0
2026-08-23T10:50:43.219004125+00:00,1
2026-08-23T10:50:43.219488250+00:00,0
2026-08-23T10:50:43.219896000+00:00,1
2026-08-23T10:50:43.221230750+00:00,0
2026-08-23T10:50:43.221613417+00:00,1
2026-08-23T10:50:43.222097750+00:00,0
2026-08-23T10:50:43.222480750+00:00,1
