Time [s],Channel 0
2026-08-23T10:53:09.400390000+00:00,1
2026-08-23T10:53:12.634287542+00:00,0
2026-08-23T10:53:12.637743167+00:00,1
2026-08-23T10:53:12.639517625+00:00,0
2026-08-23T10:53:12.639925292+00:00,1
2026-08-23T10:53:12.640384917+00:00,0
2026-08-23T10:53:12.640792375+00:00,1
2026-08-23T10:53:12.641255000+00:00,0
2026-08-23T10:53:12.641638250+00:00,1
2026-08-23T10:53:12.642994083+00:00,0
2026-08-23T10:53:12.643402083+00:00,1
2026-08-23T10:53:12.644735708+00:00,0
2026-08-23T10:53:12.645119583+00:00,1
2026-08-23T10:53:12.645605375+00:00,0
2026-08-23T10:53:12.646011458+00:00,1
2026-08-23T10:53:12.647345542+00:00,0
2026-08-23T10:53:12.647753042+00:00,1
2026-08-23T10:53:12.648214625+00:00,0
2026-08-23T10:53:12.648596000+00:00,1
2026-08-23T10:53:12.649085292+00:00,0
2026-08-23T10:53:12.649492083+00:00,1
2026-08-23T10:53:12.649956667+00:00,0
2026-08-23T10:53:12.650337875+00:00,1
2026-08-23T10:53:12.651694083+00:00,0
2026-08-23T10:53:12.652077417+00:00,1
2026-08-23T10:53:12.652566542+00:00,0
2026-08-23T10:53:12.652972667+00:00,1
2026-08-23T10:53:12.653433375+00:00,0
2026-08-23T10:53:12.653814917+00:00,1
2026-08-23T10:53:12.655173292+00:00,0
2026-08-23T10:53:12.655557208+00:00,1
2026-08-23T10:53:12.656043000+00:00,0
2026-08-23T10:53:12.656449042+00:00,1
2026-08-23T10:53:12.657783458+00:00,0
2026-08-23T10:53:12.658166375+00:00,1
2026-08-23T10:53:12.658654208+00:00,0
2026-08-23T10:53:12.659035125+00:00,1
2026-08-23T10:53:12.660390792+00:00,0
2026-08-23T10:53:12.660798833+00:00,1
2026-08-23T10:53:12.661262750+00:00,0
2026-08-23T10:53:12.661644625+00:00,1
2026-08-23T10:53:12.662134000+00:00,0
2026-08-23T10:53:12.662515250+00:00,1
2026-08-23T10:53:12.663871958+00:00,0
2026-08-23T10:53:12.664278792+00:00,1
2026-08-23T10:53:12.665609792+00:00,0
2026-08-23T10:53:12.665993542+00:00,1
2026-08-23T10:53:12.667350208+00:00,0
2026-08-23T10:53:12.667756792+00:00,1
2026-08-23T10:53:12.668220292+00:00,0
2026-08-23T10:53:12.668627625+00:00,1
2026-08-23T10:53:12.669089917+00:00,0
2026-08-23T10:53:12.669496667+00:00,1
2026-08-23T10:53:12.669959292+00:00,0
2026-08-23T10:53:12.670341792+00:00,1
2026-08-23T10:53:12.670829583+00:00,0
2026-08-23T10:53:12.671236667+00:00,1
2026-08-23T10:53:12.672567750+00:00,0
2026-08-23T10:53:12.672951542+00:00,1
2026-08-23T10:53:12.674307750+00:00,0
2026-08-23T10:53:12.674690583+00:00,1
2026-08-23T10:53:12.676049125+00:00,0
2026-08-23T10:53:12.676457375+00:00,1
2026-08-23T10:53:12.676917542+00:00,0
2026-08-23T10:53:12.677299875+00:00,1
2026-08-23T10:53:12.678659542+00:00,0
2026-08-23T10:53:12.679066833+00:00,1
2026-08-23T10:53:12.680395875+00:00,0
2026-08-23T10:53:12.680804292+00:00,1
2026-08-23T10:53:12.682135458+00:00,0
2026-08-23T10:53:12.682543542+00:00,1
2026-08-23T10:53:12.683007083+00:00,0
2026-08-23T10:53:12.683389125+00:00,1
2026-08-23T10:53:12.684745375+00:00,0
2026-08-23T10:53:12.685128292+00:00,1
2026-08-23T10:53:12.685617375+00:00,0
2026-08-23T10:53:12.686023042+00:00,1
2026-08-23T10:53:12.686486458+00:00,0
2026-08-23T10:53:12.686893292+00:00,1
2026-08-23T10:53:12.688226625+00:00,0
2026-08-23T10:53:12.688632958+00:00,1
2026-08-23T10:53:12.689964625+00:00,0
2026-08-23T10:53:12.690347208+00:00,1
2026-08-23T10:53:12.691706375+00:00,0
2026-08-23T10:53:12.692113208+00:00,1
2026-08-23T10:53:12.767223083+00:00,0
2026-08-23T10:53:12.770679625+00:00,1
2026-08-23T10:53:12.772452583+00:00,0
2026-08-23T10:53:12.772836417+00:00,1
2026-08-23T10:53:12.773322500+00:00,0
2026-08-23T10:53:12.773704167+00:00,1
2026-08-23T10:53:12.774191208+00:00,0
2026-08-23T10:53:12.774574125+00:00,1
2026-08-23T10:53:12.775930375+00:00,0
2026-08-23T10:53:12.776313292+00:00,1
2026-08-23T10:53:12.777672083+00:00,0
2026-08-23T10:53:12.778080083+00:00,1
2026-08-23T10:53:12.778540375+00:00,0
2026-08-23T10:53:12.778922458+00:00,1
2026-08-23T10:53:12.780281917+00:00,0
2026-08-23T10:53:12.780689750+00:00,1
2026-08-23T10:53:12.781150792+00:00,0
2026-08-23T10:53:12.781556917+00:00,1
2026-08-23T10:53:12.782021458+00:00,0
2026-08-23T10:53:12.782403667+00:00,1
2026-08-23T10:53:12.782893250+00:00,0
2026-08-23T10:53:12.783274208+00:00,1
2026-08-23T10:53:12.784631167+00:00,0
2026-08-23T10:53:12.785037917+00:00,1
2026-08-23T10:53:12.785500833+00:00,0
2026-08-23T10:53:12.785883667+00:00,1
2026-08-23T10:53:12.786368583+00:00,0
2026-08-23T10:53:12.786751125+00:00,1
2026-08-23T10:53:12.788110875+00:00,0
2026-08-23T10:53:12.788492792+00:00,1
2026-08-23T10:53:12.788978042+00:00,0
2026-08-23T10:53:12.789360458+00:00,1
2026-08-23T10:53:12.790719250+00:00,0
2026-08-23T10:53:12.791127292+00:00,1
2026-08-23T10:53:12.791589708+00:00,0
2026-08-23T10:53:12.791996333+00:00,1
2026-08-23T10:53:12.793328375+00:00,0
2026-08-23T10:53:12.793710458+00:00,1
2026-08-23T10:53:12.794199125+00:00,0
2026-08-23T10:53:12.794580917+00:00,1
2026-08-23T10:53:12.795069542+00:00,0
2026-08-23T10:53:12.795476083+00:00,1
2026-08-23T10:53:12.796806875+00:00,0
2026-08-23T10:53:12.797190333+00:00,1
2026-08-23T10:53:12.798545792+00:00,0
2026-08-23T10:53:12.798929458+00:00,1
2026-08-23T10:53:12.800285208+00:00,0
2026-08-23T10:53:12.800693417+00:00,1
2026-08-23T10:53:12.801156208+00:00,0
2026-08-23T10:53:12.801562833+00:00,1
2026-08-23T10:53:12.802025750+00:00,0
2026-08-23T10:53:12.802407625+00:00,1
2026-08-23T10:53:12.802896917+00:00,0
2026-08-23T10:53:12.803302167+00:00,1
2026-08-23T10:53:12.803766250+00:00,0
2026-08-23T10:53:12.804148292+00:00,1
2026-08-23T10:53:12.805503917+00:00,0
2026-08-23T10:53:12.805887458+00:00,1
2026-08-23T10:53:12.807243000+00:00,0
2026-08-23T10:53:12.807651042+00:00,1
2026-08-23T10:53:12.808986125+00:00,0
2026-08-23T10:53:12.809368625+00:00,1
2026-08-23T10:53:12.809854458+00:00,0
2026-08-23T10:53:12.810236083+00:00,1
2026-08-23T10:53:12.811595333+00:00,0
2026-08-23T10:53:12.812002500+00:00,1
2026-08-23T10:53:12.813332500+00:00,0
2026-08-23T10:53:12.813739833+00:00,1
2026-08-23T10:53:12.815071000+00:00,0
2026-08-23T10:53:12.815454667+00:00,1
2026-08-23T10:53:12.815943250+00:00,0
2026-08-23T10:53:12.816349708+00:00,1
2026-08-23T10:53:12.817681000+00:00,0
2026-08-23T10:53:12.818088875+00:00,1
2026-08-23T10:53:12.818552917+00:00,0
2026-08-23T10:53:12.818934542+00:00,1
2026-08-23T10:53:12.819423167+00:00,0
2026-08-23T10:53:12.819829833+00:00,1
2026-08-23T10:53:12.821161750+00:00,0
2026-08-23T10:53:12.821543958+00:00,1
2026-08-23T10:53:12.822899625+00:00,0
2026-08-23T10:53:12.823283250+00:00,1
2026-08-23T10:53:12.824641417+00:00,0
2026-08-23T10:53:12.825024167+00:00,1
2026-08-23T10:53:12.900160500+00:00,0
2026-08-23T10:53:12.903616958+00:00,1
2026-08-23T10:53:12.905390542+00:00,0
2026-08-23T10:53:12.905798375+00:00,1
2026-08-23T10:53:12.906258458+00:00,0
2026-08-23T10:53:12.906665750+00:00,1
2026-08-23T10:53:12.907131375+00:00,0
2026-08-23T10:53:12.907536292+00:00,1
2026-08-23T10:53:12.908867083+00:00,0
2026-08-23T10:53:12.909250875+00:00,1
2026-08-23T10:53:12.910609250+00:00,0
2026-08-23T10:53:12.911017542+00:00,1
2026-08-23T10:53:12.911476792+00:00,0
2026-08-23T10:53:12.911860167+00:00,1
2026-08-23T10:53:12.913218500+00:00,0
2026-08-23T10:53:12.913626833+00:00,1
2026-08-23T10:53:12.914087333+00:00,0
2026-08-23T10:53:12.914494667+00:00,1
2026-08-23T10:53:12.914960667+00:00,0
2026-08-23T10:53:12.915341250+00:00,1
2026-08-23T10:53:12.915831000+00:00,0
2026-08-23T10:53:12.916211708+00:00,1
2026-08-23T10:53:12.917568167+00:00,0
2026-08-23T10:53:12.917975458+00:00,1
2026-08-23T10:53:12.918438917+00:00,0
2026-08-23T10:53:12.918821208+00:00,1
2026-08-23T10:53:12.919306833+00:00,0
2026-08-23T10:53:12.919688750+00:00,1
2026-08-23T10:53:12.921047750+00:00,0
2026-08-23T10:53:12.921454958+00:00,1
2026-08-23T10:53:12.921915500+00:00,0
2026-08-23T10:53:12.922297833+00:00,1
2026-08-23T10:53:12.923656333+00:00,0
2026-08-23T10:53:12.924065042+00:00,1
2026-08-23T10:53:12.924527000+00:00,0
2026-08-23T10:53:12.924933583+00:00,1
2026-08-23T10:53:12.926264375+00:00,0
2026-08-23T10:53:12.926647708+00:00,1
2026-08-23T10:53:12.927137208+00:00,0
2026-08-23T10:53:12.927518417+00:00,1
2026-08-23T10:53:12.928007917+00:00,0
2026-08-23T10:53:12.928388542+00:00,1
2026-08-23T10:53:12.929745167+00:00,0
2026-08-23T10:53:12.930152000+00:00,1
2026-08-23T10:53:12.931483208+00:00,0
2026-08-23T10:53:12.931891583+00:00,1
2026-08-23T10:53:12.933223042+00:00,0
2026-08-23T10:53:12.933631000+00:00,1
2026-08-23T10:53:12.934094167+00:00,0
2026-08-23T10:53:12.934476542+00:00,1
2026-08-23T10:53:12.934963917+00:00,0
2026-08-23T10:53:12.935369458+00:00,1
2026-08-23T10:53:12.935834500+00:00,0
2026-08-23T10:53:12.936215792+00:00,1
2026-08-23T10:53:12.936703958+00:00,0
2026-08-23T10:53:12.937085833+00:00,1
2026-08-23T10:53:12.938441833+00:00,0
2026-08-23T10:53:12.938825125+00:00,1
2026-08-23T10:53:12.940180458+00:00,0
2026-08-23T10:53:12.940588083+00:00,1
2026-08-23T10:53:12.941922000+00:00,0
2026-08-23T10:53:12.942330167+00:00,1
2026-08-23T10:53:12.942791000+00:00,0
2026-08-23T10:53:12.943173583+00:00,1
2026-08-23T10:53:12.944531542+00:00,0
2026-08-23T10:53:12.944939833+00:00,1
2026-08-23T10:53:12.946269250+00:00,0
2026-08-23T10:53:12.946677917+00:00,1
2026-08-23T10:53:12.948009375+00:00,0
2026-08-23T10:53:12.948416500+00:00,1
2026-08-23T10:53:12.948880833+00:00,0
2026-08-23T10:53:12.949262917+00:00,1
2026-08-23T10:53:12.950619500+00:00,0
2026-08-23T10:53:12.951026042+00:00,1
2026-08-23T10:53:12.951490208+00:00,0
2026-08-23T10:53:12.951872167+00:00,1
2026-08-23T10:53:12.952360917+00:00,0
2026-08-23T10:53:12.952767042+00:00,1
2026-08-23T10:53:12.954098042+00:00,0
2026-08-23T10:53:12.954481375+00:00,1
2026-08-23T10:53:12.955836375+00:00,0
2026-08-23T10:53:12.956220708+00:00,1
2026-08-23T10:53:12.957579083+00:00,0
2026-08-23T10:53:12.957961625+00:00,1
2026-08-23T10:53:13.033097125+00:00,0
2026-08-23T10:53:13.036578042+00:00,1
2026-08-23T10:53:13.038327375+00:00,0
2026-08-23T10:53:13.038710375+00:00,1
2026-08-23T10:53:13.039195500+00:00,0
2026-08-23T10:53:13.039602542+00:00,1
2026-08-23T10:53:13.040065083+00:00,0
2026-08-23T10:53:13.040448000+00:00,1
2026-08-23T10:53:13.041804417+00:00,0
2026-08-23T10:53:13.042211250+00:00,1
2026-08-23T10:53:13.043546833+00:00,0
2026-08-23T10:53:13.043929375+00:00,1
2026-08-23T10:53:13.044415208+00:00,0
2026-08-23T10:53:13.044796625+00:00,1
2026-08-23T10:53:13.046155417+00:00,0
2026-08-23T10:53:13.046538333+00:00,1
2026-08-23T10:53:13.047024917+00:00,0
2026-08-23T10:53:13.047406000+00:00,1
2026-08-23T10:53:13.047895917+00:00,0
2026-08-23T10:53:13.048277833+00:00,1
2026-08-23T10:53:13.048766458+00:00,0
2026-08-23T10:53:13.049172875+00:00,1
2026-08-23T10:53:13.050503667+00:00,0
2026-08-23T10:53:13.050886833+00:00,1
2026-08-23T10:53:13.051376333+00:00,0
2026-08-23T10:53:13.051782000+00:00,1
2026-08-23T10:53:13.052242708+00:00,0
2026-08-23T10:53:13.052649583+00:00,1
2026-08-23T10:53:13.053983417+00:00,0
2026-08-23T10:53:13.054366917+00:00,1
2026-08-23T10:53:13.054853125+00:00,0
2026-08-23T10:53:13.055234500+00:00,1
2026-08-23T10:53:13.056592458+00:00,0
2026-08-23T10:53:13.056976208+00:00,1
2026-08-23T10:53:13.057463125+00:00,0
2026-08-23T10:53:13.057869625+00:00,1
2026-08-23T10:53:13.059200667+00:00,0
2026-08-23T10:53:13.059584333+00:00,1
2026-08-23T10:53:13.060073458+00:00,0
2026-08-23T10:53:13.060479208+00:00,1
2026-08-23T10:53:13.060943208+00:00,0
2026-08-23T10:53:13.061324917+00:00,1
2026-08-23T10:53:13.062680917+00:00,0
2026-08-23T10:53:13.063088583+00:00,1
2026-08-23T10:53:13.064418875+00:00,0
2026-08-23T10:53:13.064827750+00:00,1
2026-08-23T10:53:13.066161125+00:00,0
2026-08-23T10:53:13.066542375+00:00,1
2026-08-23T10:53:13.067029792+00:00,0
2026-08-23T10:53:13.067437333+00:00,1
2026-08-23T10:53:13.067898125+00:00,0
2026-08-23T10:53:13.068305667+00:00,1
2026-08-23T10:53:13.068770375+00:00,0
2026-08-23T10:53:13.069176625+00:00,1
2026-08-23T10:53:13.069640625+00:00,0
2026-08-23T10:53:13.070022167+00:00,1
2026-08-23T10:53:13.071378292+00:00,0
2026-08-23T10:53:13.071761250+00:00,1
2026-08-23T10:53:13.073117500+00:00,0
2026-08-23T10:53:13.073500042+00:00,1
2026-08-23T10:53:13.074859167+00:00,0
2026-08-23T10:53:13.075242458+00:00,1
2026-08-23T10:53:13.075727333+00:00,0
2026-08-23T10:53:13.076134375+00:00,1
2026-08-23T10:53:13.077468208+00:00,0
2026-08-23T10:53:13.077852125+00:00,1
2026-08-23T10:53:13.079206375+00:00,0
2026-08-23T10:53:13.079613958+00:00,1
2026-08-23T10:53:13.080945542+00:00,0
2026-08-23T10:53:13.081328750+00:00,1
2026-08-23T10:53:13.081817042+00:00,0
2026-08-23T10:53:13.082223542+00:00,1
2026-08-23T10:53:13.083556042+00:00,0
2026-08-23T10:53:13.083937958+00:00,1
2026-08-23T10:53:13.084425750+00:00,0
2026-08-23T10:53:13.084808375+00:00,1
2026-08-23T10:53:13.085296833+00:00,0
2026-08-23T10:53:13.085678625+00:00,1
2026-08-23T10:53:13.087034750+00:00,0
2026-08-23T10:53:13.087417917+00:00,1
2026-08-23T10:53:13.088774583+00:00,0
2026-08-23T10:53:13.089181708+00:00,1
2026-08-23T10:53:13.090514333+00:00,0
2026-08-23T10:53:13.090922708+00:00,1
2026-08-23T10:53:13.166035167+00:00,0
2026-08-23T10:53:13.169576792+00:00,1
2026-08-23T10:53:13.171265042+00:00,0
2026-08-23T10:53:13.171672167+00:00,1
2026-08-23T10:53:13.172132833+00:00,0
2026-08-23T10:53:13.172540333+00:00,1
2026-08-23T10:53:13.173003875+00:00,0
2026-08-23T10:53:13.173385667+00:00,1
2026-08-23T10:53:13.174741083+00:00,0
2026-08-23T10:53:13.175149250+00:00,1
2026-08-23T10:53:13.176483500+00:00,0
2026-08-23T10:53:13.176866708+00:00,1
2026-08-23T10:53:13.177351708+00:00,0
2026-08-23T10:53:13.177734125+00:00,1
2026-08-23T10:53:13.179093125+00:00,0
