Time [s],Channel 0
2026-08-23T10:52:21.941881000+00:00,1
2026-08-23T10:52:22.201038625+00:00,0
2026-08-23T10:52:22.204518792+00:00,1
2026-08-23T10:52:22.206267917+00:00,0
2026-08-23T10:52:22.206675500+00:00,1
2026-08-23T10:52:22.207135333+00:00,0
2026-08-23T10:52:22.207543125+00:00,1
2026-08-23T10:52:22.208006292+00:00,0
2026-08-23T10:52:22.208388750+00:00,1
2026-08-23T10:52:22.209745000+00:00,0
2026-08-23T10:52:22.210152208+00:00,1
2026-08-23T10:52:22.211486500+00:00,0
2026-08-23T10:52:22.211869583+00:00,1
2026-08-23T10:52:22.212382583+00:00,0
2026-08-23T10:52:22.212761417+00:00,1
2026-08-23T10:52:22.214096208+00:00,0
2026-08-23T10:52:22.214478958+00:00,1
2026-08-23T10:52:22.214965583+00:00,0
2026-08-23T10:52:22.215371000+00:00,1
2026-08-23T10:52:22.215834958+00:00,0
2026-08-23T10:52:22.216218250+00:00,1
2026-08-23T10:52:22.216733875+00:00,0
2026-08-23T10:52:22.217113125+00:00,1
2026-08-23T10:52:22.218472500+00:00,0
2026-08-23T10:52:22.218827375+00:00,1
2026-08-23T10:52:22.219317292+00:00,0
2026-08-23T10:52:22.219722375+00:00,1
2026-08-23T10:52:22.220184375+00:00,0
2026-08-23T10:52:22.220590208+00:00,1
2026-08-23T10:52:22.221923458+00:00,0
2026-08-23T10:52:22.222307542+00:00,1
2026-08-23T10:52:22.222792042+00:00,0
2026-08-23T10:52:22.223199083+00:00,1
2026-08-23T10:52:22.224535458+00:00,0
2026-08-23T10:52:22.224916750+00:00,1
2026-08-23T10:52:22.225431250+00:00,0
2026-08-23T10:52:22.225785667+00:00,1
2026-08-23T10:52:22.227140958+00:00,0
2026-08-23T10:52:22.227599750+00:00,1
2026-08-23T10:52:22.228040333+00:00,0
2026-08-23T10:52:22.228395417+00:00,1
2026-08-23T10:52:22.228884417+00:00,0
2026-08-23T10:52:22.229265500+00:00,1
2026-08-23T10:52:22.230623250+00:00,0
2026-08-23T10:52:22.231004792+00:00,1
2026-08-23T10:52:22.232360292+00:00,0
2026-08-23T10:52:22.232842958+00:00,1
2026-08-23T10:52:22.234099708+00:00,0
2026-08-23T10:52:22.234559458+00:00,1
2026-08-23T10:52:22.234998542+00:00,0
2026-08-23T10:52:22.235377875+00:00,1
2026-08-23T10:52:22.235839958+00:00,0
2026-08-23T10:52:22.236222167+00:00,1
2026-08-23T10:52:22.237579458+00:00,0
2026-08-23T10:52:22.237988667+00:00,1
2026-08-23T10:52:22.238448208+00:00,0
2026-08-23T10:52:22.238831667+00:00,1
2026-08-23T10:52:22.239318833+00:00,0
2026-08-23T10:52:22.239726083+00:00,1
2026-08-23T10:52:22.241058250+00:00,0
2026-08-23T10:52:22.241440583+00:00,1
2026-08-23T10:52:22.242799375+00:00,0
2026-08-23T10:52:22.243207500+00:00,1
2026-08-23T10:52:22.243668042+00:00,0
2026-08-23T10:52:22.244075417+00:00,1
2026-08-23T10:52:22.244537333+00:00,0
2026-08-23T10:52:22.244920583+00:00,1
2026-08-23T10:52:22.246276125+00:00,0
