Time [s],Channel 0
2026-08-23T11:07:49.842462000+00:00,1
2026-08-23T11:07:50.365012875+00:00,0
2026-08-23T11:07:50.368321250+00:00,1
2026-08-23T11:07:50.370058625+00:00,0
2026-08-23T11:07:50.370529292+00:00,1
2026-08-23T11:07:50.371749542+00:00,0
2026-08-23T11:07:50.372220750+00:00,1
2026-08-23T11:07:50.372596583+00:00,0
2026-08-23T11:07:50.373093458+00:00,1
2026-08-23T11:07:50.373441667+00:00,0
2026-08-23T11:07:50.373911625+00:00,1
2026-08-23T11:07:50.374315750+00:00,0
2026-08-23T11:07:50.374759208+00:00,1
2026-08-23T11:07:50.375161292+00:00,0
2026-08-23T11:07:50.375604667+00:00,1
2026-08-23T11:07:50.375980625+00:00,0
2026-08-23T11:07:50.376452708+00:00,1
2026-08-23T11:07:50.376852958+00:00,0
2026-08-23T11:07:50.377296292+00:00,1
2026-08-23T11:07:50.377673333+00:00,0
2026-08-23T11:07:50.378142750+00:00,1
2026-08-23T11:07:50.378518583+00:00,0
2026-08-23T11:07:50.378984417+00:00,1
2026-08-23T11:07:50.379391250+00:00,0
2026-08-23T11:07:50.379836333+00:00,1
2026-08-23T11:07:50.380209583+00:00,0
2026-08-23T11:07:50.380680125+00:00,1
2026-08-23T11:07:50.381054458+00:00,0
2026-08-23T11:07:50.381530000+00:00,1
2026-08-23T11:07:50.382746667+00:00,0
2026-08-23T11:07:50.383218083+00:00,1
2026-08-23T11:07:50.383619583+00:00,0
2026-08-23T11:07:50.384059708+00:00,1
2026-08-23T11:07:50.384465917+00:00,0
2026-08-23T11:07:50.384910875+00:00,1
2026-08-23T11:07:50.385282917+00:00,0
2026-08-23T11:07:50.385755083+00:00,1
2026-08-23T11:07:50.386157458+00:00,0
2026-08-23T11:07:50.386601583+00:00,1
2026-08-23T11:07:50.387003667+00:00,0
2026-08-23T11:07:50.387445375+00:00,1
2026-08-23T11:07:50.387821000+00:00,0
2026-08-23T11:07:50.388291500+00:00,1
2026-08-23T11:07:50.388665917+00:00,0
2026-08-23T11:07:50.389162167+00:00,1
2026-08-23T11:07:50.390356833+00:00,0
2026-08-23T11:07:50.390831875+00:00,1
2026-08-23T11:07:50.392049208+00:00,0
2026-08-23T11:07:50.392517708+00:00,1
2026-08-23T11:07:50.392922542+00:00,0
2026-08-23T11:07:50.393392500+00:00,1
2026-08-23T11:07:50.393768458+00:00,0
2026-08-23T11:07:50.394209375+00:00,1
2026-08-23T11:07:50.394614375+00:00,0
2026-08-23T11:07:50.395055292+00:00,1
2026-08-23T11:07:50.395460750+00:00,0
2026-08-23T11:07:50.395905208+00:00,1
2026-08-23T11:07:50.396280458+00:00,0
2026-08-23T11:07:50.396751250+00:00,1
2026-08-23T11:07:50.397151958+00:00,0
2026-08-23T11:07:50.397595750+00:00,1
2026-08-23T11:07:50.398813000+00:00,0
2026-08-23T11:07:50.399288250+00:00,1
2026-08-23T11:07:50.399661875+00:00,0
2026-08-23T11:07:50.400133875+00:00,1
2026-08-23T11:07:50.401352208+00:00,0
2026-08-23T11:07:50.401850208+00:00,1
2026-08-23T11:07:50.402196167+00:00,0
2026-08-23T11:07:50.402669542+00:00,1
2026-08-23T11:07:50.403887542+00:00,0
2026-08-23T11:07:50.404363417+00:00,1
2026-08-23T11:07:50.405579958+00:00,0
2026-08-23T11:07:50.406053125+00:00,1
2026-08-23T11:07:50.407270500+00:00,0
2026-08-23T11:07:50.407742917+00:00,1
2026-08-23T11:07:50.408960750+00:00,0
2026-08-23T11:07:50.409433625+00:00,1
2026-08-23T11:07:50.409834375+00:00,0
2026-08-23T11:07:50.410280583+00:00,1
2026-08-23T11:07:50.411500542+00:00,0
2026-08-23T11:07:50.411973250+00:00,1
2026-08-23T11:07:50.412371917+00:00,0
2026-08-23T11:07:50.412818250+00:00,1
2026-08-23T11:07:50.414035292+00:00,0
2026-08-23T11:07:50.414510125+00:00,1
2026-08-23T11:07:50.414908750+00:00,0
2026-08-23T11:07:50.415353625+00:00,1
2026-08-23T11:07:50.415725625+00:00,0
2026-08-23T11:07:50.416222750+00:00,1
2026-08-23T11:07:50.416573667+00:00,0
2026-08-23T11:07:50.417069208+00:00,1
2026-08-23T11:07:50.417446417+00:00,0
2026-08-23T11:07:50.417888417+00:00,1
2026-08-23T11:07:50.418264542+00:00,0
2026-08-23T11:07:50.418735875+00:00,1
2026-08-23T11:07:50.419138167+00:00,0
2026-08-23T11:07:50.419580167+00:00,1
2026-08-23T11:07:50.419956708+00:00,0
2026-08-23T11:07:50.420377167+00:00,1
2026-08-23T11:07:50.420830667+00:00,0
2026-08-23T11:07:50.421274167+00:00,1
2026-08-23T11:07:50.422492292+00:00,0
2026-08-23T11:07:50.422965542+00:00,1
2026-08-23T11:07:50.424183917+00:00,0
2026-08-23T11:07:50.424657458+00:00,1
2026-08-23T11:07:50.425874417+00:00,0
2026-08-23T11:07:50.426348875+00:00,1
2026-08-23T11:07:50.427593542+00:00,0
2026-08-23T11:07:50.428038917+00:00,1
2026-08-23T11:07:50.429256167+00:00,0
2026-08-23T11:07:50.429728250+00:00,1
2026-08-23T11:07:50.430949417+00:00,0
2026-08-23T11:07:50.431422000+00:00,1
2026-08-23T11:07:50.432636958+00:00,0
2026-08-23T11:07:50.433110542+00:00,1
