Time [s],Channel 0
2026-08-23T11:02:40.203190000+00:00,1
2026-08-23T11:02:40.588793500+00:00,0
2026-08-23T11:02:40.592209417+00:00,1
2026-08-23T11:02:40.593870125+00:00,0
2026-08-23T11:02:40.594338375+00:00,1
2026-08-23T11:02:40.595560375+00:00,0
2026-08-23T11:02:40.596005583+00:00,1
2026-08-23T11:02:40.596408083+00:00,0
2026-08-23T11:02:40.596876167+00:00,1
2026-08-23T11:02:40.597253792+00:00,0
2026-08-23T11:02:40.597645750+00:00,1
2026-08-23T11:02:40.598100667+00:00,0
2026-08-23T11:02:40.598564708+00:00,1
2026-08-23T11:02:40.598946333+00:00,0
2026-08-23T11:02:40.599337625+00:00,1
2026-08-23T11:02:40.599792583+00:00,0
2026-08-23T11:02:40.600268250+00:00,1
2026-08-23T11:02:40.600637292+00:00,0
2026-08-23T11:02:40.601029542+00:00,1
2026-08-23T11:02:40.601483833+00:00,0
2026-08-23T11:02:40.601926708+00:00,1
2026-08-23T11:02:40.602329333+00:00,0
2026-08-23T11:02:40.602798833+00:00,1
2026-08-23T11:02:40.603174583+00:00,0
2026-08-23T11:02:40.603651083+00:00,1
2026-08-23T11:02:40.604021292+00:00,0
2026-08-23T11:02:40.604413167+00:00,1
2026-08-23T11:02:40.604866625+00:00,0
2026-08-23T11:02:40.605333833+00:00,1
2026-08-23T11:02:40.606557750+00:00,0
2026-08-23T11:02:40.607026167+00:00,1
2026-08-23T11:02:40.607404083+00:00,0
2026-08-23T11:02:40.607871625+00:00,1
2026-08-23T11:02:40.608249333+00:00,0
2026-08-23T11:02:40.608641542+00:00,1
2026-08-23T11:02:40.609096042+00:00,0
2026-08-23T11:02:40.609562917+00:00,1
2026-08-23T11:02:40.609941750+00:00,0
2026-08-23T11:02:40.610407375+00:00,1
2026-08-23T11:02:40.610788083+00:00,0
2026-08-23T11:02:40.611179167+00:00,1
2026-08-23T11:02:40.611633375+00:00,0
2026-08-23T11:02:40.612097292+00:00,1
2026-08-23T11:02:40.612480208+00:00,0
2026-08-23T11:02:40.612870750+00:00,1
2026-08-23T11:02:40.614168917+00:00,0
2026-08-23T11:02:40.614561542+00:00,1
2026-08-23T11:02:40.615859792+00:00,0
2026-08-23T11:02:40.616331583+00:00,1
2026-08-23T11:02:40.616706333+00:00,0
2026-08-23T11:02:40.617098792+00:00,1
2026-08-23T11:02:40.617552958+00:00,0
2026-08-23T11:02:40.618022458+00:00,1
2026-08-23T11:02:40.618398750+00:00,0
2026-08-23T11:02:40.618869750+00:00,1
2026-08-23T11:02:40.619244958+00:00,0
2026-08-23T11:02:40.619711042+00:00,1
