Time [s],Channel 0
2026-08-23T11:09:38.909943000+00:00,1
2026-08-23T11:09:39.371348250+00:00,0
2026-08-23T11:09:39.374737042+00:00,1
2026-08-23T11:09:39.376395708+00:00,0
2026-08-23T11:09:39.376872958+00:00,1
2026-08-23T11:09:39.378088583+00:00,0
2026-08-23T11:09:39.378562042+00:00,1
2026-08-23T11:09:39.378933875+00:00,0
2026-08-23T11:09:39.379406333+00:00,1
2026-08-23T11:09:39.379781167+00:00,0
2026-08-23T11:09:39.380254250+00:00,1
2026-08-23T11:09:39.380627458+00:00,0
2026-08-23T11:09:39.381101125+00:00,1
2026-08-23T11:09:39.381500917+00:00,0
2026-08-23T11:09:39.381947542+00:00,1
2026-08-23T11:09:39.382317375+00:00,0
2026-08-23T11:09:39.382817250+00:00,1
2026-08-23T11:09:39.383165375+00:00,0
2026-08-23T11:09:39.383639083+00:00,1
2026-08-23T11:09:39.384010208+00:00,0
2026-08-23T11:09:39.384485250+00:00,1
2026-08-23T11:09:39.384855000+00:00,0
2026-08-23T11:09:39.385330292+00:00,1
2026-08-23T11:09:39.385703500+00:00,0
2026-08-23T11:09:39.386175917+00:00,1
2026-08-23T11:09:39.386577208+00:00,0
2026-08-23T11:09:39.387023208+00:00,1
2026-08-23T11:09:39.387423333+00:00,0
2026-08-23T11:09:39.387870917+00:00,1
2026-08-23T11:09:39.389084792+00:00,0
2026-08-23T11:09:39.389561000+00:00,1
2026-08-23T11:09:39.389933125+00:00,0
2026-08-23T11:09:39.390407500+00:00,1
2026-08-23T11:09:39.390806917+00:00,0
2026-08-23T11:09:39.391252167+00:00,1
2026-08-23T11:09:39.391623667+00:00,0
2026-08-23T11:09:39.392095375+00:00,1
2026-08-23T11:09:39.392498083+00:00,0
2026-08-23T11:09:39.392940125+00:00,1
2026-08-23T11:09:39.393344917+00:00,0
2026-08-23T11:09:39.393787125+00:00,1
2026-08-23T11:09:39.394190250+00:00,0
2026-08-23T11:09:39.394636875+00:00,1
2026-08-23T11:09:39.395036625+00:00,0
2026-08-23T11:09:39.395483583+00:00,1
2026-08-23T11:09:39.396701792+00:00,0
2026-08-23T11:09:39.397170625+00:00,1
2026-08-23T11:09:39.398389667+00:00,0
2026-08-23T11:09:39.398887458+00:00,1
2026-08-23T11:09:39.399264625+00:00,0
2026-08-23T11:09:39.399707250+00:00,1
2026-08-23T11:09:39.400085250+00:00,0
2026-08-23T11:09:39.400582292+00:00,1
2026-08-23T11:09:39.400929167+00:00,0
2026-08-23T11:09:39.401401000+00:00,1
2026-08-23T11:09:39.401803208+00:00,0
2026-08-23T11:09:39.402249458+00:00,1
2026-08-23T11:09:39.402621500+00:00,0
2026-08-23T11:09:39.403094417+00:00,1
2026-08-23T11:09:39.403466833+00:00,0
2026-08-23T11:09:39.403940667+00:00,1
2026-08-23T11:09:39.405156500+00:00,0
2026-08-23T11:09:39.405632042+00:00,1
2026-08-23T11:09:39.406032208+00:00,0
2026-08-23T11:09:39.406477917+00:00,1
2026-08-23T11:09:39.407695417+00:00,0
2026-08-23T11:09:39.408168500+00:00,1
2026-08-23T11:09:39.408569417+00:00,0
2026-08-23T11:09:39.409014167+00:00,1
2026-08-23T11:09:39.410232458+00:00,0
2026-08-23T11:09:39.410705167+00:00,1
2026-08-23T11:09:39.411925292+00:00,0
2026-08-23T11:09:39.412399500+00:00,1
2026-08-23T11:09:39.413642792+00:00,0
2026-08-23T11:09:39.414114417+00:00,1
2026-08-23T11:09:39.415306750+00:00,0
2026-08-23T11:09:39.415780417+00:00,1
2026-08-23T11:09:39.416180833+00:00,0
2026-08-23T11:09:39.416627375+00:00,1
2026-08-23T11:09:39.417844000+00:00,0
2026-08-23T11:09:39.418318500+00:00,1
2026-08-23T11:09:39.418690042+00:00,0
2026-08-23T11:09:39.419165542+00:00,1
2026-08-23T11:09:39.420409083+00:00,0
2026-08-23T11:09:39.420852667+00:00,1
2026-08-23T11:09:39.421255333+00:00,0
2026-08-23T11:09:39.421726000+00:00,1
2026-08-23T11:09:39.422101208+00:00,0
2026-08-23T11:09:39.422548417+00:00,1
2026-08-23T11:09:39.422918333+00:00,0
2026-08-23T11:09:39.423393250+00:00,1
2026-08-23T11:09:39.423793708+00:00,0
2026-08-23T11:09:39.424239833+00:00,1
2026-08-23T11:09:39.424610250+00:00,0
2026-08-23T11:09:39.425085250+00:00,1
2026-08-23T11:09:39.425455042+00:00,0
2026-08-23T11:09:39.425931167+00:00,1
2026-08-23T11:09:39.426304667+00:00,0
2026-08-23T11:09:39.426776583+00:00,1
2026-08-23T11:09:39.427177208+00:00,0
2026-08-23T11:09:39.427624625+00:00,1
2026-08-23T11:09:39.428838542+00:00,0
2026-08-23T11:09:39.429314667+00:00,1
2026-08-23T11:09:39.430531250+00:00,0
2026-08-23T11:09:39.431004750+00:00,1
2026-08-23T11:09:39.432222542+00:00,0
2026-08-23T11:09:39.432696667+00:00,1
2026-08-23T11:09:39.433911917+00:00,0
2026-08-23T11:09:39.434411708+00:00,1
2026-08-23T11:09:39.435632000+00:00,0
2026-08-23T11:09:39.436078625+00:00,1
2026-08-23T11:09:39.437323042+00:00,0
2026-08-23T11:09:39.437766500+00:00,1
2026-08-23T11:09:39.438985333+00:00,0
2026-08-23T11:09:39.439486292+00:00,1
2026-08-23T11:09:39.440678375+00:00,0
2026-08-23T11:09:39.441151500+00:00,1
2026-08-23T11:09:39.441523792+00:00,0
2026-08-23T11:09:39.441994875+00:00,1
2026-08-23T11:09:39.443243000+00:00,0
2026-08-23T11:09:39.443691417+00:00,1
2026-08-23T11:09:39.444905417+00:00,0
2026-08-23T11:09:39.445379000+00:00,1
2026-08-23T11:09:39.445751958+00:00,0
2026-08-23T11:09:39.446227458+00:00,1
2026-08-23T11:09:39.446626250+00:00,0
2026-08-23T11:09:39.447094875+00:00,1
2026-08-23T11:09:39.447445417+00:00,0
2026-08-23T11:09:39.447944542+00:00,1
2026-08-23T11:09:39.448288583+00:00,0
2026-08-23T11:09:39.448763500+00:00,1
2026-08-23T11:09:39.449138083+00:00,0
2026-08-23T11:09:39.449632583+00:00,1
2026-08-23T11:09:39.450855125+00:00,0
2026-08-23T11:09:39.451301917+00:00,1
2026-08-23T11:09:39.451701208+00:00,0
2026-08-23T11:09:39.452145500+00:00,1
2026-08-23T11:09:39.452547333+00:00,0
2026-08-23T11:09:39.453018750+00:00,1
2026-08-23T11:09:39.454209042+00:00,0
2026-08-23T11:09:39.454684708+00:00,1
2026-08-23T11:09:39.455901917+00:00,0
2026-08-23T11:09:39.456400333+00:00,1
2026-08-23T11:09:39.457592125+00:00,0
2026-08-23T11:09:39.458067417+00:00,1
2026-08-23T11:09:39.459312208+00:00,0
2026-08-23T11:09:39.459758292+00:00,1
2026-08-23T11:09:39.460979625+00:00,0
2026-08-23T11:09:39.461452500+00:00,1
2026-08-23T11:09:39.461822625+00:00,0
2026-08-23T11:09:39.462321500+00:00,1
2026-08-23T11:09:39.463511792+00:00,0
2026-08-23T11:09:39.463989042+00:00,1
2026-08-23T11:09:39.464360125+00:00,0
2026-08-23T11:09:39.464857500+00:00,1
2026-08-23T11:09:39.465205333+00:00,0
2026-08-23T11:09:39.465677208+00:00,1
2026-08-23T11:09:39.466924333+00:00,0
2026-08-23T11:09:39.467370000+00:00,1
2026-08-23T11:09:39.468615417+00:00,0
2026-08-23T11:09:39.469061833+00:00,1
2026-08-23T11:09:39.470278083+00:00,0
2026-08-23T11:09:39.470749208+00:00,1
2026-08-23T11:09:39.471969750+00:00,0
2026-08-23T11:09:39.472443542+00:00,1
2026-08-23T11:09:39.473660417+00:00,0
2026-08-23T11:09:39.474138500+00:00,1
2026-08-23T11:09:39.474507750+00:00,0
2026-08-23T11:09:39.474979458+00:00,1
2026-08-23T11:09:39.476226250+00:00,0
2026-08-23T11:09:39.476673792+00:00,1
2026-08-23T11:09:39.477916792+00:00,0
2026-08-23T11:09:39.478365125+00:00,1
2026-08-23T11:09:39.478735375+00:00,0
2026-08-23T11:09:39.479210000+00:00,1
2026-08-23T11:09:39.479608625+00:00,0
2026-08-23T11:09:39.480077250+00:00,1
2026-08-23T11:09:39.480454917+00:00,0
2026-08-23T11:09:39.480900750+00:00,1
2026-08-23T11:09:39.481303042+00:00,0
2026-08-23T11:09:39.481744292+00:00,1
2026-08-23T11:09:39.521897083+00:00,0
2026-08-23T11:09:39.525287042+00:00,1
2026-08-23T11:09:39.526945667+00:00,0
2026-08-23T11:09:39.527414458+00:00,1
2026-08-23T11:09:39.528637875+00:00,0
2026-08-23T11:09:39.529111375+00:00,1
2026-08-23T11:09:39.529482958+00:00,0
2026-08-23T11:09:39.529953625+00:00,1
2026-08-23T11:09:39.530357708+00:00,0
2026-08-23T11:09:39.530828750+00:00,1
2026-08-23T11:09:39.531203500+00:00,0
2026-08-23T11:09:39.531674083+00:00,1
2026-08-23T11:09:39.532024125+00:00,0
2026-08-23T11:09:39.532497042+00:00,1
2026-08-23T11:09:39.532895708+00:00,0
2026-08-23T11:09:39.533339417+00:00,1
2026-08-23T11:09:39.533742333+00:00,0
2026-08-23T11:09:39.534188500+00:00,1
2026-08-23T11:09:39.534560042+00:00,0
2026-08-23T11:09:39.535032917+00:00,1
2026-08-23T11:09:39.535406708+00:00,0
2026-08-23T11:09:39.535881500+00:00,1
2026-08-23T11:09:39.536279833+00:00,0
2026-08-23T11:09:39.536726167+00:00,1
2026-08-23T11:09:39.537131375+00:00,0
2026-08-23T11:09:39.537577042+00:00,1
2026-08-23T11:09:39.537971875+00:00,0
2026-08-23T11:09:39.538418125+00:00,1
2026-08-23T11:09:39.539632542+00:00,0
2026-08-23T11:09:39.540107750+00:00,1
2026-08-23T11:09:39.540484542+00:00,0
2026-08-23T11:09:39.540954083+00:00,1
2026-08-23T11:09:39.541355375+00:00,0
2026-08-23T11:09:39.541801417+00:00,1
2026-08-23T11:09:39.542201042+00:00,0
2026-08-23T11:09:39.542647708+00:00,1
2026-08-23T11:09:39.543018708+00:00,0
2026-08-23T11:09:39.543493125+00:00,1
2026-08-23T11:09:39.543893708+00:00,0
2026-08-23T11:09:39.544339583+00:00,1
2026-08-23T11:09:39.544711458+00:00,0
2026-08-23T11:09:39.545209958+00:00,1
2026-08-23T11:09:39.545558958+00:00,0
2026-08-23T11:09:39.546029542+00:00,1
2026-08-23T11:09:39.547276625+00:00,0
2026-08-23T11:09:39.547722583+00:00,1
2026-08-23T11:09:39.548968625+00:00,0
2026-08-23T11:09:39.549437958+00:00,1
2026-08-23T11:09:39.549786708+00:00,0
2026-08-23T11:09:39.550259625+00:00,1
2026-08-23T11:09:39.550633167+00:00,0
2026-08-23T11:09:39.551107500+00:00,1
2026-08-23T11:09:39.551479125+00:00,0
2026-08-23T11:09:39.551954167+00:00,1
2026-08-23T11:09:39.552324000+00:00,0
2026-08-23T11:09:39.552798250+00:00,1
2026-08-23T11:09:39.553171750+00:00,0
2026-08-23T11:09:39.553646250+00:00,1
2026-08-23T11:09:39.554018583+00:00,0
2026-08-23T11:09:39.554513667+00:00,1
2026-08-23T11:09:39.555706792+00:00,0
2026-08-23T11:09:39.556181667+00:00,1
2026-08-23T11:09:39.556552667+00:00,0
2026-08-23T11:09:39.557026167+00:00,1
2026-08-23T11:09:39.558272625+00:00,0
2026-08-23T11:09:39.558720750+00:00,1
2026-08-23T11:09:39.559089500+00:00,0
2026-08-23T11:09:39.559563917+00:00,1
2026-08-23T11:09:39.560809500+00:00,0
2026-08-23T11:09:39.561253042+00:00,1
2026-08-23T11:09:39.562501000+00:00,0
2026-08-23T11:09:39.562944833+00:00,1
2026-08-23T11:09:39.564163250+00:00,0
2026-08-23T11:09:39.564638208+00:00,1
2026-08-23T11:09:39.565883250+00:00,0
2026-08-23T11:09:39.566355250+00:00,1
2026-08-23T11:09:39.566729667+00:00,0
2026-08-23T11:09:39.567174917+00:00,1
2026-08-23T11:09:39.568394083+00:00,0
2026-08-23T11:09:39.568867625+00:00,1
2026-08-23T11:09:39.569267083+00:00,0
2026-08-23T11:09:39.569709792+00:00,1
2026-08-23T11:09:39.570959000+00:00,0
2026-08-23T11:09:39.571429667+00:00,1
2026-08-23T11:09:39.571775875+00:00,0
2026-08-23T11:09:39.572248625+00:00,1
2026-08-23T11:09:39.572650792+00:00,0
2026-08-23T11:09:39.573017333+00:00,1
2026-08-23T11:09:39.573497542+00:00,0
2026-08-23T11:09:39.573944583+00:00,1
2026-08-23T11:09:39.574342417+00:00,0
2026-08-23T11:09:39.574789667+00:00,1
2026-08-23T11:09:39.575194542+00:00,0
2026-08-23T11:09:39.575614458+00:00,1
2026-08-23T11:09:39.576034583+00:00,0
2026-08-23T11:09:39.576481917+00:00,1
2026-08-23T11:09:39.576851917+00:00,0
2026-08-23T11:09:39.577325042+00:00,1
2026-08-23T11:09:39.577696875+00:00,0
2026-08-23T11:09:39.578173417+00:00,1
2026-08-23T11:09:39.579387542+00:00,0
2026-08-23T11:09:39.579861125+00:00,1
2026-08-23T11:09:39.581078417+00:00,0
2026-08-23T11:09:39.581554708+00:00,1
2026-08-23T11:09:39.582769625+00:00,0
2026-08-23T11:09:39.583246625+00:00,1
2026-08-23T11:09:39.584463167+00:00,0
2026-08-23T11:09:39.584936333+00:00,1
2026-08-23T11:09:39.586180917+00:00,0
2026-08-23T11:09:39.586628792+00:00,1
2026-08-23T11:09:39.587872458+00:00,0
2026-08-23T11:09:39.588317250+00:00,1
2026-08-23T11:09:39.589564083+00:00,0
2026-08-23T11:09:39.590008792+00:00,1
2026-08-23T11:09:39.591255208+00:00,0
2026-08-23T11:09:39.591702500+00:00,1
2026-08-23T11:09:39.592101167+00:00,0
2026-08-23T11:09:39.592545583+00:00,1
2026-08-23T11:09:39.593763458+00:00,0
2026-08-23T11:09:39.594238833+00:00,1
2026-08-23T11:09:39.595455000+00:00,0
2026-08-23T11:09:39.595954792+00:00,1
2026-08-23T11:09:39.596329208+00:00,0
2026-08-23T11:09:39.596775917+00:00,1
2026-08-23T11:09:39.597175708+00:00,0
2026-08-23T11:09:39.597622125+00:00,1
2026-08-23T11:09:39.598021167+00:00,0
2026-08-23T11:09:39.598467833+00:00,1
2026-08-23T11:09:39.598839292+00:00,0
2026-08-23T11:09:39.599265708+00:00,1
2026-08-23T11:09:39.599714625+00:00,0
2026-08-23T11:09:39.600159000+00:00,1
2026-08-23T11:09:39.601374583+00:00,0
2026-08-23T11:09:39.601850417+00:00,1
2026-08-23T11:09:39.602250708+00:00,0
2026-08-23T11:09:39.602697792+00:00,1
2026-08-23T11:09:39.603096333+00:00,0
2026-08-23T11:09:39.603542792+00:00,1
2026-08-23T11:09:39.604760083+00:00,0
2026-08-23T11:09:39.605233833+00:00,1
2026-08-23T11:09:39.606451458+00:00,0
2026-08-23T11:09:39.606923958+00:00,1
2026-08-23T11:09:39.608169417+00:00,0
2026-08-23T11:09:39.608613708+00:00,1
2026-08-23T11:09:39.609860000+00:00,0
2026-08-23T11:09:39.610306958+00:00,1
2026-08-23T11:09:39.611551458+00:00,0
2026-08-23T11:09:39.611998125+00:00,1
2026-08-23T11:09:39.612368417+00:00,0
2026-08-23T11:09:39.612844333+00:00,1
2026-08-23T11:09:39.614058917+00:00,0
2026-08-23T11:09:39.614536708+00:00,1
2026-08-23T11:09:39.614934208+00:00,0
2026-08-23T11:09:39.615329833+00:00,1
2026-08-23T11:09:39.615782667+00:00,0
2026-08-23T11:09:39.616228083+00:00,1
2026-08-23T11:09:39.617444083+00:00,0
2026-08-23T11:09:39.617919417+00:00,1
2026-08-23T11:09:39.619163000+00:00,0
2026-08-23T11:09:39.619609000+00:00,1
2026-08-23T11:09:39.620826542+00:00,0
2026-08-23T11:09:39.621302167+00:00,1
2026-08-23T11:09:39.622545458+00:00,0
2026-08-23T11:09:39.622992375+00:00,1
2026-08-23T11:09:39.624236917+00:00,0
2026-08-23T11:09:39.624685458+00:00,1
2026-08-23T11:09:39.625055625+00:00,0
2026-08-23T11:09:39.625530958+00:00,1
2026-08-23T11:09:39.626774792+00:00,0
2026-08-23T11:09:39.627221750+00:00,1
2026-08-23T11:09:39.628437667+00:00,0
2026-08-23T11:09:39.628912708+00:00,1
2026-08-23T11:09:39.629312125+00:00,0
2026-08-23T11:09:39.629759542+00:00,1
2026-08-23T11:09:39.630158167+00:00,0
2026-08-23T11:09:39.630603625+00:00,1
2026-08-23T11:09:39.631004708+00:00,0
2026-08-23T11:09:39.631449500+00:00,1
2026-08-23T11:09:39.631825458+00:00,0
2026-08-23T11:09:39.632218417+00:00,1
2026-08-23T11:09:39.671995625+00:00,0
2026-08-23T11:09:39.675436250+00:00,1
2026-08-23T11:09:39.677069958+00:00,0
2026-08-23T11:09:39.677542500+00:00,1
2026-08-23T11:09:39.678789792+00:00,0
2026-08-23T11:09:39.679236792+00:00,1
2026-08-23T11:09:39.679635958+00:00,0
2026-08-23T11:09:39.680084208+00:00,1
2026-08-23T11:09:39.680481292+00:00,0
2026-08-23T11:09:39.680927708+00:00,1
2026-08-23T11:09:39.681298583+00:00,0
2026-08-23T11:09:39.681773000+00:00,1
2026-08-23T11:09:39.682144333+00:00,0
2026-08-23T11:09:39.682620542+00:00,1
2026-08-23T11:09:39.682991917+00:00,0
2026-08-23T11:09:39.683489667+00:00,1
2026-08-23T11:09:39.683836125+00:00,0
2026-08-23T11:09:39.684309542+00:00,1
2026-08-23T11:09:39.684684250+00:00,0
2026-08-23T11:09:39.685157333+00:00,1
2026-08-23T11:09:39.685557208+00:00,0
2026-08-23T11:09:39.686027500+00:00,1
2026-08-23T11:09:39.686403208+00:00,0
2026-08-23T11:09:39.686849500+00:00,1
2026-08-23T11:09:39.687249750+00:00,0
2026-08-23T11:09:39.687697042+00:00,1
2026-08-23T11:09:39.688065958+00:00,0
2026-08-23T11:09:39.688565542+00:00,1
2026-08-23T11:09:39.689756708+00:00,0
2026-08-23T11:09:39.690231250+00:00,1
2026-08-23T11:09:39.690631417+00:00,0
2026-08-23T11:09:39.691078583+00:00,1
2026-08-23T11:09:39.691448500+00:00,0
2026-08-23T11:09:39.691922667+00:00,1
2026-08-23T11:09:39.692323083+00:00,0
2026-08-23T11:09:39.692766042+00:00,1
2026-08-23T11:09:39.693169708+00:00,0
2026-08-23T11:09:39.693616208+00:00,1
2026-08-23T11:09:39.693988583+00:00,0
2026-08-23T11:09:39.694461625+00:00,1
