Time [s],Channel 0
2026-08-23T11:08:37.388831000+00:00,1
2026-08-23T11:08:37.806653250+00:00,0
2026-08-23T11:08:37.809993500+00:00,1
2026-08-23T11:08:37.811732292+00:00,0
2026-08-23T11:08:37.812202542+00:00,1
2026-08-23T11:08:37.813421500+00:00,0
2026-08-23T11:08:37.813916708+00:00,1
2026-08-23T11:08:37.814296458+00:00,0
2026-08-23T11:08:37.814738708+00:00,1
2026-08-23T11:08:37.815115208+00:00,0
2026-08-23T11:08:37.815583292+00:00,1
2026-08-23T11:08:37.815960750+00:00,0
2026-08-23T11:08:37.816431792+00:00,1
2026-08-23T11:08:37.816834042+00:00,0
2026-08-23T11:08:37.817277417+00:00,1
2026-08-23T11:08:37.817652125+00:00,0
2026-08-23T11:08:37.818146458+00:00,1
2026-08-23T11:08:37.818499667+00:00,0
2026-08-23T11:08:37.818968333+00:00,1
2026-08-23T11:08:37.819344125+00:00,0
2026-08-23T11:08:37.819812667+00:00,1
2026-08-23T11:08:37.820199333+00:00,0
2026-08-23T11:08:37.820636875+00:00,1
2026-08-23T11:08:37.821034708+00:00,0
2026-08-23T11:08:37.821528833+00:00,1
2026-08-23T11:08:37.821908167+00:00,0
2026-08-23T11:08:37.822352250+00:00,1
2026-08-23T11:08:37.822727083+00:00,0
2026-08-23T11:08:37.823196542+00:00,1
2026-08-23T11:08:37.824416208+00:00,0
2026-08-23T11:08:37.824889208+00:00,1
2026-08-23T11:08:37.825291542+00:00,0
2026-08-23T11:08:37.825734167+00:00,1
2026-08-23T11:08:37.826110208+00:00,0
2026-08-23T11:08:37.826581333+00:00,1
2026-08-23T11:08:37.826982750+00:00,0
2026-08-23T11:08:37.827426792+00:00,1
2026-08-23T11:08:37.827803458+00:00,0
2026-08-23T11:08:37.828296375+00:00,1
2026-08-23T11:08:37.828646500+00:00,0
2026-08-23T11:08:37.829115667+00:00,1
2026-08-23T11:08:37.829492833+00:00,0
2026-08-23T11:08:37.829962667+00:00,1
2026-08-23T11:08:37.830337917+00:00,0
2026-08-23T11:08:37.830805125+00:00,1
2026-08-23T11:08:37.832029000+00:00,0
2026-08-23T11:08:37.832497875+00:00,1
2026-08-23T11:08:37.833718625+00:00,0
2026-08-23T11:08:37.834193875+00:00,1
2026-08-23T11:08:37.834594250+00:00,0
2026-08-23T11:08:37.835036042+00:00,1
2026-08-23T11:08:37.835412833+00:00,0
2026-08-23T11:08:37.835880792+00:00,1
2026-08-23T11:08:37.836258542+00:00,0
2026-08-23T11:08:37.836726375+00:00,1
2026-08-23T11:08:37.837131708+00:00,0
2026-08-23T11:08:37.837497042+00:00,1
2026-08-23T11:08:37.837978083+00:00,0
2026-08-23T11:08:37.838417000+00:00,1
2026-08-23T11:08:37.838796750+00:00,0
2026-08-23T11:08:37.839289792+00:00,1
2026-08-23T11:08:37.840487083+00:00,0
2026-08-23T11:08:37.840958042+00:00,1
