Time [s],Channel 0
2026-08-23T11:03:35.894782000+00:00,1
2026-08-23T11:03:36.846450750+00:00,0
2026-08-23T11:03:36.849788917+00:00,1
2026-08-23T11:03:36.851528667+00:00,0
2026-08-23T11:03:36.851920292+00:00,1
2026-08-23T11:03:36.853218875+00:00,0
2026-08-23T11:03:36.853611292+00:00,1
2026-08-23T11:03:36.854066583+00:00,0
2026-08-23T11:03:36.854530292+00:00,1
2026-08-23T11:03:36.854911708+00:00,0
2026-08-23T11:03:36.855378417+00:00,1
2026-08-23T11:03:36.855757625+00:00,0
2026-08-23T11:03:36.856229583+00:00,1
2026-08-23T11:03:36.856603000+00:00,0
2026-08-23T11:03:36.856995458+00:00,1
2026-08-23T11:03:36.857449458+00:00,0
2026-08-23T11:03:36.857841667+00:00,1
2026-08-23T11:03:36.858295125+00:00,0
2026-08-23T11:03:36.858770917+00:00,1
2026-08-23T11:03:36.859141542+00:00,0
2026-08-23T11:03:36.859533458+00:00,1
2026-08-23T11:03:36.859988000+00:00,0
2026-08-23T11:03:36.860457125+00:00,1
2026-08-23T11:03:36.860833708+00:00,0
2026-08-23T11:03:36.861225417+00:00,1
2026-08-23T11:03:36.861678417+00:00,0
2026-08-23T11:03:36.862070583+00:00,1
2026-08-23T11:03:36.862524792+00:00,0
2026-08-23T11:03:36.862995333+00:00,1
2026-08-23T11:03:36.864214333+00:00,0
2026-08-23T11:03:36.864608375+00:00,1
2026-08-23T11:03:36.865062708+00:00,0
2026-08-23T11:03:36.865454292+00:00,1
2026-08-23T11:03:36.865907375+00:00,0
2026-08-23T11:03:36.866378417+00:00,1
2026-08-23T11:03:36.866754083+00:00,0
2026-08-23T11:03:36.867146708+00:00,1
2026-08-23T11:03:36.867600583+00:00,0
2026-08-23T11:03:36.867992125+00:00,1
2026-08-23T11:03:36.868446042+00:00,0
2026-08-23T11:03:36.868838000+00:00,1
2026-08-23T11:03:36.869292167+00:00,0
2026-08-23T11:03:36.869761500+00:00,1
2026-08-23T11:03:36.870137417+00:00,0
2026-08-23T11:03:36.870529875+00:00,1
2026-08-23T11:03:36.871829208+00:00,0
2026-08-23T11:03:36.872300250+00:00,1
2026-08-23T11:03:36.873519292+00:00,0
2026-08-23T11:03:36.873912625+00:00,1
2026-08-23T11:03:36.874366833+00:00,0
2026-08-23T11:03:36.874758583+00:00,1
2026-08-23T11:03:36.875212875+00:00,0
2026-08-23T11:03:36.875604917+00:00,1
2026-08-23T11:03:36.876058208+00:00,0
2026-08-23T11:03:36.876451042+00:00,1
2026-08-23T11:03:36.876905125+00:00,0
2026-08-23T11:03:36.877296542+00:00,1
2026-08-23T11:03:36.877751375+00:00,0
2026-08-23T11:03:36.878218042+00:00,1
2026-08-23T11:03:36.878596583+00:00,0
2026-08-23T11:03:36.878988542+00:00,1
2026-08-23T11:03:36.880286667+00:00,0
2026-08-23T11:03:36.880679125+00:00,1
2026-08-23T11:03:36.881133625+00:00,0
2026-08-23T11:03:36.881602042+00:00,1
2026-08-23T11:03:36.882824333+00:00,0
2026-08-23T11:03:36.883291000+00:00,1
2026-08-23T11:03:36.883672500+00:00,0
2026-08-23T11:03:36.884148167+00:00,1
2026-08-23T11:03:36.885361042+00:00,0
2026-08-23T11:03:36.885828167+00:00,1
2026-08-23T11:03:36.887051833+00:00,0
2026-08-23T11:03:36.887518333+00:00,1
2026-08-23T11:03:36.888744333+00:00,0
2026-08-23T11:03:36.889214458+00:00,1
2026-08-23T11:03:36.890435625+00:00,0
2026-08-23T11:03:36.890903000+00:00,1
2026-08-23T11:03:36.891281458+00:00,0
2026-08-23T11:03:36.891673250+00:00,1
2026-08-23T11:03:36.892972375+00:00,0
2026-08-23T11:03:36.893363958+00:00,1
2026-08-23T11:03:36.893818542+00:00,0
2026-08-23T11:03:36.894287375+00:00,1
2026-08-23T11:03:36.895509125+00:00,0
2026-08-23T11:03:36.895901208+00:00,1
2026-08-23T11:03:36.896355792+00:00,0
2026-08-23T11:03:36.896746958+00:00,1
2026-08-23T11:03:36.897200875+00:00,0
2026-08-23T11:03:36.897593042+00:00,1
2026-08-23T11:03:36.898047375+00:00,0
2026-08-23T11:03:36.898438917+00:00,1
2026-08-23T11:03:36.898894417+00:00,0
2026-08-23T11:03:36.899358333+00:00,1
2026-08-23T11:03:36.899739500+00:00,0
2026-08-23T11:03:36.900209083+00:00,1
2026-08-23T11:03:36.900584500+00:00,0
2026-08-23T11:03:36.901051458+00:00,1
2026-08-23T11:03:36.901431458+00:00,0
2026-08-23T11:03:36.901901250+00:00,1
2026-08-23T11:03:36.902276792+00:00,0
2026-08-23T11:03:36.902754000+00:00,1
2026-08-23T11:03:36.903967208+00:00,0
2026-08-23T11:03:36.904434958+00:00,1
2026-08-23T11:03:36.905659083+00:00,0
2026-08-23T11:03:36.906126042+00:00,1
2026-08-23T11:03:36.907350208+00:00,0
2026-08-23T11:03:36.907819875+00:00,1
2026-08-23T11:03:36.909040750+00:00,0
2026-08-23T11:03:36.909510000+00:00,1
2026-08-23T11:03:36.910731250+00:00,0
2026-08-23T11:03:36.911148083+00:00,1
2026-08-23T11:03:36.912422542+00:00,0
2026-08-23T11:03:36.912815042+00:00,1
2026-08-23T11:03:36.914113875+00:00,0
2026-08-23T11:03:36.914584792+00:00,1
2026-08-23T11:03:36.915804750+00:00,0
2026-08-23T11:03:36.916272458+00:00,1
2026-08-23T11:03:36.917495208+00:00,0
2026-08-23T11:03:36.917888208+00:00,1
2026-08-23T11:03:36.918342333+00:00,0
2026-08-23T11:03:36.918734542+00:00,1
2026-08-23T11:03:36.919188083+00:00,0
2026-08-23T11:03:36.919580667+00:00,1
2026-08-23T11:03:36.920035708+00:00,0
2026-08-23T11:03:36.920504000+00:00,1
2026-08-23T11:03:36.920880583+00:00,0
2026-08-23T11:03:36.921350458+00:00,1
2026-08-23T11:03:36.922570250+00:00,0
2026-08-23T11:03:36.923042917+00:00,1
2026-08-23T11:03:36.923416750+00:00,0
2026-08-23T11:03:36.923809042+00:00,1
2026-08-23T11:03:36.924263625+00:00,0
2026-08-23T11:03:36.924655250+00:00,1
2026-08-23T11:03:36.925110333+00:00,0
2026-08-23T11:03:36.925576708+00:00,1
2026-08-23T11:03:36.926800583+00:00,0
2026-08-23T11:03:36.927265167+00:00,1
2026-08-23T11:03:36.928491750+00:00,0
2026-08-23T11:03:36.928883750+00:00,1
2026-08-23T11:03:36.930181875+00:00,0
2026-08-23T11:03:36.930628125+00:00,1
2026-08-23T11:03:36.931874708+00:00,0
2026-08-23T11:03:36.932266667+00:00,1
2026-08-23T11:03:36.932720708+00:00,0
2026-08-23T11:03:36.933189333+00:00,1
2026-08-23T11:03:36.934410583+00:00,0
2026-08-23T11:03:36.934803333+00:00,1
2026-08-23T11:03:36.936106458+00:00,0
2026-08-23T11:03:36.936498208+00:00,1
2026-08-23T11:03:36.936948042+00:00,0
2026-08-23T11:03:36.937340625+00:00,1
2026-08-23T11:03:36.938638958+00:00,0
2026-08-23T11:03:36.939109375+00:00,1
2026-08-23T11:03:36.939486958+00:00,0
2026-08-23T11:03:36.939877708+00:00,1
2026-08-23T11:03:36.940331750+00:00,0
2026-08-23T11:03:36.940799458+00:00,1
2026-08-23T11:03:36.942023583+00:00,0
2026-08-23T11:03:36.942415042+00:00,1
2026-08-23T11:03:36.943714500+00:00,0
2026-08-23T11:03:36.944185208+00:00,1
2026-08-23T11:03:36.945405833+00:00,0
2026-08-23T11:03:36.945877083+00:00,1
2026-08-23T11:03:36.947097000+00:00,0
2026-08-23T11:03:36.947488708+00:00,1
2026-08-23T11:03:36.948788000+00:00,0
2026-08-23T11:03:36.949253542+00:00,1
2026-08-23T11:03:36.949633875+00:00,0
2026-08-23T11:03:36.950025917+00:00,1
2026-08-23T11:03:36.951324458+00:00,0
2026-08-23T11:03:36.951802292+00:00,1
2026-08-23T11:03:36.953016750+00:00,0
2026-08-23T11:03:36.953485000+00:00,1
2026-08-23T11:03:36.953862875+00:00,0
2026-08-23T11:03:36.954253667+00:00,1
2026-08-23T11:03:36.954709792+00:00,0
2026-08-23T11:03:36.955174292+00:00,1
2026-08-23T11:03:36.955554708+00:00,0
2026-08-23T11:03:36.956016833+00:00,1
2026-08-23T11:03:36.956402875+00:00,0
2026-08-23T11:03:36.956795292+00:00,1
2026-08-23T11:03:36.996995167+00:00,0
2026-08-23T11:03:37.000332583+00:00,1
2026-08-23T11:03:37.002072667+00:00,0
2026-08-23T11:03:37.002542458+00:00,1
2026-08-23T11:03:37.003762792+00:00,0
2026-08-23T11:03:37.004241833+00:00,1
2026-08-23T11:03:37.004609167+00:00,0
2026-08-23T11:03:37.005001167+00:00,1
2026-08-23T11:03:37.005455708+00:00,0
2026-08-23T11:03:37.005923375+00:00,1
2026-08-23T11:03:37.006300167+00:00,0
2026-08-23T11:03:37.006766208+00:00,1
2026-08-23T11:03:37.007146667+00:00,0
2026-08-23T11:03:37.007610208+00:00,1
2026-08-23T11:03:37.007993542+00:00,0
2026-08-23T11:03:37.008469958+00:00,1
2026-08-23T11:03:37.008839167+00:00,0
2026-08-23T11:03:37.009304250+00:00,1
2026-08-23T11:03:37.009684583+00:00,0
2026-08-23T11:03:37.010077083+00:00,1
2026-08-23T11:03:37.010531042+00:00,0
2026-08-23T11:03:37.011002833+00:00,1
2026-08-23T11:03:37.011376250+00:00,0
2026-08-23T11:03:37.011768167+00:00,1
2026-08-23T11:03:37.012229125+00:00,0
2026-08-23T11:03:37.012594500+00:00,1
2026-08-23T11:03:37.013067667+00:00,0
2026-08-23T11:03:37.013459667+00:00,1
2026-08-23T11:03:37.014757875+00:00,0
2026-08-23T11:03:37.015150917+00:00,1
2026-08-23T11:03:37.015604958+00:00,0
2026-08-23T11:03:37.016073625+00:00,1
2026-08-23T11:03:37.016451250+00:00,0
2026-08-23T11:03:37.016923958+00:00,1
2026-08-23T11:03:37.017296667+00:00,0
2026-08-23T11:03:37.017762958+00:00,1
2026-08-23T11:03:37.018142417+00:00,0
2026-08-23T11:03:37.018608917+00:00,1
2026-08-23T11:03:37.018987875+00:00,0
2026-08-23T11:03:37.019453875+00:00,1
2026-08-23T11:03:37.019834917+00:00,0
2026-08-23T11:03:37.020226583+00:00,1
2026-08-23T11:03:37.020680083+00:00,0
2026-08-23T11:03:37.021072625+00:00,1
2026-08-23T11:03:37.022371125+00:00,0
2026-08-23T11:03:37.022763167+00:00,1
2026-08-23T11:03:37.024062250+00:00,0
2026-08-23T11:03:37.024454542+00:00,1
2026-08-23T11:03:37.024908542+00:00,0
2026-08-23T11:03:37.025353250+00:00,1
2026-08-23T11:03:37.025754375+00:00,0
2026-08-23T11:03:37.026146417+00:00,1
2026-08-23T11:03:37.026600500+00:00,0
2026-08-23T11:03:37.027067167+00:00,1
2026-08-23T11:03:37.027447125+00:00,0
2026-08-23T11:03:37.027838458+00:00,1
2026-08-23T11:03:37.028292458+00:00,0
2026-08-23T11:03:37.028763875+00:00,1
2026-08-23T11:03:37.029138875+00:00,0
2026-08-23T11:03:37.029604458+00:00,1
2026-08-23T11:03:37.030828333+00:00,0
2026-08-23T11:03:37.031220833+00:00,1
2026-08-23T11:03:37.031674875+00:00,0
2026-08-23T11:03:37.032141208+00:00,1
2026-08-23T11:03:37.033365083+00:00,0
2026-08-23T11:03:37.033834125+00:00,1
2026-08-23T11:03:37.034211583+00:00,0
2026-08-23T11:03:37.034682208+00:00,1
2026-08-23T11:03:37.035902000+00:00,0
2026-08-23T11:03:37.036319917+00:00,1
2026-08-23T11:03:37.037593417+00:00,0
2026-08-23T11:03:37.038060750+00:00,1
2026-08-23T11:03:37.039285250+00:00,0
2026-08-23T11:03:37.039749375+00:00,1
2026-08-23T11:03:37.040976042+00:00,0
2026-08-23T11:03:37.041448292+00:00,1
2026-08-23T11:03:37.041822167+00:00,0
2026-08-23T11:03:37.042289333+00:00,1
2026-08-23T11:03:37.043514083+00:00,0
2026-08-23T11:03:37.043905708+00:00,1
2026-08-23T11:03:37.044359750+00:00,0
2026-08-23T11:03:37.044830250+00:00,1
2026-08-23T11:03:37.046050333+00:00,0
2026-08-23T11:03:37.046521208+00:00,1
2026-08-23T11:03:37.046895917+00:00,0
2026-08-23T11:03:37.047365417+00:00,1
2026-08-23T11:03:37.047741958+00:00,0
2026-08-23T11:03:37.048134583+00:00,1
2026-08-23T11:03:37.048589250+00:00,0
2026-08-23T11:03:37.049057667+00:00,1
2026-08-23T11:03:37.049434708+00:00,0
2026-08-23T11:03:37.049826083+00:00,1
2026-08-23T11:03:37.050288958+00:00,0
2026-08-23T11:03:37.050727583+00:00,1
2026-08-23T11:03:37.051126208+00:00,0
2026-08-23T11:03:37.051518083+00:00,1
2026-08-23T11:03:37.051973167+00:00,0
2026-08-23T11:03:37.052364167+00:00,1
2026-08-23T11:03:37.052817917+00:00,0
2026-08-23T11:03:37.053284750+00:00,1
2026-08-23T11:03:37.054508583+00:00,0
2026-08-23T11:03:37.054900792+00:00,1
2026-08-23T11:03:37.056200250+00:00,0
2026-08-23T11:03:37.056669875+00:00,1
2026-08-23T11:03:37.057890250+00:00,0
2026-08-23T11:03:37.058283125+00:00,1
2026-08-23T11:03:37.059581750+00:00,0
2026-08-23T11:03:37.059974208+00:00,1
2026-08-23T11:03:37.061272625+00:00,0
2026-08-23T11:03:37.061665208+00:00,1
2026-08-23T11:03:37.062964125+00:00,0
2026-08-23T11:03:37.063441500+00:00,1
2026-08-23T11:03:37.064655583+00:00,0
2026-08-23T11:03:37.065124625+00:00,1
2026-08-23T11:03:37.066346792+00:00,0
2026-08-23T11:03:37.066813708+00:00,1
2026-08-23T11:03:37.068037333+00:00,0
2026-08-23T11:03:37.068482542+00:00,1
2026-08-23T11:03:37.068884792+00:00,0
2026-08-23T11:03:37.069352625+00:00,1
2026-08-23T11:03:37.069729375+00:00,0
2026-08-23T11:03:37.070121875+00:00,1
2026-08-23T11:03:37.070577167+00:00,0
2026-08-23T11:03:37.070968250+00:00,1
2026-08-23T11:03:37.071423583+00:00,0
2026-08-23T11:03:37.071814125+00:00,1
2026-08-23T11:03:37.073112917+00:00,0
2026-08-23T11:03:37.073505292+00:00,1
2026-08-23T11:03:37.073960333+00:00,0
