Time [s],Channel 0
2026-08-23T11:06:27.217198000+00:00,1
2026-08-23T11:06:27.714435167+00:00,0
2026-08-23T11:06:27.717847667+00:00,1
2026-08-23T11:06:27.719483083+00:00,0
2026-08-23T11:06:27.719982458+00:00,1
2026-08-23T11:06:27.721173333+00:00,0
2026-08-23T11:06:27.721647250+00:00,1
2026-08-23T11:06:27.722018375+00:00,0
2026-08-23T11:06:27.722493875+00:00,1
2026-08-23T11:06:27.722865250+00:00,0
2026-08-23T11:06:27.723341625+00:00,1
2026-08-23T11:06:27.723713708+00:00,0
2026-08-23T11:06:27.724185875+00:00,1
2026-08-23T11:06:27.724586542+00:00,0
2026-08-23T11:06:27.725030792+00:00,1
2026-08-23T11:06:27.725432500+00:00,0
2026-08-23T11:06:27.725876292+00:00,1
2026-08-23T11:06:27.726278375+00:00,0
2026-08-23T11:06:27.726720792+00:00,1
2026-08-23T11:06:27.727096333+00:00,0
2026-08-23T11:06:27.727568167+00:00,1
2026-08-23T11:06:27.727969583+00:00,0
2026-08-23T11:06:27.728415917+00:00,1
2026-08-23T11:06:27.728815458+00:00,0
2026-08-23T11:06:27.729258375+00:00,1
2026-08-23T11:06:27.729633292+00:00,0
2026-08-23T11:06:27.730131458+00:00,1
2026-08-23T11:06:27.730507625+00:00,0
2026-08-23T11:06:27.730948958+00:00,1
2026-08-23T11:06:27.732167958+00:00,0
2026-08-23T11:06:27.732645167+00:00,1
2026-08-23T11:06:27.733043542+00:00,0
2026-08-23T11:06:27.733489625+00:00,1
2026-08-23T11:06:27.733890292+00:00,0
2026-08-23T11:06:27.734336625+00:00,1
2026-08-23T11:06:27.734709167+00:00,0
2026-08-23T11:06:27.735181583+00:00,1
2026-08-23T11:06:27.735551917+00:00,0
2026-08-23T11:06:27.736025500+00:00,1
2026-08-23T11:06:27.736400458+00:00,0
2026-08-23T11:06:27.736897292+00:00,1
2026-08-23T11:06:27.737273333+00:00,0
2026-08-23T11:06:27.737717708+00:00,1
2026-08-23T11:06:27.738119125+00:00,0
2026-08-23T11:06:27.738561708+00:00,1
2026-08-23T11:06:27.739780917+00:00,0
2026-08-23T11:06:27.740256917+00:00,1
2026-08-23T11:06:27.741474583+00:00,0
2026-08-23T11:06:27.741970292+00:00,1
2026-08-23T11:06:27.742347083+00:00,0
2026-08-23T11:06:27.742793583+00:00,1
2026-08-23T11:06:27.743193292+00:00,0
2026-08-23T11:06:27.743639000+00:00,1
2026-08-23T11:06:27.744010500+00:00,0
2026-08-23T11:06:27.744484750+00:00,1
2026-08-23T11:06:27.744855417+00:00,0
2026-08-23T11:06:27.745356083+00:00,1
2026-08-23T11:06:27.745703792+00:00,0
2026-08-23T11:06:27.746177792+00:00,1
2026-08-23T11:06:27.746548417+00:00,0
2026-08-23T11:06:27.747023292+00:00,1
2026-08-23T11:06:27.748267750+00:00,0
2026-08-23T11:06:27.748713375+00:00,1
2026-08-23T11:06:27.749086625+00:00,0
2026-08-23T11:06:27.749585625+00:00,1
2026-08-23T11:06:27.750777667+00:00,0
2026-08-23T11:06:27.751251042+00:00,1
2026-08-23T11:06:27.751650875+00:00,0
2026-08-23T11:06:27.752098125+00:00,1
2026-08-23T11:06:27.753310833+00:00,0
2026-08-23T11:06:27.753812375+00:00,1
2026-08-23T11:06:27.755003708+00:00,0
2026-08-23T11:06:27.755478292+00:00,1
2026-08-23T11:06:27.756723375+00:00,0
2026-08-23T11:06:27.757171167+00:00,1
2026-08-23T11:06:27.758384292+00:00,0
2026-08-23T11:06:27.758885958+00:00,1
2026-08-23T11:06:27.759260500+00:00,0
2026-08-23T11:06:27.759706750+00:00,1
2026-08-23T11:06:27.760951750+00:00,0
2026-08-23T11:06:27.761397417+00:00,1
2026-08-23T11:06:27.761797375+00:00,0
2026-08-23T11:06:27.762242250+00:00,1
2026-08-23T11:06:27.763459375+00:00,0
2026-08-23T11:06:27.763934500+00:00,1
2026-08-23T11:06:27.764333958+00:00,0
2026-08-23T11:06:27.764779250+00:00,1
2026-08-23T11:06:27.765179583+00:00,0
2026-08-23T11:06:27.765624542+00:00,1
2026-08-23T11:06:27.766025708+00:00,0
2026-08-23T11:06:27.766470625+00:00,1
2026-08-23T11:06:27.766871542+00:00,0
2026-08-23T11:06:27.767317583+00:00,1
2026-08-23T11:06:27.767689042+00:00,0
2026-08-23T11:06:27.768163500+00:00,1
2026-08-23T11:06:27.768563208+00:00,0
2026-08-23T11:06:27.769008875+00:00,1
2026-08-23T11:06:27.769409333+00:00,0
2026-08-23T11:06:27.769802750+00:00,1
2026-08-23T11:06:27.770256042+00:00,0
2026-08-23T11:06:27.770724583+00:00,1
2026-08-23T11:06:27.771946250+00:00,0
2026-08-23T11:06:27.772387792+00:00,1
2026-08-23T11:06:27.773606792+00:00,0
2026-08-23T11:06:27.774083583+00:00,1
2026-08-23T11:06:27.775299000+00:00,0
2026-08-23T11:06:27.775772208+00:00,1
2026-08-23T11:06:27.776988708+00:00,0
2026-08-23T11:06:27.777462875+00:00,1
2026-08-23T11:06:27.778681042+00:00,0
2026-08-23T11:06:27.779181125+00:00,1
2026-08-23T11:06:27.780371083+00:00,0
2026-08-23T11:06:27.780846083+00:00,1
2026-08-23T11:06:27.782067542+00:00,0
2026-08-23T11:06:27.782514667+00:00,1
2026-08-23T11:06:27.783753667+00:00,0
2026-08-23T11:06:27.784228750+00:00,1
2026-08-23T11:06:27.785444417+00:00,0
2026-08-23T11:06:27.785916625+00:00,1
2026-08-23T11:06:27.787134917+00:00,0
2026-08-23T11:06:27.787609333+00:00,1
2026-08-23T11:06:27.788010042+00:00,0
2026-08-23T11:06:27.788455208+00:00,1
2026-08-23T11:06:27.789671917+00:00,0
2026-08-23T11:06:27.790092292+00:00,1
2026-08-23T11:06:27.790548042+00:00,0
2026-08-23T11:06:27.790993792+00:00,1
2026-08-23T11:06:27.791393125+00:00,0
2026-08-23T11:06:27.791837625+00:00,1
2026-08-23T11:06:27.792239167+00:00,0
2026-08-23T11:06:27.792685292+00:00,1
2026-08-23T11:06:27.793084708+00:00,0
2026-08-23T11:06:27.793531083+00:00,1
2026-08-23T11:06:27.793903708+00:00,0
2026-08-23T11:06:27.794375583+00:00,1
2026-08-23T11:06:27.794776667+00:00,0
2026-08-23T11:06:27.795222917+00:00,1
2026-08-23T11:06:27.796438833+00:00,0
2026-08-23T11:06:27.796911292+00:00,1
2026-08-23T11:06:27.797312750+00:00,0
2026-08-23T11:06:27.797758250+00:00,1
2026-08-23T11:06:27.798976042+00:00,0
2026-08-23T11:06:27.799450417+00:00,1
2026-08-23T11:06:27.800694833+00:00,0
2026-08-23T11:06:27.801140958+00:00,1
2026-08-23T11:06:27.802356000+00:00,0
2026-08-23T11:06:27.802830917+00:00,1
2026-08-23T11:06:27.804049458+00:00,0
2026-08-23T11:06:27.804527083+00:00,1
2026-08-23T11:06:27.804923083+00:00,0
2026-08-23T11:06:27.805370625+00:00,1
2026-08-23T11:06:27.806584500+00:00,0
2026-08-23T11:06:27.807062292+00:00,1
2026-08-23T11:06:27.807460042+00:00,0
2026-08-23T11:06:27.807930750+00:00,1
2026-08-23T11:06:27.808279333+00:00,0
2026-08-23T11:06:27.808749292+00:00,1
2026-08-23T11:06:27.809968625+00:00,0
2026-08-23T11:06:27.810466333+00:00,1
2026-08-23T11:06:27.811659500+00:00,0
2026-08-23T11:06:27.812134000+00:00,1
