Time [s],Channel 0
2026-08-23T11:10:57.132966000+00:00,1
2026-08-23T11:10:57.441081083+00:00,0
2026-08-23T11:10:57.444445542+00:00,1
2026-08-23T11:10:57.446159333+00:00,0
2026-08-23T11:10:57.446577208+00:00,1
2026-08-23T11:10:57.447849250+00:00,0
2026-08-23T11:10:57.448243167+00:00,1
2026-08-23T11:10:57.448696708+00:00,0
2026-08-23T11:10:57.449113750+00:00,1
2026-08-23T11:10:57.449543333+00:00,0
2026-08-23T11:10:57.449935500+00:00,1
2026-08-23T11:10:57.450388125+00:00,0
2026-08-23T11:10:57.450781083+00:00,1
2026-08-23T11:10:57.451235917+00:00,0
2026-08-23T11:10:57.451627208+00:00,1
2026-08-23T11:10:57.452080917+00:00,0
2026-08-23T11:10:57.452498875+00:00,1
2026-08-23T11:10:57.452928083+00:00,0
2026-08-23T11:10:57.453343792+00:00,1
2026-08-23T11:10:57.453772625+00:00,0
2026-08-23T11:10:57.454165375+00:00,1
2026-08-23T11:10:57.454619542+00:00,0
2026-08-23T11:10:57.455011167+00:00,1
2026-08-23T11:10:57.455464875+00:00,0
2026-08-23T11:10:57.455857083+00:00,1
2026-08-23T11:10:57.456310375+00:00,0
2026-08-23T11:10:57.456727583+00:00,1
2026-08-23T11:10:57.457157542+00:00,0
2026-08-23T11:10:57.457548667+00:00,1
2026-08-23T11:10:57.458846417+00:00,0
2026-08-23T11:10:57.459264500+00:00,1
2026-08-23T11:10:57.459693042+00:00,0
2026-08-23T11:10:57.460109625+00:00,1
2026-08-23T11:10:57.460539083+00:00,0
2026-08-23T11:10:57.460931750+00:00,1
2026-08-23T11:10:57.461386167+00:00,0
2026-08-23T11:10:57.461777792+00:00,1
2026-08-23T11:10:57.462231667+00:00,0
2026-08-23T11:10:57.462623417+00:00,1
2026-08-23T11:10:57.463077250+00:00,0
2026-08-23T11:10:57.463493458+00:00,1
2026-08-23T11:10:57.463922417+00:00,0
2026-08-23T11:10:57.464315125+00:00,1
2026-08-23T11:10:57.464768125+00:00,0
2026-08-23T11:10:57.465161042+00:00,1
2026-08-23T11:10:57.466459417+00:00,0
2026-08-23T11:10:57.466852375+00:00,1
2026-08-23T11:10:57.468150458+00:00,0
2026-08-23T11:10:57.468567500+00:00,1
2026-08-23T11:10:57.468996042+00:00,0
2026-08-23T11:10:57.469413583+00:00,1
2026-08-23T11:10:57.469842792+00:00,0
2026-08-23T11:10:57.470235500+00:00,1
2026-08-23T11:10:57.470688833+00:00,0
2026-08-23T11:10:57.471081333+00:00,1
2026-08-23T11:10:57.471535875+00:00,0
2026-08-23T11:10:57.471927458+00:00,1
2026-08-23T11:10:57.472382083+00:00,0
2026-08-23T11:10:57.472797667+00:00,1
2026-08-23T11:10:57.473227917+00:00,0
2026-08-23T11:10:57.473619250+00:00,1
2026-08-23T11:10:57.474916958+00:00,0
2026-08-23T11:10:57.475310083+00:00,1
2026-08-23T11:10:57.475764333+00:00,0
2026-08-23T11:10:57.476156083+00:00,1
2026-08-23T11:10:57.477454000+00:00,0
2026-08-23T11:10:57.477846833+00:00,1
2026-08-23T11:10:57.478301375+00:00,0
2026-08-23T11:10:57.478693250+00:00,1
2026-08-23T11:10:57.479990583+00:00,0
2026-08-23T11:10:57.480384208+00:00,1
2026-08-23T11:10:57.481682042+00:00,0
2026-08-23T11:10:57.482075125+00:00,1
2026-08-23T11:10:57.483373542+00:00,0
2026-08-23T11:10:57.483766583+00:00,1
2026-08-23T11:10:57.485064042+00:00,0
2026-08-23T11:10:57.485458000+00:00,1
2026-08-23T11:10:57.485912417+00:00,0
2026-08-23T11:10:57.486304250+00:00,1
2026-08-23T11:10:57.487602417+00:00,0
