Time [s],Channel 0
2026-08-23T11:17:11.535256000+00:00,1
2026-08-23T11:17:12.131021167+00:00,0
2026-08-23T11:17:12.134462292+00:00,1
2026-08-23T11:17:12.136096125+00:00,0
2026-08-23T11:17:12.136572375+00:00,1
2026-08-23T11:17:12.137786792+00:00,0
2026-08-23T11:17:12.138260333+00:00,1
2026-08-23T11:17:12.138662042+00:00,0
2026-08-23T11:17:12.139108708+00:00,1
2026-08-23T11:17:12.139507667+00:00,0
2026-08-23T11:17:12.139954042+00:00,1
2026-08-23T11:17:12.140323708+00:00,0
2026-08-23T11:17:12.140824292+00:00,1
2026-08-23T11:17:12.141199125+00:00,0
2026-08-23T11:17:12.141646792+00:00,1
2026-08-23T11:17:12.142044625+00:00,0
2026-08-23T11:17:12.142488167+00:00,1
2026-08-23T11:17:12.142890875+00:00,0
2026-08-23T11:17:12.143337042+00:00,1
2026-08-23T11:17:12.143707667+00:00,0
2026-08-23T11:17:12.144181708+00:00,1
2026-08-23T11:17:12.144554750+00:00,0
2026-08-23T11:17:12.145027875+00:00,1
2026-08-23T11:17:12.145401208+00:00,0
2026-08-23T11:17:12.145873667+00:00,1
2026-08-23T11:17:12.146247750+00:00,0
2026-08-23T11:17:12.146717625+00:00,1
2026-08-23T11:17:12.147092458+00:00,0
2026-08-23T11:17:12.147566958+00:00,1
2026-08-23T11:17:12.148781208+00:00,0
2026-08-23T11:17:12.149255750+00:00,1
2026-08-23T11:17:12.149657375+00:00,0
2026-08-23T11:17:12.150104167+00:00,1
2026-08-23T11:17:12.150475458+00:00,0
2026-08-23T11:17:12.150945458+00:00,1
2026-08-23T11:17:12.151349042+00:00,0
2026-08-23T11:17:12.151795542+00:00,1
2026-08-23T11:17:12.152165708+00:00,0
2026-08-23T11:17:12.152639542+00:00,1
2026-08-23T11:17:12.153040708+00:00,0
2026-08-23T11:17:12.153485625+00:00,1
2026-08-23T11:17:12.153886917+00:00,0
2026-08-23T11:17:12.154332750+00:00,1
2026-08-23T11:17:12.154704125+00:00,0
2026-08-23T11:17:12.155177708+00:00,1
2026-08-23T11:17:12.156395417+00:00,0
2026-08-23T11:17:12.156870875+00:00,1
2026-08-23T11:17:12.158086125+00:00,0
2026-08-23T11:17:12.158561208+00:00,1
2026-08-23T11:17:12.158931792+00:00,0
2026-08-23T11:17:12.159408875+00:00,1
2026-08-23T11:17:12.159780042+00:00,0
2026-08-23T11:17:12.160253333+00:00,1
2026-08-23T11:17:12.160625333+00:00,0
2026-08-23T11:17:12.161098917+00:00,1
2026-08-23T11:17:12.161469417+00:00,0
2026-08-23T11:17:12.161944375+00:00,1
2026-08-23T11:17:12.162343792+00:00,0
2026-08-23T11:17:12.162787708+00:00,1
2026-08-23T11:17:12.163190125+00:00,0
2026-08-23T11:17:12.163635083+00:00,1
2026-08-23T11:17:12.164854792+00:00,0
2026-08-23T11:17:12.165325583+00:00,1
2026-08-23T11:17:12.165699250+00:00,0
2026-08-23T11:17:12.166173000+00:00,1
2026-08-23T11:17:12.167417542+00:00,0
2026-08-23T11:17:12.167860667+00:00,1
2026-08-23T11:17:12.168264250+00:00,0
2026-08-23T11:17:12.168711750+00:00,1
2026-08-23T11:17:12.169926708+00:00,0
2026-08-23T11:17:12.170402167+00:00,1
2026-08-23T11:17:12.171618792+00:00,0
2026-08-23T11:17:12.172094417+00:00,1
2026-08-23T11:17:12.173309083+00:00,0
2026-08-23T11:17:12.173785125+00:00,1
2026-08-23T11:17:12.175001292+00:00,0
2026-08-23T11:17:12.175474333+00:00,1
2026-08-23T11:17:12.175874333+00:00,0
2026-08-23T11:17:12.176320542+00:00,1
2026-08-23T11:17:12.177539417+00:00,0
2026-08-23T11:17:12.178011833+00:00,1
2026-08-23T11:17:12.178411917+00:00,0
2026-08-23T11:17:12.178859250+00:00,1
2026-08-23T11:17:12.180102792+00:00,0
2026-08-23T11:17:12.180574708+00:00,1
2026-08-23T11:17:12.180948542+00:00,0
2026-08-23T11:17:12.181394625+00:00,1
2026-08-23T11:17:12.181795417+00:00,0
2026-08-23T11:17:12.182241417+00:00,1
2026-08-23T11:17:12.182640833+00:00,0
2026-08-23T11:17:12.183087750+00:00,1
2026-08-23T11:17:12.183461292+00:00,0
2026-08-23T11:17:12.183934208+00:00,1
2026-08-23T11:17:12.184306375+00:00,0
2026-08-23T11:17:12.184777917+00:00,1
2026-08-23T11:17:12.185150208+00:00,0
2026-08-23T11:17:12.185622042+00:00,1
2026-08-23T11:17:12.186025125+00:00,0
2026-08-23T11:17:12.186418042+00:00,1
2026-08-23T11:17:12.186871750+00:00,0
2026-08-23T11:17:12.187313917+00:00,1
2026-08-23T11:17:12.188562083+00:00,0
2026-08-23T11:17:12.189008958+00:00,1
2026-08-23T11:17:12.190224583+00:00,0
2026-08-23T11:17:12.190699583+00:00,1
2026-08-23T11:17:12.191914333+00:00,0
2026-08-23T11:17:12.192392042+00:00,1
2026-08-23T11:17:12.193605750+00:00,0
2026-08-23T11:17:12.194105125+00:00,1
2026-08-23T11:17:12.195324917+00:00,0
2026-08-23T11:17:12.195773792+00:00,1
2026-08-23T11:17:12.196989292+00:00,0
2026-08-23T11:17:12.197462958+00:00,1
2026-08-23T11:17:12.198707417+00:00,0
2026-08-23T11:17:12.199154333+00:00,1
2026-08-23T11:17:12.200369708+00:00,0
2026-08-23T11:17:12.200844792+00:00,1
2026-08-23T11:17:12.201215417+00:00,0
2026-08-23T11:17:12.201691500+00:00,1
2026-08-23T11:17:12.202908917+00:00,0
2026-08-23T11:17:12.203379625+00:00,1
2026-08-23T11:17:12.204598208+00:00,0
2026-08-23T11:17:12.205073708+00:00,1
2026-08-23T11:17:12.206316833+00:00,0
2026-08-23T11:17:12.206683542+00:00,1
2026-08-23T11:17:12.207163500+00:00,0
2026-08-23T11:17:12.207609708+00:00,1
2026-08-23T11:17:12.208009125+00:00,0
2026-08-23T11:17:12.208454958+00:00,1
2026-08-23T11:17:12.208854875+00:00,0
2026-08-23T11:17:12.209302125+00:00,1
2026-08-23T11:17:12.209700583+00:00,0
2026-08-23T11:17:12.210170500+00:00,1
2026-08-23T11:17:12.211362958+00:00,0
2026-08-23T11:17:12.211837500+00:00,1
2026-08-23T11:17:12.212237708+00:00,0
2026-08-23T11:17:12.212685292+00:00,1
2026-08-23T11:17:12.213056292+00:00,0
2026-08-23T11:17:12.213554417+00:00,1
2026-08-23T11:17:12.213929583+00:00,0
2026-08-23T11:17:12.214374500+00:00,1
2026-08-23T11:17:12.215593000+00:00,0
2026-08-23T11:17:12.216067083+00:00,1
2026-08-23T11:17:12.217311542+00:00,0
2026-08-23T11:17:12.217782333+00:00,1
