Time [s],Channel 0
2026-08-23T11:14:43.384709000+00:00,1
2026-08-23T11:14:43.962648542+00:00,0
2026-08-23T11:14:43.966033625+00:00,1
2026-08-23T11:14:43.967697042+00:00,0
2026-08-23T11:14:43.968169125+00:00,1
2026-08-23T11:14:43.969386167+00:00,0
2026-08-23T11:14:43.969860833+00:00,1
2026-08-23T11:14:43.970233292+00:00,0
2026-08-23T11:14:43.970707500+00:00,1
2026-08-23T11:14:43.971107000+00:00,0
2026-08-23T11:14:43.971552333+00:00,1
2026-08-23T11:14:43.971953250+00:00,0
2026-08-23T11:14:43.972396667+00:00,1
2026-08-23T11:14:43.972799083+00:00,0
2026-08-23T11:14:43.973242583+00:00,1
2026-08-23T11:14:43.973616792+00:00,0
2026-08-23T11:14:43.974088875+00:00,1
2026-08-23T11:14:43.974464958+00:00,0
2026-08-23T11:14:43.974933375+00:00,1
2026-08-23T11:14:43.975337667+00:00,0
2026-08-23T11:14:43.975775250+00:00,1
2026-08-23T11:14:43.976154542+00:00,0
2026-08-23T11:14:43.976627458+00:00,1
2026-08-23T11:14:43.977029417+00:00,0
2026-08-23T11:14:43.977473250+00:00,1
2026-08-23T11:14:43.977875125+00:00,0
2026-08-23T11:14:43.978318875+00:00,1
2026-08-23T11:14:43.978721583+00:00,0
2026-08-23T11:14:43.979166625+00:00,1
2026-08-23T11:14:43.980383458+00:00,0
2026-08-23T11:14:43.980857167+00:00,1
2026-08-23T11:14:43.981257750+00:00,0
2026-08-23T11:14:43.981704625+00:00,1
2026-08-23T11:14:43.982078167+00:00,0
2026-08-23T11:14:43.982547167+00:00,1
2026-08-23T11:14:43.982920542+00:00,0
2026-08-23T11:14:43.983393375+00:00,1
2026-08-23T11:14:43.983767917+00:00,0
2026-08-23T11:14:43.984238625+00:00,1
2026-08-23T11:14:43.984613792+00:00,0
2026-08-23T11:14:43.985086750+00:00,1
2026-08-23T11:14:43.985487292+00:00,0
2026-08-23T11:14:43.985932458+00:00,1
2026-08-23T11:14:43.986332667+00:00,0
2026-08-23T11:14:43.986776750+00:00,1
2026-08-23T11:14:43.987997250+00:00,0
2026-08-23T11:14:43.988471500+00:00,1
2026-08-23T11:14:43.989714208+00:00,0
2026-08-23T11:14:43.990161125+00:00,1
2026-08-23T11:14:43.990532083+00:00,0
2026-08-23T11:14:43.991005875+00:00,1
2026-08-23T11:14:43.991377292+00:00,0
2026-08-23T11:14:43.991852625+00:00,1
2026-08-23T11:14:43.992252292+00:00,0
2026-08-23T11:14:43.992697208+00:00,1
2026-08-23T11:14:43.993071417+00:00,0
2026-08-23T11:14:43.993542250+00:00,1
2026-08-23T11:14:43.993916958+00:00,0
2026-08-23T11:14:43.994390750+00:00,1
2026-08-23T11:14:43.994761042+00:00,0
2026-08-23T11:14:43.995232250+00:00,1
2026-08-23T11:14:43.996452458+00:00,0
2026-08-23T11:14:43.996951292+00:00,1
2026-08-23T11:14:43.997298042+00:00,0
2026-08-23T11:14:43.997770792+00:00,1
2026-08-23T11:14:43.998990542+00:00,0
2026-08-23T11:14:43.999489792+00:00,1
2026-08-23T11:14:43.999835250+00:00,0
2026-08-23T11:14:44.000309708+00:00,1
2026-08-23T11:14:44.001526542+00:00,0
2026-08-23T11:14:44.002002417+00:00,1
2026-08-23T11:14:44.003246000+00:00,0
2026-08-23T11:14:44.003693125+00:00,1
2026-08-23T11:14:44.004909625+00:00,0
2026-08-23T11:14:44.005381208+00:00,1
2026-08-23T11:14:44.006601208+00:00,0
2026-08-23T11:14:44.007076375+00:00,1
2026-08-23T11:14:44.007474042+00:00,0
2026-08-23T11:14:44.007918000+00:00,1
2026-08-23T11:14:44.009165792+00:00,0
2026-08-23T11:14:44.009636958+00:00,1
2026-08-23T11:14:44.009983125+00:00,0
2026-08-23T11:14:44.010458958+00:00,1
2026-08-23T11:14:44.011702375+00:00,0
2026-08-23T11:14:44.012148750+00:00,1
2026-08-23T11:14:44.012548250+00:00,0
2026-08-23T11:14:44.012994417+00:00,1
2026-08-23T11:14:44.013366500+00:00,0
2026-08-23T11:14:44.013841708+00:00,1
2026-08-23T11:14:44.014212125+00:00,0
2026-08-23T11:14:44.014685542+00:00,1
2026-08-23T11:14:44.015058250+00:00,0
2026-08-23T11:14:44.015531708+00:00,1
2026-08-23T11:14:44.015906125+00:00,0
2026-08-23T11:14:44.016378125+00:00,1
2026-08-23T11:14:44.016777500+00:00,0
2026-08-23T11:14:44.017221917+00:00,1
2026-08-23T11:14:44.017596167+00:00,0
2026-08-23T11:14:44.018016167+00:00,1
2026-08-23T11:14:44.018470333+00:00,0
2026-08-23T11:14:44.018913833+00:00,1
2026-08-23T11:14:44.020131250+00:00,0
2026-08-23T11:14:44.020604250+00:00,1
2026-08-23T11:14:44.021822583+00:00,0
2026-08-23T11:14:44.022296542+00:00,1
2026-08-23T11:14:44.023514208+00:00,0
2026-08-23T11:14:44.023987417+00:00,1
2026-08-23T11:14:44.025203792+00:00,0
2026-08-23T11:14:44.025680167+00:00,1
2026-08-23T11:14:44.026924083+00:00,0
2026-08-23T11:14:44.027370875+00:00,1
2026-08-23T11:14:44.028587000+00:00,0
2026-08-23T11:14:44.029054917+00:00,1
2026-08-23T11:14:44.030305583+00:00,0
2026-08-23T11:14:44.030751958+00:00,1
2026-08-23T11:14:44.031968917+00:00,0
2026-08-23T11:14:44.032442958+00:00,1
2026-08-23T11:14:44.033660333+00:00,0
2026-08-23T11:14:44.034135708+00:00,1
2026-08-23T11:14:44.034533792+00:00,0
2026-08-23T11:14:44.035005292+00:00,1
2026-08-23T11:14:44.036196083+00:00,0
2026-08-23T11:14:44.036695417+00:00,1
2026-08-23T11:14:44.037044083+00:00,0
2026-08-23T11:14:44.037516667+00:00,1
2026-08-23T11:14:44.038734417+00:00,0
2026-08-23T11:14:44.039206167+00:00,1
2026-08-23T11:14:44.039607792+00:00,0
2026-08-23T11:14:44.040050125+00:00,1
2026-08-23T11:14:44.040454125+00:00,0
2026-08-23T11:14:44.040899833+00:00,1
2026-08-23T11:14:44.041270167+00:00,0
2026-08-23T11:14:44.041745667+00:00,1
2026-08-23T11:14:44.042118833+00:00,0
2026-08-23T11:14:44.042591500+00:00,1
2026-08-23T11:14:44.043836542+00:00,0
2026-08-23T11:14:44.044281333+00:00,1
2026-08-23T11:14:44.044683542+00:00,0
2026-08-23T11:14:44.045130625+00:00,1
2026-08-23T11:14:44.046346375+00:00,0
2026-08-23T11:14:44.046819958+00:00,1
2026-08-23T11:14:44.047191083+00:00,0
2026-08-23T11:14:44.047664417+00:00,1
2026-08-23T11:14:44.048881958+00:00,0
2026-08-23T11:14:44.049379292+00:00,1
2026-08-23T11:14:44.050601042+00:00,0
2026-08-23T11:14:44.051047833+00:00,1
2026-08-23T11:14:44.052268208+00:00,0
2026-08-23T11:14:44.052740292+00:00,1
2026-08-23T11:14:44.053982917+00:00,0
2026-08-23T11:14:44.054429208+00:00,1
2026-08-23T11:14:44.055645042+00:00,0
2026-08-23T11:14:44.056144167+00:00,1
2026-08-23T11:14:44.056490125+00:00,0
2026-08-23T11:14:44.056964750+00:00,1
2026-08-23T11:14:44.057335833+00:00,0
2026-08-23T11:14:44.057810375+00:00,1
2026-08-23T11:14:44.059028708+00:00,0
2026-08-23T11:14:44.059502875+00:00,1
2026-08-23T11:14:44.060747250+00:00,0
2026-08-23T11:14:44.061193250+00:00,1
2026-08-23T11:14:44.062408208+00:00,0
2026-08-23T11:14:44.062886333+00:00,1
2026-08-23T11:14:44.064129083+00:00,0
2026-08-23T11:14:44.064600125+00:00,1
2026-08-23T11:14:44.064949125+00:00,0
2026-08-23T11:14:44.065420167+00:00,1
2026-08-23T11:14:44.065822250+00:00,0
2026-08-23T11:14:44.066268292+00:00,1
2026-08-23T11:14:44.067483500+00:00,0
2026-08-23T11:14:44.067958792+00:00,1
2026-08-23T11:14:44.069175042+00:00,0
2026-08-23T11:14:44.069649583+00:00,1
2026-08-23T11:14:44.070021875+00:00,0
2026-08-23T11:14:44.070495625+00:00,1
2026-08-23T11:14:44.070894792+00:00,0
2026-08-23T11:14:44.071341417+00:00,1
2026-08-23T11:14:44.071711333+00:00,0
2026-08-23T11:14:44.072187250+00:00,1
2026-08-23T11:14:44.072561542+00:00,0
2026-08-23T11:14:44.073058542+00:00,1
2026-08-23T11:14:44.113156458+00:00,0
