Time [s],Channel 0
2026-08-23T11:12:43.569289000+00:00,1
2026-08-23T11:12:44.038900542+00:00,0
2026-08-23T11:12:44.042340375+00:00,1
2026-08-23T11:12:44.043977333+00:00,0
2026-08-23T11:12:44.044449750+00:00,1
2026-08-23T11:12:44.045668458+00:00,0
2026-08-23T11:12:44.046140375+00:00,1
2026-08-23T11:12:44.046541083+00:00,0
2026-08-23T11:12:44.046989250+00:00,1
2026-08-23T11:12:44.047387250+00:00,0
2026-08-23T11:12:44.047859167+00:00,1
2026-08-23T11:12:44.048205292+00:00,0
2026-08-23T11:12:44.048679083+00:00,1
2026-08-23T11:12:44.049078958+00:00,0
2026-08-23T11:12:44.049525083+00:00,1
2026-08-23T11:12:44.049925333+00:00,0
2026-08-23T11:12:44.050396083+00:00,1
2026-08-23T11:12:44.050771375+00:00,0
2026-08-23T11:12:44.051217958+00:00,1
2026-08-23T11:12:44.051617750+00:00,0
2026-08-23T11:12:44.052065125+00:00,1
2026-08-23T11:12:44.052463750+00:00,0
2026-08-23T11:12:44.052909583+00:00,1
2026-08-23T11:12:44.053281333+00:00,0
2026-08-23T11:12:44.053752875+00:00,1
2026-08-23T11:12:44.054128000+00:00,0
2026-08-23T11:12:44.054601333+00:00,1
2026-08-23T11:12:44.055000542+00:00,0
2026-08-23T11:12:44.055441708+00:00,1
2026-08-23T11:12:44.056664250+00:00,0
2026-08-23T11:12:44.057137083+00:00,1
2026-08-23T11:12:44.057509292+00:00,0
2026-08-23T11:12:44.057984625+00:00,1
2026-08-23T11:12:44.058357417+00:00,0
2026-08-23T11:12:44.058827958+00:00,1
2026-08-23T11:12:44.059202250+00:00,0
2026-08-23T11:12:44.059674333+00:00,1
2026-08-23T11:12:44.060074958+00:00,0
2026-08-23T11:12:44.060546042+00:00,1
2026-08-23T11:12:44.060920917+00:00,0
2026-08-23T11:12:44.061367000+00:00,1
2026-08-23T11:12:44.061740167+00:00,0
2026-08-23T11:12:44.062213583+00:00,1
2026-08-23T11:12:44.062612708+00:00,0
2026-08-23T11:12:44.063056583+00:00,1
2026-08-23T11:12:44.064275458+00:00,0
2026-08-23T11:12:44.064750292+00:00,1
2026-08-23T11:12:44.065994083+00:00,0
2026-08-23T11:12:44.066464875+00:00,1
2026-08-23T11:12:44.066840167+00:00,0
2026-08-23T11:12:44.067285000+00:00,1
2026-08-23T11:12:44.067657375+00:00,0
2026-08-23T11:12:44.068127500+00:00,1
2026-08-23T11:12:44.068505958+00:00,0
2026-08-23T11:12:44.068978500+00:00,1
2026-08-23T11:12:44.069377750+00:00,0
2026-08-23T11:12:44.069821125+00:00,1
2026-08-23T11:12:44.070195667+00:00,0
2026-08-23T11:12:44.070668750+00:00,1
2026-08-23T11:12:44.071042875+00:00,0
2026-08-23T11:12:44.071513708+00:00,1
2026-08-23T11:12:44.072732750+00:00,0
2026-08-23T11:12:44.073203708+00:00,1
2026-08-23T11:12:44.073606500+00:00,0
2026-08-23T11:12:44.074051375+00:00,1
2026-08-23T11:12:44.075267458+00:00,0
2026-08-23T11:12:44.075743458+00:00,1
2026-08-23T11:12:44.076142792+00:00,0
2026-08-23T11:12:44.076613500+00:00,1
2026-08-23T11:12:44.077806458+00:00,0
2026-08-23T11:12:44.078279042+00:00,1
2026-08-23T11:12:44.079524208+00:00,0
2026-08-23T11:12:44.079971125+00:00,1
2026-08-23T11:12:44.081215208+00:00,0
2026-08-23T11:12:44.081685583+00:00,1
2026-08-23T11:12:44.082879042+00:00,0
2026-08-23T11:12:44.083352583+00:00,1
2026-08-23T11:12:44.083751917+00:00,0
2026-08-23T11:12:44.084222125+00:00,1
2026-08-23T11:12:44.085415958+00:00,0
2026-08-23T11:12:44.085887833+00:00,1
2026-08-23T11:12:44.086259250+00:00,0
2026-08-23T11:12:44.086737250+00:00,1
2026-08-23T11:12:44.087951500+00:00,0
2026-08-23T11:12:44.088344958+00:00,1
2026-08-23T11:12:44.088826458+00:00,0
2026-08-23T11:12:44.089296833+00:00,1
2026-08-23T11:12:44.089643833+00:00,0
2026-08-23T11:12:44.090119375+00:00,1
2026-08-23T11:12:44.090518208+00:00,0
2026-08-23T11:12:44.090963750+00:00,1
2026-08-23T11:12:44.091336167+00:00,0
2026-08-23T11:12:44.091834833+00:00,1
2026-08-23T11:12:44.092182667+00:00,0
2026-08-23T11:12:44.092652208+00:00,1
2026-08-23T11:12:44.093056000+00:00,0
2026-08-23T11:12:44.093525167+00:00,1
2026-08-23T11:12:44.093901750+00:00,0
2026-08-23T11:12:44.094269708+00:00,1
2026-08-23T11:12:44.094749375+00:00,0
2026-08-23T11:12:44.095192917+00:00,1
2026-08-23T11:12:44.096410292+00:00,0
2026-08-23T11:12:44.096885292+00:00,1
2026-08-23T11:12:44.098101792+00:00,0
2026-08-23T11:12:44.098575458+00:00,1
2026-08-23T11:12:44.099820583+00:00,0
2026-08-23T11:12:44.100266625+00:00,1
2026-08-23T11:12:44.101511958+00:00,0
2026-08-23T11:12:44.101957750+00:00,1
2026-08-23T11:12:44.103175500+00:00,0
2026-08-23T11:12:44.103647958+00:00,1
2026-08-23T11:12:44.104894083+00:00,0
2026-08-23T11:12:44.105363792+00:00,1
2026-08-23T11:12:44.106585667+00:00,0
2026-08-23T11:12:44.107033333+00:00,1
2026-08-23T11:12:44.108249375+00:00,0
2026-08-23T11:12:44.108722917+00:00,1
2026-08-23T11:12:44.109094333+00:00,0
2026-08-23T11:12:44.109567667+00:00,1
2026-08-23T11:12:44.110813833+00:00,0
2026-08-23T11:12:44.111285875+00:00,1
2026-08-23T11:12:44.111633875+00:00,0
2026-08-23T11:12:44.112106667+00:00,1
2026-08-23T11:12:44.113322292+00:00,0
2026-08-23T11:12:44.113794125+00:00,1
2026-08-23T11:12:44.114197167+00:00,0
2026-08-23T11:12:44.114640833+00:00,1
2026-08-23T11:12:44.115042958+00:00,0
2026-08-23T11:12:44.115489292+00:00,1
2026-08-23T11:12:44.115888875+00:00,0
2026-08-23T11:12:44.116357667+00:00,1
2026-08-23T11:12:44.116734125+00:00,0
2026-08-23T11:12:44.117204625+00:00,1
2026-08-23T11:12:44.118425667+00:00,0
2026-08-23T11:12:44.118872917+00:00,1
2026-08-23T11:12:44.119242792+00:00,0
2026-08-23T11:12:44.119718458+00:00,1
2026-08-23T11:12:44.120961750+00:00,0
2026-08-23T11:12:44.121403000+00:00,1
2026-08-23T11:12:44.121808333+00:00,0
2026-08-23T11:12:44.122253792+00:00,1
2026-08-23T11:12:44.123498875+00:00,0
2026-08-23T11:12:44.123944792+00:00,1
2026-08-23T11:12:44.125162292+00:00,0
2026-08-23T11:12:44.125637667+00:00,1
2026-08-23T11:12:44.126881333+00:00,0
2026-08-23T11:12:44.127351208+00:00,1
2026-08-23T11:12:44.128577167+00:00,0
2026-08-23T11:12:44.128996417+00:00,1
2026-08-23T11:12:44.130263542+00:00,0
2026-08-23T11:12:44.130706375+00:00,1
2026-08-23T11:12:44.131953917+00:00,0
2026-08-23T11:12:44.132399542+00:00,1
2026-08-23T11:12:44.132800125+00:00,0
2026-08-23T11:12:44.133245750+00:00,1
2026-08-23T11:12:44.133646458+00:00,0
2026-08-23T11:12:44.134093542+00:00,1
2026-08-23T11:12:44.135309833+00:00,0
2026-08-23T11:12:44.135784125+00:00,1
2026-08-23T11:12:44.137028792+00:00,0
2026-08-23T11:12:44.137475542+00:00,1
2026-08-23T11:12:44.138719583+00:00,0
2026-08-23T11:12:44.139165667+00:00,1
2026-08-23T11:12:44.140410958+00:00,0
2026-08-23T11:12:44.140858250+00:00,1
2026-08-23T11:12:44.141256458+00:00,0
2026-08-23T11:12:44.141724917+00:00,1
2026-08-23T11:12:44.142075083+00:00,0
2026-08-23T11:12:44.142547375+00:00,1
2026-08-23T11:12:44.143764875+00:00,0
2026-08-23T11:12:44.144262167+00:00,1
2026-08-23T11:12:44.145455542+00:00,0
2026-08-23T11:12:44.145930208+00:00,1
2026-08-23T11:12:44.146330375+00:00,0
2026-08-23T11:12:44.146770375+00:00,1
2026-08-23T11:12:44.147176375+00:00,0
