Time [s],Channel 0
2026-08-23T11:15:59.322793000+00:00,1
2026-08-23T11:16:00.723454000+00:00,0
2026-08-23T11:16:00.726897875+00:00,1
2026-08-23T11:16:00.728532333+00:00,0
2026-08-23T11:16:00.729003042+00:00,1
2026-08-23T11:16:00.730223208+00:00,0
2026-08-23T11:16:00.730696833+00:00,1
2026-08-23T11:16:00.731097250+00:00,0
2026-08-23T11:16:00.731543667+00:00,1
2026-08-23T11:16:00.731943917+00:00,0
2026-08-23T11:16:00.732386667+00:00,1
2026-08-23T11:16:00.732761708+00:00,0
2026-08-23T11:16:00.733233958+00:00,1
2026-08-23T11:16:00.733635417+00:00,0
2026-08-23T11:16:00.734081958+00:00,1
2026-08-23T11:16:00.734454000+00:00,0
2026-08-23T11:16:00.734950583+00:00,1
2026-08-23T11:16:00.735299000+00:00,0
2026-08-23T11:16:00.735774542+00:00,1
2026-08-23T11:16:00.736172500+00:00,0
2026-08-23T11:16:00.736619792+00:00,1
2026-08-23T11:16:00.736990750+00:00,0
2026-08-23T11:16:00.737465083+00:00,1
2026-08-23T11:16:00.737839167+00:00,0
2026-08-23T11:16:00.738311042+00:00,1
2026-08-23T11:16:00.738710667+00:00,0
2026-08-23T11:16:00.739155583+00:00,1
2026-08-23T11:16:00.739528833+00:00,0
2026-08-23T11:16:00.740003917+00:00,1
2026-08-23T11:16:00.741218708+00:00,0
2026-08-23T11:16:00.741694500+00:00,1
2026-08-23T11:16:00.742067375+00:00,0
2026-08-23T11:16:00.742539625+00:00,1
2026-08-23T11:16:00.742911083+00:00,0
2026-08-23T11:16:00.743384167+00:00,1
2026-08-23T11:16:00.743757042+00:00,0
2026-08-23T11:16:00.744232250+00:00,1
2026-08-23T11:16:00.744604458+00:00,0
2026-08-23T11:16:00.745077583+00:00,1
2026-08-23T11:16:00.745449458+00:00,0
2026-08-23T11:16:00.745924125+00:00,1
2026-08-23T11:16:00.746295125+00:00,0
2026-08-23T11:16:00.746767083+00:00,1
2026-08-23T11:16:00.747140875+00:00,0
2026-08-23T11:16:00.747615333+00:00,1
2026-08-23T11:16:00.748833042+00:00,0
2026-08-23T11:16:00.749306458+00:00,1
2026-08-23T11:16:00.750523750+00:00,0
2026-08-23T11:16:00.751022500+00:00,1
2026-08-23T11:16:00.751397042+00:00,0
2026-08-23T11:16:00.751842250+00:00,1
2026-08-23T11:16:00.752242625+00:00,0
2026-08-23T11:16:00.752688083+00:00,1
