Time [s],Channel 0
2026-08-23T11:14:01.025588000+00:00,1
2026-08-23T11:14:02.129035250+00:00,0
2026-08-23T11:14:02.132421792+00:00,1
2026-08-23T11:14:02.134110292+00:00,0
2026-08-23T11:14:02.134556583+00:00,1
2026-08-23T11:14:02.135772042+00:00,0
2026-08-23T11:14:02.136242958+00:00,1
2026-08-23T11:14:02.136647500+00:00,0
2026-08-23T11:14:02.137092583+00:00,1
2026-08-23T11:14:02.137464333+00:00,0
2026-08-23T11:14:02.137936042+00:00,1
2026-08-23T11:14:02.138339542+00:00,0
2026-08-23T11:14:02.138784792+00:00,1
2026-08-23T11:14:02.139156000+00:00,0
2026-08-23T11:14:02.139629333+00:00,1
2026-08-23T11:14:02.140030667+00:00,0
2026-08-23T11:14:02.140500583+00:00,1
2026-08-23T11:14:02.140876542+00:00,0
2026-08-23T11:14:02.141320042+00:00,1
2026-08-23T11:14:02.141696875+00:00,0
2026-08-23T11:14:02.142191917+00:00,1
2026-08-23T11:14:02.142568458+00:00,0
2026-08-23T11:14:02.143013958+00:00,1
2026-08-23T11:14:02.143414250+00:00,0
2026-08-23T11:14:02.143859292+00:00,1
2026-08-23T11:14:02.144260208+00:00,0
2026-08-23T11:14:02.144705625+00:00,1
2026-08-23T11:14:02.145078417+00:00,0
2026-08-23T11:14:02.145548333+00:00,1
2026-08-23T11:14:02.146769250+00:00,0
2026-08-23T11:14:02.147240625+00:00,1
2026-08-23T11:14:02.147614000+00:00,0
2026-08-23T11:14:02.148112958+00:00,1
2026-08-23T11:14:02.148460583+00:00,0
2026-08-23T11:14:02.148932167+00:00,1
2026-08-23T11:14:02.149306083+00:00,0
2026-08-23T11:14:02.149779375+00:00,1
2026-08-23T11:14:02.150152625+00:00,0
2026-08-23T11:14:02.150624500+00:00,1
2026-08-23T11:14:02.151026458+00:00,0
2026-08-23T11:14:02.151472292+00:00,1
2026-08-23T11:14:02.151872458+00:00,0
2026-08-23T11:14:02.152342417+00:00,1
2026-08-23T11:14:02.152718375+00:00,0
2026-08-23T11:14:02.153162875+00:00,1
2026-08-23T11:14:02.154381250+00:00,0
2026-08-23T11:14:02.154854292+00:00,1
2026-08-23T11:14:02.156071333+00:00,0
2026-08-23T11:14:02.156540667+00:00,1
2026-08-23T11:14:02.156945667+00:00,0
2026-08-23T11:14:02.157386958+00:00,1
2026-08-23T11:14:02.157791667+00:00,0
2026-08-23T11:14:02.158262125+00:00,1
2026-08-23T11:14:02.158637500+00:00,0
2026-08-23T11:14:02.159083458+00:00,1
2026-08-23T11:14:02.159482708+00:00,0
2026-08-23T11:14:02.159928000+00:00,1
2026-08-23T11:14:02.160328875+00:00,0
2026-08-23T11:14:02.160798375+00:00,1
2026-08-23T11:14:02.161148417+00:00,0
2026-08-23T11:14:02.161642042+00:00,1
2026-08-23T11:14:02.162837875+00:00,0
2026-08-23T11:14:02.163313250+00:00,1
2026-08-23T11:14:02.163711958+00:00,0
2026-08-23T11:14:02.164157833+00:00,1
2026-08-23T11:14:02.165372000+00:00,0
2026-08-23T11:14:02.165850792+00:00,1
2026-08-23T11:14:02.166248542+00:00,0
2026-08-23T11:14:02.166694667+00:00,1
2026-08-23T11:14:02.167910917+00:00,0
2026-08-23T11:14:02.168384583+00:00,1
2026-08-23T11:14:02.169629958+00:00,0
2026-08-23T11:14:02.170076333+00:00,1
2026-08-23T11:14:02.171292542+00:00,0
2026-08-23T11:14:02.171764500+00:00,1
2026-08-23T11:14:02.173012708+00:00,0
2026-08-23T11:14:02.173483083+00:00,1
2026-08-23T11:14:02.173829333+00:00,0
2026-08-23T11:14:02.174328333+00:00,1
2026-08-23T11:14:02.175520208+00:00,0
2026-08-23T11:14:02.176019333+00:00,1
2026-08-23T11:14:02.176395750+00:00,0
2026-08-23T11:14:02.176839833+00:00,1
2026-08-23T11:14:02.178059250+00:00,0
2026-08-23T11:14:02.178529167+00:00,1
2026-08-23T11:14:02.178932542+00:00,0
2026-08-23T11:14:02.179377042+00:00,1
2026-08-23T11:14:02.179778083+00:00,0
2026-08-23T11:14:02.180249708+00:00,1
2026-08-23T11:14:02.180596458+00:00,0
2026-08-23T11:14:02.181067625+00:00,1
2026-08-23T11:14:02.181441708+00:00,0
2026-08-23T11:14:02.181940667+00:00,1
2026-08-23T11:14:02.182287250+00:00,0
2026-08-23T11:14:02.182761417+00:00,1
2026-08-23T11:14:02.183162458+00:00,0
2026-08-23T11:14:02.183607250+00:00,1
2026-08-23T11:14:02.184007875+00:00,0
2026-08-23T11:14:02.184375500+00:00,1
2026-08-23T11:14:02.184855833+00:00,0
2026-08-23T11:14:02.185295625+00:00,1
2026-08-23T11:14:02.186515458+00:00,0
2026-08-23T11:14:02.186988292+00:00,1
2026-08-23T11:14:02.188234750+00:00,0
2026-08-23T11:14:02.188680708+00:00,1
2026-08-23T11:14:02.189925917+00:00,0
2026-08-23T11:14:02.190396583+00:00,1
2026-08-23T11:14:02.191617042+00:00,0
2026-08-23T11:14:02.192063625+00:00,1
2026-08-23T11:14:02.193280458+00:00,0
2026-08-23T11:14:02.193754083+00:00,1
2026-08-23T11:14:02.194970542+00:00,0
2026-08-23T11:14:02.195444958+00:00,1
2026-08-23T11:14:02.196660833+00:00,0
2026-08-23T11:14:02.197132750+00:00,1
2026-08-23T11:14:02.198354125+00:00,0
2026-08-23T11:14:02.198828917+00:00,1
2026-08-23T11:14:02.200072833+00:00,0
2026-08-23T11:14:02.200519458+00:00,1
2026-08-23T11:14:02.201764083+00:00,0
2026-08-23T11:14:02.202129042+00:00,1
2026-08-23T11:14:02.202610167+00:00,0
2026-08-23T11:14:02.203057458+00:00,1
2026-08-23T11:14:02.203427708+00:00,0
2026-08-23T11:14:02.203900625+00:00,1
2026-08-23T11:14:02.205118708+00:00,0
2026-08-23T11:14:02.205593333+00:00,1
2026-08-23T11:14:02.205966417+00:00,0
2026-08-23T11:14:02.206437542+00:00,1
2026-08-23T11:14:02.206839208+00:00,0
2026-08-23T11:14:02.207285333+00:00,1
2026-08-23T11:14:02.207685417+00:00,0
2026-08-23T11:14:02.208132333+00:00,1
2026-08-23T11:14:02.208500875+00:00,0
2026-08-23T11:14:02.208974750+00:00,1
2026-08-23T11:14:02.209376667+00:00,0
2026-08-23T11:14:02.209820167+00:00,1
2026-08-23T11:14:02.211067458+00:00,0
2026-08-23T11:14:02.211536542+00:00,1
2026-08-23T11:14:02.212758542+00:00,0
2026-08-23T11:14:02.213198792+00:00,1
2026-08-23T11:14:02.213604500+00:00,0
2026-08-23T11:14:02.214051542+00:00,1
2026-08-23T11:14:02.215295250+00:00,0
