Time [s],Channel 0
2026-08-23T11:13:20.425442000+00:00,1
2026-08-23T11:13:20.690259917+00:00,0
2026-08-23T11:13:20.693674000+00:00,1
2026-08-23T11:13:20.695334417+00:00,0
2026-08-23T11:13:20.695832875+00:00,1
2026-08-23T11:13:20.697024583+00:00,0
2026-08-23T11:13:20.697498042+00:00,1
2026-08-23T11:13:20.697899333+00:00,0
2026-08-23T11:13:20.698344833+00:00,1
2026-08-23T11:13:20.698745000+00:00,0
2026-08-23T11:13:20.699185667+00:00,1
2026-08-23T11:13:20.699591042+00:00,0
2026-08-23T11:13:20.700036000+00:00,1
2026-08-23T11:13:20.700407167+00:00,0
2026-08-23T11:13:20.700878750+00:00,1
2026-08-23T11:13:20.701282250+00:00,0
2026-08-23T11:13:20.701727500+00:00,1
2026-08-23T11:13:20.702128667+00:00,0
2026-08-23T11:13:20.702574083+00:00,1
2026-08-23T11:13:20.702973583+00:00,0
2026-08-23T11:13:20.703413250+00:00,1
2026-08-23T11:13:20.703829208+00:00,0
2026-08-23T11:13:20.704245667+00:00,1
2026-08-23T11:13:20.704639375+00:00,0
2026-08-23T11:13:20.705112667+00:00,1
2026-08-23T11:13:20.705484708+00:00,0
2026-08-23T11:13:20.705957333+00:00,1
2026-08-23T11:13:20.706357250+00:00,0
2026-08-23T11:13:20.706802625+00:00,1
2026-08-23T11:13:20.708019792+00:00,0
2026-08-23T11:13:20.708518250+00:00,1
2026-08-23T11:13:20.708893417+00:00,0
2026-08-23T11:13:20.709339542+00:00,1
2026-08-23T11:13:20.709740250+00:00,0
2026-08-23T11:13:20.710186125+00:00,1
2026-08-23T11:13:20.710558750+00:00,0
2026-08-23T11:13:20.711031792+00:00,1
2026-08-23T11:13:20.711431167+00:00,0
2026-08-23T11:13:20.711877583+00:00,1
2026-08-23T11:13:20.712249875+00:00,0
2026-08-23T11:13:20.712722750+00:00,1
2026-08-23T11:13:20.713123000+00:00,0
2026-08-23T11:13:20.713570083+00:00,1
2026-08-23T11:13:20.713940458+00:00,0
2026-08-23T11:13:20.714414625+00:00,1
2026-08-23T11:13:20.715630875+00:00,0
2026-08-23T11:13:20.716103833+00:00,1
2026-08-23T11:13:20.717322042+00:00,0
2026-08-23T11:13:20.717793500+00:00,1
2026-08-23T11:13:20.718196167+00:00,0
2026-08-23T11:13:20.718636583+00:00,1
2026-08-23T11:13:20.719042125+00:00,0
2026-08-23T11:13:20.719489250+00:00,1
2026-08-23T11:13:20.719887417+00:00,0
2026-08-23T11:13:20.720329750+00:00,1
2026-08-23T11:13:20.720733958+00:00,0
2026-08-23T11:13:20.721179708+00:00,1
2026-08-23T11:13:20.721550417+00:00,0
2026-08-23T11:13:20.722024708+00:00,1
2026-08-23T11:13:20.722425250+00:00,0
2026-08-23T11:13:20.722895583+00:00,1
2026-08-23T11:13:20.724085750+00:00,0
2026-08-23T11:13:20.724560083+00:00,1
2026-08-23T11:13:20.724935417+00:00,0
2026-08-23T11:13:20.725407875+00:00,1
2026-08-23T11:13:20.726623542+00:00,0
2026-08-23T11:13:20.727121958+00:00,1
2026-08-23T11:13:20.727498500+00:00,0
2026-08-23T11:13:20.727943417+00:00,1
2026-08-23T11:13:20.729189208+00:00,0
2026-08-23T11:13:20.729655333+00:00,1
2026-08-23T11:13:20.730879667+00:00,0
2026-08-23T11:13:20.731320083+00:00,1
2026-08-23T11:13:20.732542208+00:00,0
2026-08-23T11:13:20.733014917+00:00,1
2026-08-23T11:13:20.734233125+00:00,0
2026-08-23T11:13:20.734706333+00:00,1
2026-08-23T11:13:20.735107833+00:00,0
2026-08-23T11:13:20.735578083+00:00,1
2026-08-23T11:13:20.736770375+00:00,0
2026-08-23T11:13:20.737241750+00:00,1
2026-08-23T11:13:20.737643958+00:00,0
2026-08-23T11:13:20.738090083+00:00,1
2026-08-23T11:13:20.739335125+00:00,0
2026-08-23T11:13:20.739778000+00:00,1
2026-08-23T11:13:20.740181500+00:00,0
2026-08-23T11:13:20.740628500+00:00,1
2026-08-23T11:13:20.741027125+00:00,0
2026-08-23T11:13:20.741498333+00:00,1
2026-08-23T11:13:20.741873000+00:00,0
2026-08-23T11:13:20.742317792+00:00,1
2026-08-23T11:13:20.742691125+00:00,0
2026-08-23T11:13:20.743162917+00:00,1
2026-08-23T11:13:20.743565375+00:00,0
2026-08-23T11:13:20.744008458+00:00,1
2026-08-23T11:13:20.744383792+00:00,0
2026-08-23T11:13:20.744853625+00:00,1
2026-08-23T11:13:20.745229625+00:00,0
2026-08-23T11:13:20.745704125+00:00,1
2026-08-23T11:13:20.746102417+00:00,0
2026-08-23T11:13:20.746548375+00:00,1
2026-08-23T11:13:20.747792875+00:00,0
2026-08-23T11:13:20.748238292+00:00,1
2026-08-23T11:13:20.749483250+00:00,0
2026-08-23T11:13:20.749927417+00:00,1
2026-08-23T11:13:20.751174500+00:00,0
2026-08-23T11:13:20.751621167+00:00,1
2026-08-23T11:13:20.752865833+00:00,0
2026-08-23T11:13:20.753309500+00:00,1
2026-08-23T11:13:20.754528375+00:00,0
2026-08-23T11:13:20.755002458+00:00,1
2026-08-23T11:13:20.756247417+00:00,0
2026-08-23T11:13:20.756716167+00:00,1
2026-08-23T11:13:20.757909417+00:00,0
2026-08-23T11:13:20.758380542+00:00,1
2026-08-23T11:13:20.759629167+00:00,0
2026-08-23T11:13:20.760099583+00:00,1
2026-08-23T11:13:20.760475542+00:00,0
2026-08-23T11:13:20.760919042+00:00,1
2026-08-23T11:13:20.761321542+00:00,0
2026-08-23T11:13:20.761765583+00:00,1
2026-08-23T11:13:20.762167292+00:00,0
2026-08-23T11:13:20.762636542+00:00,1
2026-08-23T11:13:20.763013250+00:00,0
2026-08-23T11:13:20.763456375+00:00,1
2026-08-23T11:13:20.763829917+00:00,0
2026-08-23T11:13:20.764301000+00:00,1
2026-08-23T11:13:20.765519667+00:00,0
2026-08-23T11:13:20.765995667+00:00,1
2026-08-23T11:13:20.766369208+00:00,0
2026-08-23T11:13:20.766841875+00:00,1
2026-08-23T11:13:20.767241917+00:00,0
2026-08-23T11:13:20.767712958+00:00,1
2026-08-23T11:13:20.768903333+00:00,0
2026-08-23T11:13:20.769379917+00:00,1
2026-08-23T11:13:20.770623750+00:00,0
2026-08-23T11:13:20.771070583+00:00,1
2026-08-23T11:13:20.772314833+00:00,0
2026-08-23T11:13:20.772760583+00:00,1
2026-08-23T11:13:20.773978625+00:00,0
2026-08-23T11:13:20.774450000+00:00,1
2026-08-23T11:13:20.775696875+00:00,0
2026-08-23T11:13:20.776141500+00:00,1
2026-08-23T11:13:20.776543208+00:00,0
2026-08-23T11:13:20.776990083+00:00,1
2026-08-23T11:13:20.778203375+00:00,0
2026-08-23T11:13:20.778675083+00:00,1
2026-08-23T11:13:20.779899708+00:00,0
2026-08-23T11:13:20.780370542+00:00,1
2026-08-23T11:13:20.781614750+00:00,0
2026-08-23T11:13:20.782057292+00:00,1
2026-08-23T11:13:20.783276333+00:00,0
2026-08-23T11:13:20.783776708+00:00,1
2026-08-23T11:13:20.784122875+00:00,0
2026-08-23T11:13:20.784596833+00:00,1
2026-08-23T11:13:20.784998083+00:00,0
2026-08-23T11:13:20.785440167+00:00,1
2026-08-23T11:13:20.786661667+00:00,0
2026-08-23T11:13:20.787157208+00:00,1
2026-08-23T11:13:20.788379500+00:00,0
2026-08-23T11:13:20.788849167+00:00,1
2026-08-23T11:13:20.790042417+00:00,0
2026-08-23T11:13:20.790516417+00:00,1
2026-08-23T11:13:20.791762417+00:00,0
2026-08-23T11:13:20.792201292+00:00,1
2026-08-23T11:13:20.792609417+00:00,0
2026-08-23T11:13:20.793052125+00:00,1
2026-08-23T11:13:20.793425833+00:00,0
2026-08-23T11:13:20.793897333+00:00,1
2026-08-23T11:13:20.795116167+00:00,0
2026-08-23T11:13:20.795590333+00:00,1
2026-08-23T11:13:20.796807333+00:00,0
2026-08-23T11:13:20.797280167+00:00,1
2026-08-23T11:13:20.797682708+00:00,0
2026-08-23T11:13:20.798153208+00:00,1
2026-08-23T11:13:20.798499875+00:00,0
2026-08-23T11:13:20.798974167+00:00,1
2026-08-23T11:13:20.799374583+00:00,0
2026-08-23T11:13:20.799816625+00:00,1
2026-08-23T11:13:20.800223375+00:00,0
2026-08-23T11:13:20.800588667+00:00,1
2026-08-23T11:13:20.840785792+00:00,0
2026-08-23T11:13:20.844229667+00:00,1
2026-08-23T11:13:20.845891458+00:00,0
2026-08-23T11:13:20.846335833+00:00,1
2026-08-23T11:13:20.847552167+00:00,0
2026-08-23T11:13:20.848028083+00:00,1
2026-08-23T11:13:20.848399667+00:00,0
2026-08-23T11:13:20.848872208+00:00,1
