Time [s],Channel 0
2026-08-23T11:15:29.976079000+00:00,1
2026-08-23T11:15:30.245141792+00:00,0
2026-08-23T11:15:30.248560750+00:00,1
2026-08-23T11:15:30.250218708+00:00,0
2026-08-23T11:15:30.250694083+00:00,1
2026-08-23T11:15:30.251937542+00:00,0
2026-08-23T11:15:30.252408417+00:00,1
2026-08-23T11:15:30.252783583+00:00,0
2026-08-23T11:15:30.253254167+00:00,1
2026-08-23T11:15:30.253630292+00:00,0
2026-08-23T11:15:30.254077042+00:00,1
2026-08-23T11:15:30.254447458+00:00,0
2026-08-23T11:15:30.254921125+00:00,1
2026-08-23T11:15:30.255322000+00:00,0
2026-08-23T11:15:30.255768250+00:00,1
2026-08-23T11:15:30.256138750+00:00,0
2026-08-23T11:15:30.256613042+00:00,1
2026-08-23T11:15:30.256988458+00:00,0
2026-08-23T11:15:30.257460333+00:00,1
2026-08-23T11:15:30.257859458+00:00,0
2026-08-23T11:15:30.258306208+00:00,1
2026-08-23T11:15:30.258688583+00:00,0
2026-08-23T11:15:30.259158542+00:00,1
2026-08-23T11:15:30.259551542+00:00,0
2026-08-23T11:15:30.259997375+00:00,1
2026-08-23T11:15:30.260370583+00:00,0
2026-08-23T11:15:30.260841875+00:00,1
2026-08-23T11:15:30.261217917+00:00,0
2026-08-23T11:15:30.261690333+00:00,1
2026-08-23T11:15:30.262905708+00:00,0
2026-08-23T11:15:30.263376833+00:00,1
2026-08-23T11:15:30.263780375+00:00,0
2026-08-23T11:15:30.264227292+00:00,1
2026-08-23T11:15:30.264597750+00:00,0
2026-08-23T11:15:30.265070250+00:00,1
2026-08-23T11:15:30.265444542+00:00,0
2026-08-23T11:15:30.265916000+00:00,1
2026-08-23T11:15:30.266317417+00:00,0
2026-08-23T11:15:30.266764458+00:00,1
2026-08-23T11:15:30.267136375+00:00,0
2026-08-23T11:15:30.267607833+00:00,1
2026-08-23T11:15:30.268009333+00:00,0
2026-08-23T11:15:30.268455750+00:00,1
2026-08-23T11:15:30.268855125+00:00,0
2026-08-23T11:15:30.269300750+00:00,1
2026-08-23T11:15:30.270518458+00:00,0
2026-08-23T11:15:30.271016583+00:00,1
2026-08-23T11:15:30.272209333+00:00,0
2026-08-23T11:15:30.272683792+00:00,1
2026-08-23T11:15:30.273083000+00:00,0
2026-08-23T11:15:30.273528292+00:00,1
2026-08-23T11:15:30.273900125+00:00,0
2026-08-23T11:15:30.274375708+00:00,1
2026-08-23T11:15:30.274747000+00:00,0
2026-08-23T11:15:30.275220750+00:00,1
2026-08-23T11:15:30.275620917+00:00,0
2026-08-23T11:15:30.276066583+00:00,1
