Time [s],Channel 0
2026-08-23T11:20:42.712830000+00:00,1
2026-08-23T11:20:43.191163917+00:00,0
2026-08-23T11:20:43.194554667+00:00,1
2026-08-23T11:20:43.196212125+00:00,0
2026-08-23T11:20:43.196686042+00:00,1
2026-08-23T11:20:43.197903542+00:00,0
2026-08-23T11:20:43.198379292+00:00,1
2026-08-23T11:20:43.198776500+00:00,0
2026-08-23T11:20:43.199246958+00:00,1
2026-08-23T11:20:43.199594250+00:00,0
2026-08-23T11:20:43.200068125+00:00,1
2026-08-23T11:20:43.200442125+00:00,0
2026-08-23T11:20:43.200915000+00:00,1
2026-08-23T11:20:43.201288292+00:00,0
2026-08-23T11:20:43.201758458+00:00,1
2026-08-23T11:20:43.202160625+00:00,0
2026-08-23T11:20:43.202606708+00:00,1
2026-08-23T11:20:43.202977042+00:00,0
2026-08-23T11:20:43.203452083+00:00,1
2026-08-23T11:20:43.203823042+00:00,0
2026-08-23T11:20:43.204297917+00:00,1
2026-08-23T11:20:43.204697875+00:00,0
2026-08-23T11:20:43.205143333+00:00,1
2026-08-23T11:20:43.205544292+00:00,0
2026-08-23T11:20:43.205988458+00:00,1
2026-08-23T11:20:43.206389375+00:00,0
2026-08-23T11:20:43.206835333+00:00,1
2026-08-23T11:20:43.207207458+00:00,0
2026-08-23T11:20:43.207680833+00:00,1
2026-08-23T11:20:43.208925458+00:00,0
2026-08-23T11:20:43.209372708+00:00,1
2026-08-23T11:20:43.209743375+00:00,0
2026-08-23T11:20:43.210217792+00:00,1
2026-08-23T11:20:43.210617417+00:00,0
2026-08-23T11:20:43.211063333+00:00,1
2026-08-23T11:20:43.211463750+00:00,0
2026-08-23T11:20:43.211910625+00:00,1
2026-08-23T11:20:43.212280500+00:00,0
2026-08-23T11:20:43.212753667+00:00,1
2026-08-23T11:20:43.213128333+00:00,0
2026-08-23T11:20:43.213599042+00:00,1
2026-08-23T11:20:43.214001000+00:00,0
2026-08-23T11:20:43.214446417+00:00,1
2026-08-23T11:20:43.214816667+00:00,0
2026-08-23T11:20:43.215293083+00:00,1
2026-08-23T11:20:43.216507833+00:00,0
2026-08-23T11:20:43.216985542+00:00,1
2026-08-23T11:20:43.218199333+00:00,0
2026-08-23T11:20:43.218674750+00:00,1
2026-08-23T11:20:43.219046583+00:00,0
2026-08-23T11:20:43.219520000+00:00,1
2026-08-23T11:20:43.219919625+00:00,0
2026-08-23T11:20:43.220367542+00:00,1
2026-08-23T11:20:43.220765833+00:00,0
2026-08-23T11:20:43.221210958+00:00,1
2026-08-23T11:20:43.221583500+00:00,0
2026-08-23T11:20:43.222056875+00:00,1
2026-08-23T11:20:43.222456917+00:00,0
2026-08-23T11:20:43.222902667+00:00,1
2026-08-23T11:20:43.223302542+00:00,0
2026-08-23T11:20:43.223748458+00:00,1
2026-08-23T11:20:43.224965333+00:00,0
2026-08-23T11:20:43.225440750+00:00,1
2026-08-23T11:20:43.225811583+00:00,0
2026-08-23T11:20:43.226285500+00:00,1
2026-08-23T11:20:43.227501625+00:00,0
2026-08-23T11:20:43.228000958+00:00,1
2026-08-23T11:20:43.228375417+00:00,0
2026-08-23T11:20:43.228820458+00:00,1
2026-08-23T11:20:43.230037792+00:00,0
2026-08-23T11:20:43.230514167+00:00,1
2026-08-23T11:20:43.231730917+00:00,0
2026-08-23T11:20:43.232204250+00:00,1
2026-08-23T11:20:43.233419958+00:00,0
2026-08-23T11:20:43.233896250+00:00,1
2026-08-23T11:20:43.235110667+00:00,0
2026-08-23T11:20:43.235587417+00:00,1
2026-08-23T11:20:43.235985042+00:00,0
2026-08-23T11:20:43.236430667+00:00,1
2026-08-23T11:20:43.237676250+00:00,0
2026-08-23T11:20:43.238124042+00:00,1
2026-08-23T11:20:43.238496167+00:00,0
2026-08-23T11:20:43.238970542+00:00,1
2026-08-23T11:20:43.240184750+00:00,0
2026-08-23T11:20:43.240661500+00:00,1
2026-08-23T11:20:43.241030542+00:00,0
2026-08-23T11:20:43.241506583+00:00,1
2026-08-23T11:20:43.241905750+00:00,0
