Time [s],Channel 0
2026-08-23T11:20:51.019957000+00:00,1
2026-08-23T11:20:52.105590583+00:00,0
2026-08-23T11:20:52.109008833+00:00,1
2026-08-23T11:20:52.110667708+00:00,0
2026-08-23T11:20:52.111142708+00:00,1
2026-08-23T11:20:52.112356375+00:00,0
2026-08-23T11:20:52.112832667+00:00,1
2026-08-23T11:20:52.113232125+00:00,0
2026-08-23T11:20:52.113678333+00:00,1
2026-08-23T11:20:52.114078292+00:00,0
2026-08-23T11:20:52.114522458+00:00,1
2026-08-23T11:20:52.114924542+00:00,0
2026-08-23T11:20:52.115372000+00:00,1
2026-08-23T11:20:52.115770167+00:00,0
2026-08-23T11:20:52.116216333+00:00,1
2026-08-23T11:20:52.116615833+00:00,0
2026-08-23T11:20:52.117061333+00:00,1
2026-08-23T11:20:52.117435458+00:00,0
2026-08-23T11:20:52.117908458+00:00,1
2026-08-23T11:20:52.118307542+00:00,0
2026-08-23T11:20:52.118752917+00:00,1
2026-08-23T11:20:52.119153583+00:00,0
2026-08-23T11:20:52.119623750+00:00,1
2026-08-23T11:20:52.119970250+00:00,0
2026-08-23T11:20:52.120445750+00:00,1
2026-08-23T11:20:52.120845125+00:00,0
2026-08-23T11:20:52.121289458+00:00,1
2026-08-23T11:20:52.121663333+00:00,0
2026-08-23T11:20:52.122137292+00:00,1
2026-08-23T11:20:52.123353750+00:00,0
2026-08-23T11:20:52.123827333+00:00,1
2026-08-23T11:20:52.124200417+00:00,0
2026-08-23T11:20:52.124668000+00:00,1
2026-08-23T11:20:52.125073583+00:00,0
2026-08-23T11:20:52.125519708+00:00,1
2026-08-23T11:20:52.125919042+00:00,0
2026-08-23T11:20:52.126365292+00:00,1
2026-08-23T11:20:52.126738333+00:00,0
2026-08-23T11:20:52.127211792+00:00,1
2026-08-23T11:20:52.127610917+00:00,0
2026-08-23T11:20:52.128055708+00:00,1
2026-08-23T11:20:52.128456708+00:00,0
2026-08-23T11:20:52.128901875+00:00,1
2026-08-23T11:20:52.129302625+00:00,0
2026-08-23T11:20:52.129747750+00:00,1
2026-08-23T11:20:52.130965208+00:00,0
2026-08-23T11:20:52.131439792+00:00,1
2026-08-23T11:20:52.132656625+00:00,0
2026-08-23T11:20:52.133130917+00:00,1
2026-08-23T11:20:52.133502125+00:00,0
2026-08-23T11:20:52.133976083+00:00,1
2026-08-23T11:20:52.134348500+00:00,0
2026-08-23T11:20:52.134820208+00:00,1
2026-08-23T11:20:52.135196250+00:00,0
2026-08-23T11:20:52.135668958+00:00,1
2026-08-23T11:20:52.136068083+00:00,0
2026-08-23T11:20:52.136513708+00:00,1
2026-08-23T11:20:52.136914042+00:00,0
2026-08-23T11:20:52.137360708+00:00,1
2026-08-23T11:20:52.137732292+00:00,0
2026-08-23T11:20:52.138202542+00:00,1
2026-08-23T11:20:52.139450542+00:00,0
2026-08-23T11:20:52.139898000+00:00,1
2026-08-23T11:20:52.140268875+00:00,0
2026-08-23T11:20:52.140744000+00:00,1
2026-08-23T11:20:52.141958250+00:00,0
2026-08-23T11:20:52.142432708+00:00,1
2026-08-23T11:20:52.142806708+00:00,0
2026-08-23T11:20:52.143279042+00:00,1
2026-08-23T11:20:52.144496167+00:00,0
2026-08-23T11:20:52.144970125+00:00,1
2026-08-23T11:20:52.146215708+00:00,0
2026-08-23T11:20:52.146660667+00:00,1
2026-08-23T11:20:52.147878917+00:00,0
2026-08-23T11:20:52.148350458+00:00,1
2026-08-23T11:20:52.149569583+00:00,0
2026-08-23T11:20:52.150043708+00:00,1
2026-08-23T11:20:52.150444792+00:00,0
2026-08-23T11:20:52.150915458+00:00,1
2026-08-23T11:20:52.152108167+00:00,0
2026-08-23T11:20:52.152581625+00:00,1
2026-08-23T11:20:52.152981375+00:00,0
2026-08-23T11:20:52.153426375+00:00,1
2026-08-23T11:20:52.154672000+00:00,0
2026-08-23T11:20:52.155117417+00:00,1
2026-08-23T11:20:52.155518083+00:00,0
2026-08-23T11:20:52.155963708+00:00,1
2026-08-23T11:20:52.156363958+00:00,0
2026-08-23T11:20:52.156810500+00:00,1
2026-08-23T11:20:52.157210292+00:00,0
2026-08-23T11:20:52.157658292+00:00,1
2026-08-23T11:20:52.158027292+00:00,0
2026-08-23T11:20:52.158502542+00:00,1
2026-08-23T11:20:52.158874542+00:00,0
2026-08-23T11:20:52.159347417+00:00,1
2026-08-23T11:20:52.159748417+00:00,0
2026-08-23T11:20:52.160194083+00:00,1
2026-08-23T11:20:52.160565667+00:00,0
2026-08-23T11:20:52.160961125+00:00,1
2026-08-23T11:20:52.161441417+00:00,0
2026-08-23T11:20:52.161886417+00:00,1
2026-08-23T11:20:52.163130125+00:00,0
2026-08-23T11:20:52.163577625+00:00,1
2026-08-23T11:20:52.164791125+00:00,0
2026-08-23T11:20:52.165266167+00:00,1
2026-08-23T11:20:52.166481667+00:00,0
2026-08-23T11:20:52.166957125+00:00,1
2026-08-23T11:20:52.168175667+00:00,0
2026-08-23T11:20:52.168648958+00:00,1
2026-08-23T11:20:52.169865833+00:00,0
2026-08-23T11:20:52.170362875+00:00,1
2026-08-23T11:20:52.171584333+00:00,0
2026-08-23T11:20:52.172054125+00:00,1
2026-08-23T11:20:52.173276333+00:00,0
2026-08-23T11:20:52.173722500+00:00,1
2026-08-23T11:20:52.174940208+00:00,0
2026-08-23T11:20:52.175410792+00:00,1
2026-08-23T11:20:52.176658292+00:00,0
2026-08-23T11:20:52.177127792+00:00,1
2026-08-23T11:20:52.178320958+00:00,0
2026-08-23T11:20:52.178792000+00:00,1
2026-08-23T11:20:52.180012208+00:00,0
2026-08-23T11:20:52.180487500+00:00,1
2026-08-23T11:20:52.180856667+00:00,0
2026-08-23T11:20:52.181331208+00:00,1
2026-08-23T11:20:52.181703958+00:00,0
