Time [s],Channel 0
2026-08-23T11:20:21.566960000+00:00,1
2026-08-23T11:20:21.938226542+00:00,0
2026-08-23T11:20:21.941614875+00:00,1
2026-08-23T11:20:21.943273417+00:00,0
2026-08-23T11:20:21.943749042+00:00,1
2026-08-23T11:20:21.944965750+00:00,0
2026-08-23T11:20:21.945441000+00:00,1
2026-08-23T11:20:21.945809917+00:00,0
2026-08-23T11:20:21.946287167+00:00,1
2026-08-23T11:20:21.946684375+00:00,0
2026-08-23T11:20:21.947131417+00:00,1
2026-08-23T11:20:21.947502417+00:00,0
2026-08-23T11:20:21.947973792+00:00,1
2026-08-23T11:20:21.948350417+00:00,0
2026-08-23T11:20:21.948847500+00:00,1
2026-08-23T11:20:21.949193958+00:00,0
2026-08-23T11:20:21.949690083+00:00,1
2026-08-23T11:20:21.950068458+00:00,0
2026-08-23T11:20:21.950510958+00:00,1
2026-08-23T11:20:21.950886500+00:00,0
2026-08-23T11:20:21.951359875+00:00,1
2026-08-23T11:20:21.951769333+00:00,0
2026-08-23T11:20:21.952212500+00:00,1
2026-08-23T11:20:21.952580667+00:00,0
2026-08-23T11:20:21.953051625+00:00,1
2026-08-23T11:20:21.953424667+00:00,0
2026-08-23T11:20:21.953896833+00:00,1
2026-08-23T11:20:21.954269042+00:00,0
2026-08-23T11:20:21.954768167+00:00,1
2026-08-23T11:20:21.955959833+00:00,0
2026-08-23T11:20:21.956435875+00:00,1
2026-08-23T11:20:21.956834250+00:00,0
2026-08-23T11:20:21.957304583+00:00,1
2026-08-23T11:20:21.957653417+00:00,0
2026-08-23T11:20:21.958127333+00:00,1
2026-08-23T11:20:21.958526250+00:00,0
2026-08-23T11:20:21.958972000+00:00,1
2026-08-23T11:20:21.959344375+00:00,0
2026-08-23T11:20:21.959816708+00:00,1
2026-08-23T11:20:21.960189792+00:00,0
2026-08-23T11:20:21.960688667+00:00,1
2026-08-23T11:20:21.961064000+00:00,0
2026-08-23T11:20:21.961509000+00:00,1
2026-08-23T11:20:21.961909833+00:00,0
2026-08-23T11:20:21.962357708+00:00,1
2026-08-23T11:20:21.963572333+00:00,0
2026-08-23T11:20:21.964048458+00:00,1
2026-08-23T11:20:21.965264125+00:00,0
2026-08-23T11:20:21.965733917+00:00,1
2026-08-23T11:20:21.966138000+00:00,0
2026-08-23T11:20:21.966584625+00:00,1
2026-08-23T11:20:21.966982833+00:00,0
2026-08-23T11:20:21.967430167+00:00,1
2026-08-23T11:20:21.967801833+00:00,0
2026-08-23T11:20:21.968276125+00:00,1
2026-08-23T11:20:21.968647042+00:00,0
2026-08-23T11:20:21.969121625+00:00,1
2026-08-23T11:20:21.969521042+00:00,0
2026-08-23T11:20:21.969966917+00:00,1
2026-08-23T11:20:21.970367042+00:00,0
2026-08-23T11:20:21.970812042+00:00,1
2026-08-23T11:20:21.972030125+00:00,0
2026-08-23T11:20:21.972505208+00:00,1
2026-08-23T11:20:21.972904167+00:00,0
2026-08-23T11:20:21.973350042+00:00,1
2026-08-23T11:20:21.974569292+00:00,0
2026-08-23T11:20:21.975040833+00:00,1
2026-08-23T11:20:21.975413125+00:00,0
2026-08-23T11:20:21.975887708+00:00,1
2026-08-23T11:20:21.977102375+00:00,0
2026-08-23T11:20:21.977576625+00:00,1
2026-08-23T11:20:21.978795583+00:00,0
2026-08-23T11:20:21.979268208+00:00,1
2026-08-23T11:20:21.980486167+00:00,0
2026-08-23T11:20:21.980961833+00:00,1
2026-08-23T11:20:21.982204583+00:00,0
2026-08-23T11:20:21.982652167+00:00,1
2026-08-23T11:20:21.983050667+00:00,0
2026-08-23T11:20:21.983494958+00:00,1
2026-08-23T11:20:21.984741500+00:00,0
2026-08-23T11:20:21.985188208+00:00,1
2026-08-23T11:20:21.985587708+00:00,0
2026-08-23T11:20:21.986034250+00:00,1
2026-08-23T11:20:21.987252000+00:00,0
2026-08-23T11:20:21.987724792+00:00,1
2026-08-23T11:20:21.988124375+00:00,0
2026-08-23T11:20:21.988571542+00:00,1
2026-08-23T11:20:21.988942167+00:00,0
2026-08-23T11:20:21.989416958+00:00,1
2026-08-23T11:20:21.989816417+00:00,0
2026-08-23T11:20:21.990286625+00:00,1
2026-08-23T11:20:21.990634625+00:00,0
2026-08-23T11:20:21.991109125+00:00,1
2026-08-23T11:20:21.991482417+00:00,0
2026-08-23T11:20:21.991955083+00:00,1
2026-08-23T11:20:21.992328500+00:00,0
2026-08-23T11:20:21.992802125+00:00,1
2026-08-23T11:20:21.993200208+00:00,0
2026-08-23T11:20:21.993592667+00:00,1
2026-08-23T11:20:21.994047417+00:00,0
2026-08-23T11:20:21.994493750+00:00,1
2026-08-23T11:20:21.995711167+00:00,0
2026-08-23T11:20:21.996184750+00:00,1
2026-08-23T11:20:21.997397958+00:00,0
2026-08-23T11:20:21.997873917+00:00,1
2026-08-23T11:20:21.999118833+00:00,0
2026-08-23T11:20:21.999562958+00:00,1
2026-08-23T11:20:22.000781458+00:00,0
2026-08-23T11:20:22.001256875+00:00,1
2026-08-23T11:20:22.002500875+00:00,0
2026-08-23T11:20:22.002971333+00:00,1
2026-08-23T11:20:22.004163750+00:00,0
2026-08-23T11:20:22.004636792+00:00,1
2026-08-23T11:20:22.005852833+00:00,0
2026-08-23T11:20:22.006329792+00:00,1
2026-08-23T11:20:22.007574500+00:00,0
2026-08-23T11:20:22.008019250+00:00,1
2026-08-23T11:20:22.009237417+00:00,0
2026-08-23T11:20:22.009735417+00:00,1
2026-08-23T11:20:22.010111542+00:00,0
2026-08-23T11:20:22.010582167+00:00,1
2026-08-23T11:20:22.010929625+00:00,0
2026-08-23T11:20:22.011403917+00:00,1
2026-08-23T11:20:22.012622333+00:00,0
2026-08-23T11:20:22.013095833+00:00,1
2026-08-23T11:20:22.013494375+00:00,0
2026-08-23T11:20:22.013938000+00:00,1
2026-08-23T11:20:22.014340167+00:00,0
2026-08-23T11:20:22.014785083+00:00,1
2026-08-23T11:20:22.015157875+00:00,0
2026-08-23T11:20:22.015632292+00:00,1
2026-08-23T11:20:22.016031667+00:00,0
2026-08-23T11:20:22.016478542+00:00,1
2026-08-23T11:20:22.016877542+00:00,0
2026-08-23T11:20:22.017320917+00:00,1
2026-08-23T11:20:22.018568500+00:00,0
2026-08-23T11:20:22.019039875+00:00,1
2026-08-23T11:20:22.020230917+00:00,0
2026-08-23T11:20:22.020703958+00:00,1
2026-08-23T11:20:22.021105208+00:00,0
2026-08-23T11:20:22.021551292+00:00,1
2026-08-23T11:20:22.022768625+00:00,0
2026-08-23T11:20:22.023240375+00:00,1
2026-08-23T11:20:22.024458917+00:00,0
2026-08-23T11:20:22.024932417+00:00,1
2026-08-23T11:20:22.026150125+00:00,0
2026-08-23T11:20:22.026625000+00:00,1
2026-08-23T11:20:22.027870167+00:00,0
2026-08-23T11:20:22.028312583+00:00,1
2026-08-23T11:20:22.028715375+00:00,0
2026-08-23T11:20:22.029162375+00:00,1
2026-08-23T11:20:22.029533958+00:00,0
2026-08-23T11:20:22.030030417+00:00,1
2026-08-23T11:20:22.031252292+00:00,0
2026-08-23T11:20:22.031698500+00:00,1
2026-08-23T11:20:22.032068792+00:00,0
2026-08-23T11:20:22.032541792+00:00,1
2026-08-23T11:20:22.032943750+00:00,0
2026-08-23T11:20:22.033413625+00:00,1
2026-08-23T11:20:22.033761458+00:00,0
2026-08-23T11:20:22.034235333+00:00,1
2026-08-23T11:20:22.035480250+00:00,0
2026-08-23T11:20:22.035925542+00:00,1
2026-08-23T11:20:22.037171958+00:00,0
2026-08-23T11:20:22.037615083+00:00,1
2026-08-23T11:20:22.038834792+00:00,0
2026-08-23T11:20:22.039334292+00:00,1
2026-08-23T11:20:22.040525000+00:00,0
2026-08-23T11:20:22.041001167+00:00,1
2026-08-23T11:20:22.041399917+00:00,0
2026-08-23T11:20:22.041843250+00:00,1
2026-08-23T11:20:22.043090250+00:00,0
2026-08-23T11:20:22.043536708+00:00,1
2026-08-23T11:20:22.044781583+00:00,0
2026-08-23T11:20:22.045226333+00:00,1
2026-08-23T11:20:22.046472875+00:00,0
2026-08-23T11:20:22.046919125+00:00,1
2026-08-23T11:20:22.047319083+00:00,0
2026-08-23T11:20:22.047764167+00:00,1
2026-08-23T11:20:22.048167583+00:00,0
2026-08-23T11:20:22.048611583+00:00,1
2026-08-23T11:20:22.088730958+00:00,0
2026-08-23T11:20:22.092147917+00:00,1
2026-08-23T11:20:22.093810708+00:00,0
2026-08-23T11:20:22.094307875+00:00,1
2026-08-23T11:20:22.095503375+00:00,0
2026-08-23T11:20:22.095975833+00:00,1
2026-08-23T11:20:22.096347000+00:00,0
2026-08-23T11:20:22.096821625+00:00,1
2026-08-23T11:20:22.097220625+00:00,0
2026-08-23T11:20:22.097665458+00:00,1
2026-08-23T11:20:22.098066792+00:00,0
2026-08-23T11:20:22.098513250+00:00,1
2026-08-23T11:20:22.098912333+00:00,0
2026-08-23T11:20:22.099359667+00:00,1
2026-08-23T11:20:22.099758417+00:00,0
2026-08-23T11:20:22.100205792+00:00,1
2026-08-23T11:20:22.100576167+00:00,0
2026-08-23T11:20:22.101048875+00:00,1
2026-08-23T11:20:22.101449625+00:00,0
2026-08-23T11:20:22.101917375+00:00,1
2026-08-23T11:20:22.102268208+00:00,0
2026-08-23T11:20:22.102744375+00:00,1
2026-08-23T11:20:22.103113375+00:00,0
2026-08-23T11:20:22.103585750+00:00,1
2026-08-23T11:20:22.103991250+00:00,0
2026-08-23T11:20:22.104438500+00:00,1
2026-08-23T11:20:22.104804958+00:00,0
2026-08-23T11:20:22.105278917+00:00,1
2026-08-23T11:20:22.106498125+00:00,0
2026-08-23T11:20:22.106970542+00:00,1
2026-08-23T11:20:22.107370167+00:00,0
2026-08-23T11:20:22.107840042+00:00,1
2026-08-23T11:20:22.108188583+00:00,0
2026-08-23T11:20:22.108662583+00:00,1
2026-08-23T11:20:22.109062375+00:00,0
2026-08-23T11:20:22.109509500+00:00,1
2026-08-23T11:20:22.109879167+00:00,0
2026-08-23T11:20:22.110353792+00:00,1
2026-08-23T11:20:22.110754208+00:00,0
2026-08-23T11:20:22.111201125+00:00,1
2026-08-23T11:20:22.111599500+00:00,0
2026-08-23T11:20:22.112045333+00:00,1
2026-08-23T11:20:22.112445333+00:00,0
2026-08-23T11:20:22.112915167+00:00,1
2026-08-23T11:20:22.114136750+00:00,0
2026-08-23T11:20:22.114581792+00:00,1
2026-08-23T11:20:22.115801250+00:00,0
2026-08-23T11:20:22.116275667+00:00,1
2026-08-23T11:20:22.116673125+00:00,0
2026-08-23T11:20:22.117118917+00:00,1
2026-08-23T11:20:22.117519125+00:00,0
2026-08-23T11:20:22.117965583+00:00,1
2026-08-23T11:20:22.118338708+00:00,0
2026-08-23T11:20:22.118812458+00:00,1
2026-08-23T11:20:22.119211542+00:00,0
2026-08-23T11:20:22.119658333+00:00,1
2026-08-23T11:20:22.120027917+00:00,0
2026-08-23T11:20:22.120527250+00:00,1
2026-08-23T11:20:22.120876417+00:00,0
2026-08-23T11:20:22.121348875+00:00,1
2026-08-23T11:20:22.122564292+00:00,0
2026-08-23T11:20:22.123038750+00:00,1
2026-08-23T11:20:22.123439792+00:00,0
2026-08-23T11:20:22.123909500+00:00,1
2026-08-23T11:20:22.125099167+00:00,0
2026-08-23T11:20:22.125576292+00:00,1
2026-08-23T11:20:22.125977167+00:00,0
2026-08-23T11:20:22.126423958+00:00,1
2026-08-23T11:20:22.127638458+00:00,0
2026-08-23T11:20:22.128112750+00:00,1
2026-08-23T11:20:22.129357625+00:00,0
2026-08-23T11:20:22.129805625+00:00,1
2026-08-23T11:20:22.131020250+00:00,0
2026-08-23T11:20:22.131494667+00:00,1
2026-08-23T11:20:22.132711125+00:00,0
2026-08-23T11:20:22.133187667+00:00,1
2026-08-23T11:20:22.133558333+00:00,0
2026-08-23T11:20:22.134056167+00:00,1
2026-08-23T11:20:22.135248208+00:00,0
2026-08-23T11:20:22.135723042+00:00,1
2026-08-23T11:20:22.136093458+00:00,0
2026-08-23T11:20:22.136594042+00:00,1
2026-08-23T11:20:22.137785208+00:00,0
2026-08-23T11:20:22.138261333+00:00,1
2026-08-23T11:20:22.138632833+00:00,0
2026-08-23T11:20:22.139130000+00:00,1
2026-08-23T11:20:22.139505792+00:00,0
2026-08-23T11:20:22.139948750+00:00,1
2026-08-23T11:20:22.140323083+00:00,0
2026-08-23T11:20:22.140798708+00:00,1
2026-08-23T11:20:22.141169833+00:00,0
2026-08-23T11:20:22.141644167+00:00,1
2026-08-23T11:20:22.142051833+00:00,0
2026-08-23T11:20:22.142494417+00:00,1
2026-08-23T11:20:22.142860875+00:00,0
2026-08-23T11:20:22.143335083+00:00,1
2026-08-23T11:20:22.143706417+00:00,0
2026-08-23T11:20:22.144180750+00:00,1
2026-08-23T11:20:22.144580958+00:00,0
2026-08-23T11:20:22.145026167+00:00,1
2026-08-23T11:20:22.146242333+00:00,0
2026-08-23T11:20:22.146715792+00:00,1
2026-08-23T11:20:22.147934917+00:00,0
2026-08-23T11:20:22.148407250+00:00,1
2026-08-23T11:20:22.149653583+00:00,0
2026-08-23T11:20:22.150097542+00:00,1
2026-08-23T11:20:22.151315292+00:00,0
2026-08-23T11:20:22.151787458+00:00,1
2026-08-23T11:20:22.153035792+00:00,0
2026-08-23T11:20:22.153480083+00:00,1
2026-08-23T11:20:22.154726833+00:00,0
2026-08-23T11:20:22.155174958+00:00,1
2026-08-23T11:20:22.156418542+00:00,0
2026-08-23T11:20:22.156866792+00:00,1
2026-08-23T11:20:22.158080125+00:00,0
2026-08-23T11:20:22.158555083+00:00,1
2026-08-23T11:20:22.159774667+00:00,0
2026-08-23T11:20:22.160246000+00:00,1
2026-08-23T11:20:22.160646750+00:00,0
2026-08-23T11:20:22.161087250+00:00,1
2026-08-23T11:20:22.161493250+00:00,0
2026-08-23T11:20:22.161936125+00:00,1
2026-08-23T11:20:22.163154625+00:00,0
2026-08-23T11:20:22.163655333+00:00,1
2026-08-23T11:20:22.164003833+00:00,0
2026-08-23T11:20:22.164476375+00:00,1
2026-08-23T11:20:22.164847875+00:00,0
2026-08-23T11:20:22.165321667+00:00,1
2026-08-23T11:20:22.165691667+00:00,0
2026-08-23T11:20:22.166116792+00:00,1
2026-08-23T11:20:22.166569292+00:00,0
2026-08-23T11:20:22.167014292+00:00,1
2026-08-23T11:20:22.167413667+00:00,0
2026-08-23T11:20:22.167860917+00:00,1
2026-08-23T11:20:22.169104250+00:00,0
2026-08-23T11:20:22.169551583+00:00,1
2026-08-23T11:20:22.170795042+00:00,0
2026-08-23T11:20:22.171241750+00:00,1
2026-08-23T11:20:22.171613125+00:00,0
2026-08-23T11:20:22.172089375+00:00,1
2026-08-23T11:20:22.173304625+00:00,0
2026-08-23T11:20:22.173780458+00:00,1
