Time [s],Channel 0
2026-08-23T11:19:01.636049000+00:00,1
2026-08-23T11:19:02.510339125+00:00,0
2026-08-23T11:19:02.513753750+00:00,1
2026-08-23T11:19:02.515414375+00:00,0
2026-08-23T11:19:02.515887250+00:00,1
2026-08-23T11:19:02.517105208+00:00,0
2026-08-23T11:19:02.517600167+00:00,1
2026-08-23T11:19:02.517948917+00:00,0
2026-08-23T11:19:02.518425083+00:00,1
2026-08-23T11:19:02.518824125+00:00,0
2026-08-23T11:19:02.519270708+00:00,1
2026-08-23T11:19:02.519644208+00:00,0
2026-08-23T11:19:02.520114792+00:00,1
2026-08-23T11:19:02.520487542+00:00,0
2026-08-23T11:19:02.520960250+00:00,1
2026-08-23T11:19:02.521333083+00:00,0
2026-08-23T11:19:02.521807000+00:00,1
2026-08-23T11:19:02.522180667+00:00,0
2026-08-23T11:19:02.522655000+00:00,1
2026-08-23T11:19:02.523024708+00:00,0
2026-08-23T11:19:02.523523167+00:00,1
2026-08-23T11:19:02.523870458+00:00,0
2026-08-23T11:19:02.524343667+00:00,1
2026-08-23T11:19:02.524745250+00:00,0
2026-08-23T11:19:02.525190875+00:00,1
2026-08-23T11:19:02.525563792+00:00,0
2026-08-23T11:19:02.526032667+00:00,1
2026-08-23T11:19:02.526410708+00:00,0
2026-08-23T11:19:02.526879042+00:00,1
2026-08-23T11:19:02.528098125+00:00,0
2026-08-23T11:19:02.528598583+00:00,1
2026-08-23T11:19:02.528973833+00:00,0
2026-08-23T11:19:02.529419958+00:00,1
2026-08-23T11:19:02.529792167+00:00,0
2026-08-23T11:19:02.530267583+00:00,1
2026-08-23T11:19:02.530637750+00:00,0
2026-08-23T11:19:02.531134542+00:00,1
2026-08-23T11:19:02.531484500+00:00,0
2026-08-23T11:19:02.531957042+00:00,1
2026-08-23T11:19:02.532357208+00:00,0
2026-08-23T11:19:02.532801958+00:00,1
2026-08-23T11:19:02.533177333+00:00,0
2026-08-23T11:19:02.533645917+00:00,1
2026-08-23T11:19:02.534022917+00:00,0
2026-08-23T11:19:02.534496250+00:00,1
2026-08-23T11:19:02.535739083+00:00,0
2026-08-23T11:19:02.536185708+00:00,1
2026-08-23T11:19:02.537401500+00:00,0
2026-08-23T11:19:02.537900750+00:00,1
2026-08-23T11:19:02.538276417+00:00,0
2026-08-23T11:19:02.538722667+00:00,1
2026-08-23T11:19:02.539122833+00:00,0
2026-08-23T11:19:02.539567500+00:00,1
2026-08-23T11:19:02.539968292+00:00,0
2026-08-23T11:19:02.540414208+00:00,1
2026-08-23T11:19:02.540788542+00:00,0
2026-08-23T11:19:02.541283833+00:00,1
2026-08-23T11:19:02.541659833+00:00,0
2026-08-23T11:19:02.542105042+00:00,1
2026-08-23T11:19:02.542478667+00:00,0
2026-08-23T11:19:02.542949125+00:00,1
2026-08-23T11:19:02.544168458+00:00,0
2026-08-23T11:19:02.544643417+00:00,1
2026-08-23T11:19:02.545015875+00:00,0
2026-08-23T11:19:02.545488583+00:00,1
2026-08-23T11:19:02.546705875+00:00,0
2026-08-23T11:19:02.547180250+00:00,1
2026-08-23T11:19:02.547550500+00:00,0
2026-08-23T11:19:02.548024708+00:00,1
2026-08-23T11:19:02.549269542+00:00,0
2026-08-23T11:19:02.549739458+00:00,1
2026-08-23T11:19:02.550961042+00:00,0
2026-08-23T11:19:02.551407542+00:00,1
2026-08-23T11:19:02.552622917+00:00,0
2026-08-23T11:19:02.553098125+00:00,1
2026-08-23T11:19:02.554343333+00:00,0
2026-08-23T11:19:02.554788333+00:00,1
2026-08-23T11:19:02.555189042+00:00,0
2026-08-23T11:19:02.555635375+00:00,1
2026-08-23T11:19:02.556851917+00:00,0
2026-08-23T11:19:02.557328000+00:00,1
2026-08-23T11:19:02.557696042+00:00,0
2026-08-23T11:19:02.558194500+00:00,1
2026-08-23T11:19:02.559389417+00:00,0
2026-08-23T11:19:02.559861625+00:00,1
2026-08-23T11:19:02.560236667+00:00,0
2026-08-23T11:19:02.560710375+00:00,1
2026-08-23T11:19:02.561108917+00:00,0
2026-08-23T11:19:02.561555125+00:00,1
2026-08-23T11:19:02.561927000+00:00,0
2026-08-23T11:19:02.562400167+00:00,1
2026-08-23T11:19:02.562774208+00:00,0
2026-08-23T11:19:02.563245792+00:00,1
2026-08-23T11:19:02.563618792+00:00,0
2026-08-23T11:19:02.564116375+00:00,1
2026-08-23T11:19:02.564466208+00:00,0
2026-08-23T11:19:02.564937125+00:00,1
2026-08-23T11:19:02.565338458+00:00,0
2026-08-23T11:19:02.565731292+00:00,1
2026-08-23T11:19:02.566185625+00:00,0
2026-08-23T11:19:02.566627625+00:00,1
2026-08-23T11:19:02.567845167+00:00,0
2026-08-23T11:19:02.568321042+00:00,1
2026-08-23T11:19:02.569536958+00:00,0
2026-08-23T11:19:02.570010750+00:00,1
2026-08-23T11:19:02.571228375+00:00,0
2026-08-23T11:19:02.571700792+00:00,1
2026-08-23T11:19:02.572920625+00:00,0
2026-08-23T11:19:02.573419000+00:00,1
2026-08-23T11:19:02.574638000+00:00,0
2026-08-23T11:19:02.575083667+00:00,1
2026-08-23T11:19:02.576302250+00:00,0
2026-08-23T11:19:02.576774250+00:00,1
2026-08-23T11:19:02.577992750+00:00,0
2026-08-23T11:19:02.578469750+00:00,1
2026-08-23T11:19:02.579710542+00:00,0
2026-08-23T11:19:02.580157917+00:00,1
2026-08-23T11:19:02.581401375+00:00,0
2026-08-23T11:19:02.581848375+00:00,1
2026-08-23T11:19:02.582247583+00:00,0
2026-08-23T11:19:02.582717958+00:00,1
2026-08-23T11:19:02.583065083+00:00,0
2026-08-23T11:19:02.583564208+00:00,1
2026-08-23T11:19:02.583940458+00:00,0
2026-08-23T11:19:02.584385125+00:00,1
2026-08-23T11:19:02.584785542+00:00,0
2026-08-23T11:19:02.585231083+00:00,1
2026-08-23T11:19:02.585604500+00:00,0
2026-08-23T11:19:02.586074250+00:00,1
2026-08-23T11:19:02.586478417+00:00,0
2026-08-23T11:19:02.586923458+00:00,1
2026-08-23T11:19:02.587297500+00:00,0
2026-08-23T11:19:02.587768458+00:00,1
2026-08-23T11:19:02.588142167+00:00,0
2026-08-23T11:19:02.588612333+00:00,1
2026-08-23T11:19:02.589830667+00:00,0
2026-08-23T11:19:02.590307458+00:00,1
2026-08-23T11:19:02.591524750+00:00,0
2026-08-23T11:19:02.591996792+00:00,1
2026-08-23T11:19:02.593212833+00:00,0
2026-08-23T11:19:02.593687792+00:00,1
2026-08-23T11:19:02.594906250+00:00,0
2026-08-23T11:19:02.595380750+00:00,1
2026-08-23T11:19:02.596623792+00:00,0
2026-08-23T11:19:02.597094583+00:00,1
2026-08-23T11:19:02.598314500+00:00,0
2026-08-23T11:19:02.598755917+00:00,1
2026-08-23T11:19:02.599979792+00:00,0
2026-08-23T11:19:02.600454542+00:00,1
2026-08-23T11:19:02.600852708+00:00,0
2026-08-23T11:19:02.601297458+00:00,1
2026-08-23T11:19:02.601671417+00:00,0
2026-08-23T11:19:02.602139708+00:00,1
2026-08-23T11:19:02.603360000+00:00,0
2026-08-23T11:19:02.603834083+00:00,1
2026-08-23T11:19:02.604235083+00:00,0
2026-08-23T11:19:02.604705708+00:00,1
2026-08-23T11:19:02.605899333+00:00,0
2026-08-23T11:19:02.606372750+00:00,1
2026-08-23T11:19:02.607587375+00:00,0
2026-08-23T11:19:02.608063208+00:00,1
2026-08-23T11:19:02.609280750+00:00,0
2026-08-23T11:19:02.609778875+00:00,1
2026-08-23T11:19:02.610999083+00:00,0
2026-08-23T11:19:02.611446083+00:00,1
2026-08-23T11:19:02.612689792+00:00,0
2026-08-23T11:19:02.613162083+00:00,1
2026-08-23T11:19:02.614381375+00:00,0
2026-08-23T11:19:02.614827792+00:00,1
2026-08-23T11:19:02.615198417+00:00,0
2026-08-23T11:19:02.615673250+00:00,1
2026-08-23T11:19:02.616890417+00:00,0
2026-08-23T11:19:02.617365458+00:00,1
2026-08-23T11:19:02.617735250+00:00,0
2026-08-23T11:19:02.618208000+00:00,1
2026-08-23T11:19:02.618610125+00:00,0
2026-08-23T11:19:02.619057208+00:00,1
2026-08-23T11:19:02.619426917+00:00,0
2026-08-23T11:19:02.619926208+00:00,1
2026-08-23T11:19:02.620276417+00:00,0
2026-08-23T11:19:02.620745625+00:00,1
2026-08-23T11:19:02.660893208+00:00,0
2026-08-23T11:19:02.664279542+00:00,1
2026-08-23T11:19:02.665941333+00:00,0
2026-08-23T11:19:02.666412875+00:00,1
2026-08-23T11:19:02.667633583+00:00,0
2026-08-23T11:19:02.668131542+00:00,1
2026-08-23T11:19:02.668476208+00:00,0
2026-08-23T11:19:02.668949833+00:00,1
2026-08-23T11:19:02.669352250+00:00,0
2026-08-23T11:19:02.669796250+00:00,1
2026-08-23T11:19:02.670171125+00:00,0
2026-08-23T11:19:02.670643750+00:00,1
2026-08-23T11:19:02.671017042+00:00,0
2026-08-23T11:19:02.671489708+00:00,1
2026-08-23T11:19:02.671888750+00:00,0
2026-08-23T11:19:02.672333125+00:00,1
2026-08-23T11:19:02.672708542+00:00,0
2026-08-23T11:19:02.673179250+00:00,1
2026-08-23T11:19:02.673552208+00:00,0
2026-08-23T11:19:02.674024083+00:00,1
2026-08-23T11:19:02.674399792+00:00,0
2026-08-23T11:19:02.674870458+00:00,1
2026-08-23T11:19:02.675244375+00:00,0
2026-08-23T11:19:02.675719333+00:00,1
2026-08-23T11:19:02.676094833+00:00,0
2026-08-23T11:19:02.676566500+00:00,1
2026-08-23T11:19:02.676963792+00:00,0
2026-08-23T11:19:02.677408417+00:00,1
2026-08-23T11:19:02.678627333+00:00,0
2026-08-23T11:19:02.679100958+00:00,1
2026-08-23T11:19:02.679471833+00:00,0
2026-08-23T11:19:02.679943208+00:00,1
2026-08-23T11:19:02.680346417+00:00,0
2026-08-23T11:19:02.680790250+00:00,1
