Time [s],Channel 0
2026-08-23T11:19:11.355068000+00:00,1
2026-08-23T11:19:12.007953875+00:00,0
2026-08-23T11:19:12.011341042+00:00,1
2026-08-23T11:19:12.013002042+00:00,0
2026-08-23T11:19:12.013475667+00:00,1
2026-08-23T11:19:12.014720167+00:00,0
2026-08-23T11:19:12.015191250+00:00,1
2026-08-23T11:19:12.015537792+00:00,0
2026-08-23T11:19:12.016034500+00:00,1
2026-08-23T11:19:12.016411958+00:00,0
2026-08-23T11:19:12.016859625+00:00,1
2026-08-23T11:19:12.017258500+00:00,0
2026-08-23T11:19:12.017703292+00:00,1
2026-08-23T11:19:12.018104417+00:00,0
2026-08-23T11:19:12.018550042+00:00,1
2026-08-23T11:19:12.018949833+00:00,0
2026-08-23T11:19:12.019418333+00:00,1
2026-08-23T11:19:12.019795333+00:00,0
2026-08-23T11:19:12.020265667+00:00,1
2026-08-23T11:19:12.020615792+00:00,0
2026-08-23T11:19:12.021087583+00:00,1
2026-08-23T11:19:12.021468833+00:00,0
2026-08-23T11:19:12.021912750+00:00,1
2026-08-23T11:19:12.022304750+00:00,0
2026-08-23T11:19:12.022777625+00:00,1
2026-08-23T11:19:12.023178000+00:00,0
2026-08-23T11:19:12.023622583+00:00,1
2026-08-23T11:19:12.023995667+00:00,0
2026-08-23T11:19:12.024470833+00:00,1
2026-08-23T11:19:12.025687292+00:00,0
2026-08-23T11:19:12.026161083+00:00,1
2026-08-23T11:19:12.026535375+00:00,0
2026-08-23T11:19:12.027006792+00:00,1
2026-08-23T11:19:12.027377542+00:00,0
2026-08-23T11:19:12.027853083+00:00,1
2026-08-23T11:19:12.028253167+00:00,0
2026-08-23T11:19:12.028700625+00:00,1
2026-08-23T11:19:12.029070792+00:00,0
2026-08-23T11:19:12.029568917+00:00,1
2026-08-23T11:19:12.029917125+00:00,0
2026-08-23T11:19:12.030389417+00:00,1
2026-08-23T11:19:12.030763292+00:00,0
2026-08-23T11:19:12.031237167+00:00,1
2026-08-23T11:19:12.031636625+00:00,0
2026-08-23T11:19:12.032082125+00:00,1
2026-08-23T11:19:12.033299375+00:00,0
2026-08-23T11:19:12.033770542+00:00,1
2026-08-23T11:19:12.034988958+00:00,0
2026-08-23T11:19:12.035460583+00:00,1
2026-08-23T11:19:12.035836167+00:00,0
2026-08-23T11:19:12.036311167+00:00,1
2026-08-23T11:19:12.036681083+00:00,0
2026-08-23T11:19:12.037156333+00:00,1
2026-08-23T11:19:12.037529625+00:00,0
2026-08-23T11:19:12.038002500+00:00,1
2026-08-23T11:19:12.038372250+00:00,0
2026-08-23T11:19:12.038871208+00:00,1
2026-08-23T11:19:12.039219000+00:00,0
2026-08-23T11:19:12.039692208+00:00,1
2026-08-23T11:19:12.040063833+00:00,0
2026-08-23T11:19:12.040538167+00:00,1
2026-08-23T11:19:12.041752833+00:00,0
2026-08-23T11:19:12.042253042+00:00,1
2026-08-23T11:19:12.042600625+00:00,0
2026-08-23T11:19:12.043074958+00:00,1
2026-08-23T11:19:12.044290542+00:00,0
2026-08-23T11:19:12.044789667+00:00,1
2026-08-23T11:19:12.045136292+00:00,0
2026-08-23T11:19:12.045610542+00:00,1
2026-08-23T11:19:12.046828500+00:00,0
2026-08-23T11:19:12.047326417+00:00,1
2026-08-23T11:19:12.048546875+00:00,0
2026-08-23T11:19:12.048993792+00:00,1
2026-08-23T11:19:12.050209375+00:00,0
2026-08-23T11:19:12.050682917+00:00,1
2026-08-23T11:19:12.051901500+00:00,0
2026-08-23T11:19:12.052374750+00:00,1
2026-08-23T11:19:12.052774750+00:00,0
2026-08-23T11:19:12.053222875+00:00,1
2026-08-23T11:19:12.054436917+00:00,0
2026-08-23T11:19:12.054910500+00:00,1
2026-08-23T11:19:12.055311583+00:00,0
2026-08-23T11:19:12.055757875+00:00,1
2026-08-23T11:19:12.056975667+00:00,0
2026-08-23T11:19:12.057442500+00:00,1
2026-08-23T11:19:12.057848250+00:00,0
2026-08-23T11:19:12.058295875+00:00,1
2026-08-23T11:19:12.058694125+00:00,0
2026-08-23T11:19:12.059140500+00:00,1
2026-08-23T11:19:12.059512750+00:00,0
2026-08-23T11:19:12.059985708+00:00,1
2026-08-23T11:19:12.060386167+00:00,0
2026-08-23T11:19:12.060832000+00:00,1
2026-08-23T11:19:12.061204083+00:00,0
2026-08-23T11:19:12.061677708+00:00,1
2026-08-23T11:19:12.062050208+00:00,0
2026-08-23T11:19:12.062522625+00:00,1
2026-08-23T11:19:12.062896042+00:00,0
2026-08-23T11:19:12.063290958+00:00,1
2026-08-23T11:19:12.063769958+00:00,0
2026-08-23T11:19:12.064214542+00:00,1
2026-08-23T11:19:12.065431167+00:00,0
2026-08-23T11:19:12.065929708+00:00,1
2026-08-23T11:19:12.067124292+00:00,0
2026-08-23T11:19:12.067597750+00:00,1
2026-08-23T11:19:12.068814583+00:00,0
2026-08-23T11:19:12.069288208+00:00,1
2026-08-23T11:19:12.070532333+00:00,0
2026-08-23T11:19:12.071003750+00:00,1
2026-08-23T11:19:12.072223000+00:00,0
2026-08-23T11:19:12.072671292+00:00,1
2026-08-23T11:19:12.073886875+00:00,0
2026-08-23T11:19:12.074363167+00:00,1
2026-08-23T11:19:12.075577833+00:00,0
2026-08-23T11:19:12.076049042+00:00,1
2026-08-23T11:19:12.077266250+00:00,0
2026-08-23T11:19:12.077744375+00:00,1
2026-08-23T11:19:12.078960250+00:00,0
2026-08-23T11:19:12.079435458+00:00,1
2026-08-23T11:19:12.079806583+00:00,0
2026-08-23T11:19:12.080278375+00:00,1
2026-08-23T11:19:12.081499542+00:00,0
2026-08-23T11:19:12.081994875+00:00,1
2026-08-23T11:19:12.082370667+00:00,0
2026-08-23T11:19:12.082817417+00:00,1
2026-08-23T11:19:12.083216500+00:00,0
2026-08-23T11:19:12.083687125+00:00,1
2026-08-23T11:19:12.084062833+00:00,0
2026-08-23T11:19:12.084508708+00:00,1
2026-08-23T11:19:12.084908708+00:00,0
2026-08-23T11:19:12.085355125+00:00,1
2026-08-23T11:19:12.085754583+00:00,0
2026-08-23T11:19:12.086225708+00:00,1
2026-08-23T11:19:12.086600000+00:00,0
2026-08-23T11:19:12.087046208+00:00,1
2026-08-23T11:19:12.088263583+00:00,0
2026-08-23T11:19:12.088739542+00:00,1
2026-08-23T11:19:12.089108458+00:00,0
2026-08-23T11:19:12.089582292+00:00,1
2026-08-23T11:19:12.090798875+00:00,0
