Time [s],Channel 0
2026-08-23T11:21:09.919871000+00:00,1
2026-08-23T11:21:10.161701167+00:00,0
2026-08-23T11:21:10.165092042+00:00,1
2026-08-23T11:21:10.166747250+00:00,0
2026-08-23T11:21:10.167223958+00:00,1
2026-08-23T11:21:10.168467667+00:00,0
2026-08-23T11:21:10.168913917+00:00,1
2026-08-23T11:21:10.169285625+00:00,0
2026-08-23T11:21:10.169761000+00:00,1
2026-08-23T11:21:10.170158833+00:00,0
2026-08-23T11:21:10.170604000+00:00,1
2026-08-23T11:21:10.171005708+00:00,0
2026-08-23T11:21:10.171453708+00:00,1
2026-08-23T11:21:10.171822542+00:00,0
2026-08-23T11:21:10.172295958+00:00,1
2026-08-23T11:21:10.172696750+00:00,0
2026-08-23T11:21:10.173141708+00:00,1
2026-08-23T11:21:10.173514958+00:00,0
2026-08-23T11:21:10.173988417+00:00,1
2026-08-23T11:21:10.174388125+00:00,0
2026-08-23T11:21:10.174833708+00:00,1
2026-08-23T11:21:10.175234125+00:00,0
2026-08-23T11:21:10.175703125+00:00,1
2026-08-23T11:21:10.176051333+00:00,0
2026-08-23T11:21:10.176524792+00:00,1
2026-08-23T11:21:10.176925792+00:00,0
2026-08-23T11:21:10.177371750+00:00,1
2026-08-23T11:21:10.177771208+00:00,0
2026-08-23T11:21:10.178217792+00:00,1
2026-08-23T11:21:10.179461625+00:00,0
2026-08-23T11:21:10.179933500+00:00,1
2026-08-23T11:21:10.180278583+00:00,0
2026-08-23T11:21:10.180751083+00:00,1
2026-08-23T11:21:10.181126583+00:00,0
2026-08-23T11:21:10.181600375+00:00,1
2026-08-23T11:21:10.181999083+00:00,0
2026-08-23T11:21:10.182444958+00:00,1
2026-08-23T11:21:10.182818958+00:00,0
2026-08-23T11:21:10.183291542+00:00,1
2026-08-23T11:21:10.183690750+00:00,0
2026-08-23T11:21:10.184162000+00:00,1
2026-08-23T11:21:10.184508208+00:00,0
2026-08-23T11:21:10.184981417+00:00,1
2026-08-23T11:21:10.185382792+00:00,0
2026-08-23T11:21:10.185827458+00:00,1
2026-08-23T11:21:10.187044375+00:00,0
2026-08-23T11:21:10.187520792+00:00,1
2026-08-23T11:21:10.188763500+00:00,0
2026-08-23T11:21:10.189209000+00:00,1
2026-08-23T11:21:10.189609167+00:00,0
2026-08-23T11:21:10.190080875+00:00,1
2026-08-23T11:21:10.190426083+00:00,0
2026-08-23T11:21:10.190900917+00:00,1
2026-08-23T11:21:10.191300708+00:00,0
2026-08-23T11:21:10.191748375+00:00,1
2026-08-23T11:21:10.192147250+00:00,0
2026-08-23T11:21:10.192595000+00:00,1
2026-08-23T11:21:10.192992667+00:00,0
2026-08-23T11:21:10.193437333+00:00,1
2026-08-23T11:21:10.193838333+00:00,0
2026-08-23T11:21:10.194281792+00:00,1
2026-08-23T11:21:10.195528833+00:00,0
2026-08-23T11:21:10.195974667+00:00,1
2026-08-23T11:21:10.196375292+00:00,0
2026-08-23T11:21:10.196820458+00:00,1
2026-08-23T11:21:10.198036542+00:00,0
2026-08-23T11:21:10.198509750+00:00,1
2026-08-23T11:21:10.198884583+00:00,0
2026-08-23T11:21:10.199382667+00:00,1
2026-08-23T11:21:10.200602917+00:00,0
2026-08-23T11:21:10.201050125+00:00,1
2026-08-23T11:21:10.202294208+00:00,0
2026-08-23T11:21:10.202740708+00:00,1
2026-08-23T11:21:10.203984917+00:00,0
2026-08-23T11:21:10.204432125+00:00,1
2026-08-23T11:21:10.205648125+00:00,0
2026-08-23T11:21:10.206123000+00:00,1
2026-08-23T11:21:10.206522208+00:00,0
2026-08-23T11:21:10.206968375+00:00,1
2026-08-23T11:21:10.208185458+00:00,0
2026-08-23T11:21:10.208661625+00:00,1
2026-08-23T11:21:10.209059292+00:00,0
2026-08-23T11:21:10.209531083+00:00,1
2026-08-23T11:21:10.210749750+00:00,0
2026-08-23T11:21:10.211218958+00:00,1
2026-08-23T11:21:10.211595250+00:00,0
2026-08-23T11:21:10.212064292+00:00,1
2026-08-23T11:21:10.212441833+00:00,0
2026-08-23T11:21:10.212887167+00:00,1
2026-08-23T11:21:10.213287500+00:00,0
2026-08-23T11:21:10.213734208+00:00,1
2026-08-23T11:21:10.214132917+00:00,0
2026-08-23T11:21:10.214603792+00:00,1
2026-08-23T11:21:10.214949875+00:00,0
2026-08-23T11:21:10.215426583+00:00,1
2026-08-23T11:21:10.215797333+00:00,0
2026-08-23T11:21:10.216271083+00:00,1
2026-08-23T11:21:10.216670000+00:00,0
2026-08-23T11:21:10.217117625+00:00,1
2026-08-23T11:21:10.217515875+00:00,0
2026-08-23T11:21:10.217962333+00:00,1
2026-08-23T11:21:10.219206250+00:00,0
2026-08-23T11:21:10.219649542+00:00,1
2026-08-23T11:21:10.220867917+00:00,0
2026-08-23T11:21:10.221342667+00:00,1
2026-08-23T11:21:10.222588333+00:00,0
2026-08-23T11:21:10.223059375+00:00,1
2026-08-23T11:21:10.224279000+00:00,0
2026-08-23T11:21:10.224724333+00:00,1
2026-08-23T11:21:10.225970083+00:00,0
2026-08-23T11:21:10.226416708+00:00,1
2026-08-23T11:21:10.227631625+00:00,0
2026-08-23T11:21:10.228131375+00:00,1
2026-08-23T11:21:10.229324292+00:00,0
2026-08-23T11:21:10.229798667+00:00,1
2026-08-23T11:21:10.231043125+00:00,0
2026-08-23T11:21:10.231491833+00:00,1
2026-08-23T11:21:10.232734542+00:00,0
2026-08-23T11:21:10.233179625+00:00,1
2026-08-23T11:21:10.234425417+00:00,0
2026-08-23T11:21:10.234870083+00:00,1
2026-08-23T11:21:10.236086583+00:00,0
2026-08-23T11:21:10.236561958+00:00,1
2026-08-23T11:21:10.237807375+00:00,0
2026-08-23T11:21:10.238254583+00:00,1
2026-08-23T11:21:10.238624750+00:00,0
2026-08-23T11:21:10.239098875+00:00,1
2026-08-23T11:21:10.239499833+00:00,0
2026-08-23T11:21:10.239947250+00:00,1
2026-08-23T11:21:10.240318042+00:00,0
2026-08-23T11:21:10.240794000+00:00,1
2026-08-23T11:21:10.241191625+00:00,0
2026-08-23T11:21:10.241640250+00:00,1
2026-08-23T11:21:10.242010042+00:00,0
2026-08-23T11:21:10.242484042+00:00,1
2026-08-23T11:21:10.242857542+00:00,0
2026-08-23T11:21:10.243326625+00:00,1
2026-08-23T11:21:10.243728750+00:00,0
2026-08-23T11:21:10.244175917+00:00,1
2026-08-23T11:21:10.244545292+00:00,0
2026-08-23T11:21:10.245018833+00:00,1
2026-08-23T11:21:10.246236500+00:00,0
2026-08-23T11:21:10.246710792+00:00,1
2026-08-23T11:21:10.247956417+00:00,0
2026-08-23T11:21:10.248402375+00:00,1
2026-08-23T11:21:10.249647792+00:00,0
2026-08-23T11:21:10.250095333+00:00,1
2026-08-23T11:21:10.251340208+00:00,0
2026-08-23T11:21:10.251785833+00:00,1
2026-08-23T11:21:10.252184167+00:00,0
2026-08-23T11:21:10.252631417+00:00,1
2026-08-23T11:21:10.253030833+00:00,0
2026-08-23T11:21:10.253501667+00:00,1
