Time [s],Channel 0
2025-04-15T00:21:32.606455000+00:00,1
2025-04-15T00:21:33.442728167+00:00,0
2025-04-15T00:21:33.451663125+00:00,1
2025-04-15T00:21:33.456201875+00:00,0
2025-04-15T00:21:33.456731000+00:00,1
2025-04-15T00:21:33.457332792+00:00,0
2025-04-15T00:21:33.457860417+00:00,1
2025-04-15T00:21:33.459588583+00:00,0
2025-04-15T00:21:33.460116417+00:00,1
2025-04-15T00:21:33.460717875+00:00,0
2025-04-15T00:21:33.461245875+00:00,1
2025-04-15T00:21:33.461848917+00:00,0
2025-04-15T00:21:33.462375208+00:00,1
2025-04-15T00:21:33.462975958+00:00,0
2025-04-15T00:21:33.463504667+00:00,1
2025-04-15T00:21:33.464104792+00:00,0
2025-04-15T00:21:33.464634042+00:00,1
2025-04-15T00:21:33.465234292+00:00,0
2025-04-15T00:21:33.465763583+00:00,1
2025-04-15T00:21:33.467491250+00:00,0
2025-04-15T00:21:33.468019708+00:00,1
2025-04-15T00:21:33.469746750+00:00,0
2025-04-15T00:21:33.470275583+00:00,1
2025-04-15T00:21:33.470875458+00:00,0
2025-04-15T00:21:33.471404833+00:00,1
2025-04-15T00:21:33.473132042+00:00,0
2025-04-15T00:21:33.473660625+00:00,1
2025-04-15T00:21:33.475387333+00:00,0
2025-04-15T00:21:33.475916417+00:00,1
2025-04-15T00:21:33.476517250+00:00,0
2025-04-15T00:21:33.477045625+00:00,1
2025-04-15T00:21:33.478771458+00:00,0
2025-04-15T00:21:33.479301792+00:00,1
2025-04-15T00:21:33.481027958+00:00,0
2025-04-15T00:21:33.481558000+00:00,1
2025-04-15T00:21:33.482160292+00:00,0
2025-04-15T00:21:33.482687542+00:00,1
2025-04-15T00:21:33.484414417+00:00,0
2025-04-15T00:21:33.484943333+00:00,1
2025-04-15T00:21:33.486670042+00:00,0
2025-04-15T00:21:33.487199125+00:00,1
2025-04-15T00:21:33.487798667+00:00,0
2025-04-15T00:21:33.488328583+00:00,1
2025-04-15T00:21:33.490055583+00:00,0
2025-04-15T00:21:33.490584625+00:00,1
2025-04-15T00:21:33.492311000+00:00,0
2025-04-15T00:21:33.492840083+00:00,1
2025-04-15T00:21:33.494567792+00:00,0
2025-04-15T00:21:33.495095708+00:00,1
2025-04-15T00:21:33.495695917+00:00,0
2025-04-15T00:21:33.496225000+00:00,1
2025-04-15T00:21:33.497951833+00:00,0
2025-04-15T00:21:33.498480583+00:00,1
2025-04-15T00:21:33.499080625+00:00,0
2025-04-15T00:21:33.499609875+00:00,1
2025-04-15T00:21:33.500209250+00:00,0
2025-04-15T00:21:33.500739042+00:00,1
2025-04-15T00:21:33.502466667+00:00,0
2025-04-15T00:21:33.502994250+00:00,1
2025-04-15T00:21:33.503593417+00:00,0
2025-04-15T00:21:33.504123375+00:00,1
2025-04-15T00:21:33.504724667+00:00,0
2025-04-15T00:21:33.505252417+00:00,1
2025-04-15T00:21:33.505852958+00:00,0
2025-04-15T00:21:33.506381500+00:00,1
2025-04-15T00:21:33.508107583+00:00,0
2025-04-15T00:21:33.508636750+00:00,1
2025-04-15T00:21:33.509237292+00:00,0
2025-04-15T00:21:33.509765708+00:00,1
2025-04-15T00:21:33.550742000+00:00,0
2025-04-15T00:21:33.559678250+00:00,1
2025-04-15T00:21:33.561972500+00:00,0
2025-04-15T00:21:33.562502333+00:00,1
2025-04-15T00:21:33.658804333+00:00,0
2025-04-15T00:21:33.667738375+00:00,1
2025-04-15T00:21:33.670033167+00:00,0
2025-04-15T00:21:33.670562417+00:00,1
2025-04-15T00:21:33.766855250+00:00,0
2025-04-15T00:21:33.775791292+00:00,1
2025-04-15T00:21:33.778086458+00:00,0
2025-04-15T00:21:33.778614417+00:00,1
2025-04-15T00:21:33.874894083+00:00,0
2025-04-15T00:21:33.883826917+00:00,1
2025-04-15T00:21:33.886120250+00:00,0
2025-04-15T00:21:33.886649792+00:00,1
2025-04-15T00:21:33.982920667+00:00,0
2025-04-15T00:21:33.991869500+00:00,1
2025-04-15T00:21:33.994163917+00:00,0
2025-04-15T00:21:33.994692792+00:00,1
2025-04-15T00:21:34.090985708+00:00,0
2025-04-15T00:21:34.099919917+00:00,1
2025-04-15T00:21:34.102215583+00:00,0
2025-04-15T00:21:34.102743333+00:00,1
2025-04-15T00:21:34.199039292+00:00,0
2025-04-15T00:21:34.207976875+00:00,1
2025-04-15T00:21:34.210271625+00:00,0
2025-04-15T00:21:34.210800583+00:00,1
2025-04-15T00:21:34.307099208+00:00,0
2025-04-15T00:21:34.316032125+00:00,1
2025-04-15T00:21:34.318326917+00:00,0
2025-04-15T00:21:34.318855792+00:00,1
2025-04-15T00:21:34.569121667+00:00,1
