Time [s],Channel 0
2025-04-15T00:21:50.791901000+00:00,1
2025-04-15T00:21:50.840939042+00:00,0
2025-04-15T00:21:50.849902583+00:00,1
2025-04-15T00:21:50.854419750+00:00,0
2025-04-15T00:21:50.855052875+00:00,1
2025-04-15T00:21:50.855548875+00:00,0
2025-04-15T00:21:50.856183583+00:00,1
2025-04-15T00:21:50.857806667+00:00,0
2025-04-15T00:21:50.858441292+00:00,1
2025-04-15T00:21:50.858937458+00:00,0
2025-04-15T00:21:50.859569542+00:00,1
2025-04-15T00:21:50.860065375+00:00,0
2025-04-15T00:21:50.860698125+00:00,1
2025-04-15T00:21:50.861194000+00:00,0
2025-04-15T00:21:50.861830250+00:00,1
2025-04-15T00:21:50.862325125+00:00,0
2025-04-15T00:21:50.862960375+00:00,1
2025-04-15T00:21:50.863451292+00:00,0
2025-04-15T00:21:50.864089667+00:00,1
2025-04-15T00:21:50.865709667+00:00,0
2025-04-15T00:21:50.866344750+00:00,1
2025-04-15T00:21:50.867970417+00:00,0
2025-04-15T00:21:50.868601375+00:00,1
2025-04-15T00:21:50.869096750+00:00,0
2025-04-15T00:21:50.869731042+00:00,1
2025-04-15T00:21:50.871352500+00:00,0
2025-04-15T00:21:50.871987292+00:00,1
2025-04-15T00:21:50.873608083+00:00,0
2025-04-15T00:21:50.874240875+00:00,1
2025-04-15T00:21:50.874736167+00:00,0
2025-04-15T00:21:50.875371708+00:00,1
2025-04-15T00:21:50.876996833+00:00,0
2025-04-15T00:21:50.877625917+00:00,1
2025-04-15T00:21:50.879249958+00:00,0
2025-04-15T00:21:50.879880083+00:00,1
2025-04-15T00:21:50.880380958+00:00,0
2025-04-15T00:21:50.881014375+00:00,1
2025-04-15T00:21:50.881510417+00:00,0
2025-04-15T00:21:50.882144375+00:00,1
2025-04-15T00:21:50.883768792+00:00,0
2025-04-15T00:21:50.884399917+00:00,1
2025-04-15T00:21:50.884896583+00:00,0
2025-04-15T00:21:50.885528042+00:00,1
2025-04-15T00:21:50.887153792+00:00,0
2025-04-15T00:21:50.887708083+00:00,1
2025-04-15T00:21:50.889409583+00:00,0
2025-04-15T00:21:50.889964458+00:00,1
2025-04-15T00:21:50.891667583+00:00,0
2025-04-15T00:21:50.892220458+00:00,1
2025-04-15T00:21:50.892794542+00:00,0
2025-04-15T00:21:50.893349917+00:00,1
2025-04-15T00:21:50.895051042+00:00,0
2025-04-15T00:21:50.895606417+00:00,1
2025-04-15T00:21:50.897306708+00:00,0
2025-04-15T00:21:50.897862875+00:00,1
2025-04-15T00:21:50.898437000+00:00,0
2025-04-15T00:21:50.898992542+00:00,1
2025-04-15T00:21:50.900696000+00:00,0
2025-04-15T00:21:50.901249250+00:00,1
2025-04-15T00:21:50.901824292+00:00,0
2025-04-15T00:21:50.902378917+00:00,1
2025-04-15T00:21:50.902955167+00:00,0
2025-04-15T00:21:50.903508583+00:00,1
2025-04-15T00:21:50.904083958+00:00,0
2025-04-15T00:21:50.904638333+00:00,1
2025-04-15T00:21:50.906340292+00:00,0
2025-04-15T00:21:50.906894833+00:00,1
2025-04-15T00:21:50.907468583+00:00,0
2025-04-15T00:21:50.908024208+00:00,1
2025-04-15T00:21:50.948980875+00:00,0
2025-04-15T00:21:50.957945333+00:00,1
2025-04-15T00:21:50.960214083+00:00,0
2025-04-15T00:21:50.960769792+00:00,1
2025-04-15T00:21:51.057066708+00:00,0
2025-04-15T00:21:51.066107333+00:00,1
2025-04-15T00:21:51.068299958+00:00,0
2025-04-15T00:21:51.068854625+00:00,1
2025-04-15T00:21:51.165180208+00:00,0
2025-04-15T00:21:51.174115208+00:00,1
2025-04-15T00:21:51.176385625+00:00,0
2025-04-15T00:21:51.176939500+00:00,1
2025-04-15T00:21:51.273239333+00:00,0
2025-04-15T00:21:51.282201000+00:00,1
2025-04-15T00:21:51.284469417+00:00,0
2025-04-15T00:21:51.285025167+00:00,1
2025-04-15T00:21:51.381317417+00:00,0
2025-04-15T00:21:51.390283250+00:00,1
2025-04-15T00:21:51.392552458+00:00,0
2025-04-15T00:21:51.393188167+00:00,1
2025-04-15T00:21:51.489403708+00:00,0
2025-04-15T00:21:51.498368333+00:00,1
2025-04-15T00:21:51.500637583+00:00,0
2025-04-15T00:21:51.501272542+00:00,1
2025-04-15T00:21:51.597484875+00:00,0
2025-04-15T00:21:51.606528458+00:00,1
2025-04-15T00:21:51.608720417+00:00,0
2025-04-15T00:21:51.609358333+00:00,1
2025-04-15T00:21:51.730567667+00:00,1
