Time [s],Channel 0
2025-04-15T00:17:07.745834000+00:00,1
2025-04-15T00:17:08.010579833+00:00,0
2025-04-15T00:17:08.019540292+00:00,1
2025-04-15T00:17:08.024081333+00:00,0
2025-04-15T00:17:08.024610083+00:00,1
2025-04-15T00:17:08.025211708+00:00,0
2025-04-15T00:17:08.025740167+00:00,1
2025-04-15T00:17:08.027468250+00:00,0
2025-04-15T00:17:08.027997458+00:00,1
2025-04-15T00:17:08.028598125+00:00,0
2025-04-15T00:17:08.029127333+00:00,1
2025-04-15T00:17:08.029729375+00:00,0
2025-04-15T00:17:08.030257167+00:00,1
2025-04-15T00:17:08.030858917+00:00,0
2025-04-15T00:17:08.031386958+00:00,1
2025-04-15T00:17:08.031987833+00:00,0
2025-04-15T00:17:08.032516792+00:00,1
2025-04-15T00:17:08.033117500+00:00,0
2025-04-15T00:17:08.033646667+00:00,1
2025-04-15T00:17:08.035374792+00:00,0
2025-04-15T00:17:08.035903500+00:00,1
2025-04-15T00:17:08.037631208+00:00,0
2025-04-15T00:17:08.038160417+00:00,1
2025-04-15T00:17:08.038761125+00:00,0
2025-04-15T00:17:08.039290167+00:00,1
2025-04-15T00:17:08.041018333+00:00,0
2025-04-15T00:17:08.041547083+00:00,1
2025-04-15T00:17:08.043274375+00:00,0
2025-04-15T00:17:08.043804000+00:00,1
2025-04-15T00:17:08.044405708+00:00,0
2025-04-15T00:17:08.044933833+00:00,1
2025-04-15T00:17:08.046662583+00:00,0
2025-04-15T00:17:08.047190875+00:00,1
2025-04-15T00:17:08.048918917+00:00,0
2025-04-15T00:17:08.049447667+00:00,1
2025-04-15T00:17:08.050049750+00:00,0
2025-04-15T00:17:08.050577667+00:00,1
2025-04-15T00:17:08.052305167+00:00,0
2025-04-15T00:17:08.052834750+00:00,1
2025-04-15T00:17:08.054564583+00:00,0
2025-04-15T00:17:08.055091667+00:00,1
2025-04-15T00:17:08.055692208+00:00,0
2025-04-15T00:17:08.056221583+00:00,1
2025-04-15T00:17:08.057948417+00:00,0
2025-04-15T00:17:08.058478458+00:00,1
2025-04-15T00:17:08.059078833+00:00,0
2025-04-15T00:17:08.059608125+00:00,1
2025-04-15T00:17:08.061336375+00:00,0
2025-04-15T00:17:08.061864500+00:00,1
2025-04-15T00:17:08.062464708+00:00,0
2025-04-15T00:17:08.062994458+00:00,1
2025-04-15T00:17:08.064721917+00:00,0
2025-04-15T00:17:08.065250833+00:00,1
2025-04-15T00:17:08.065851375+00:00,0
2025-04-15T00:17:08.066380583+00:00,1
2025-04-15T00:17:08.066980167+00:00,0
2025-04-15T00:17:08.067510083+00:00,1
2025-04-15T00:17:08.069237292+00:00,0
2025-04-15T00:17:08.069766417+00:00,1
2025-04-15T00:17:08.070367083+00:00,0
2025-04-15T00:17:08.070896375+00:00,1
2025-04-15T00:17:08.072624750+00:00,0
2025-04-15T00:17:08.073153000+00:00,1
2025-04-15T00:17:08.073753417+00:00,0
2025-04-15T00:17:08.074283167+00:00,1
2025-04-15T00:17:08.076010500+00:00,0
2025-04-15T00:17:08.076540375+00:00,1
2025-04-15T00:17:08.077141917+00:00,0
2025-04-15T00:17:08.077669958+00:00,1
2025-04-15T00:17:08.118663417+00:00,0
2025-04-15T00:17:08.127603542+00:00,1
2025-04-15T00:17:08.129899583+00:00,0
2025-04-15T00:17:08.130428125+00:00,1
2025-04-15T00:17:08.226764125+00:00,0
2025-04-15T00:17:08.235703500+00:00,1
2025-04-15T00:17:08.237997833+00:00,0
2025-04-15T00:17:08.238528083+00:00,1
2025-04-15T00:17:08.334858042+00:00,0
2025-04-15T00:17:08.343797250+00:00,1
2025-04-15T00:17:08.346093458+00:00,0
2025-04-15T00:17:08.346621875+00:00,1
2025-04-15T00:17:08.442955083+00:00,0
2025-04-15T00:17:08.451894208+00:00,1
2025-04-15T00:17:08.454188958+00:00,0
2025-04-15T00:17:08.454718708+00:00,1
2025-04-15T00:17:08.551055125+00:00,0
2025-04-15T00:17:08.559995167+00:00,1
2025-04-15T00:17:08.562290958+00:00,0
2025-04-15T00:17:08.562819917+00:00,1
2025-04-15T00:17:08.961834000+00:00,1
