Time [s],Channel 0
2025-04-15T00:22:45.468392000+00:00,1
2025-04-15T00:22:46.020525500+00:00,0
2025-04-15T00:22:46.029491833+00:00,1
2025-04-15T00:22:46.034005333+00:00,0
2025-04-15T00:22:46.034643667+00:00,1
2025-04-15T00:22:46.035136917+00:00,0
2025-04-15T00:22:46.035771750+00:00,1
2025-04-15T00:22:46.037390833+00:00,0
2025-04-15T00:22:46.038027292+00:00,1
2025-04-15T00:22:46.038552792+00:00,0
2025-04-15T00:22:46.039158542+00:00,1
2025-04-15T00:22:46.039649625+00:00,0
2025-04-15T00:22:46.040288708+00:00,1
2025-04-15T00:22:46.040811792+00:00,0
2025-04-15T00:22:46.041416167+00:00,1
2025-04-15T00:22:46.041941625+00:00,0
2025-04-15T00:22:46.042546667+00:00,1
2025-04-15T00:22:46.043042542+00:00,0
2025-04-15T00:22:46.043597125+00:00,1
2025-04-15T00:22:46.045296083+00:00,0
2025-04-15T00:22:46.045934625+00:00,1
2025-04-15T00:22:46.047585125+00:00,0
2025-04-15T00:22:46.048191125+00:00,1
2025-04-15T00:22:46.048682750+00:00,0
2025-04-15T00:22:46.049321750+00:00,1
2025-04-15T00:22:46.050939917+00:00,0
2025-04-15T00:22:46.051497125+00:00,1
2025-04-15T00:22:46.053197625+00:00,0
2025-04-15T00:22:46.053832750+00:00,1
2025-04-15T00:22:46.054358375+00:00,0
2025-04-15T00:22:46.054964875+00:00,1
2025-04-15T00:22:46.056584250+00:00,0
2025-04-15T00:22:46.057220792+00:00,1
2025-04-15T00:22:46.058839333+00:00,0
2025-04-15T00:22:46.059474125+00:00,1
2025-04-15T00:22:46.059968542+00:00,0
2025-04-15T00:22:46.060608708+00:00,1
2025-04-15T00:22:46.062257542+00:00,0
2025-04-15T00:22:46.062863625+00:00,1
2025-04-15T00:22:46.063357625+00:00,0
2025-04-15T00:22:46.063993750+00:00,1
2025-04-15T00:22:46.064517125+00:00,0
2025-04-15T00:22:46.065042750+00:00,1
2025-04-15T00:22:46.065615208+00:00,0
2025-04-15T00:22:46.066253458+00:00,1
2025-04-15T00:22:46.067872250+00:00,0
2025-04-15T00:22:46.068429458+00:00,1
2025-04-15T00:22:46.070129208+00:00,0
2025-04-15T00:22:46.070767583+00:00,1
2025-04-15T00:22:46.072417250+00:00,0
2025-04-15T00:22:46.073025333+00:00,1
2025-04-15T00:22:46.073513500+00:00,0
2025-04-15T00:22:46.074152042+00:00,1
2025-04-15T00:22:46.075771958+00:00,0
2025-04-15T00:22:46.076406667+00:00,1
2025-04-15T00:22:46.076904833+00:00,0
2025-04-15T00:22:46.077458125+00:00,1
2025-04-15T00:22:46.078062875+00:00,0
2025-04-15T00:22:46.078587875+00:00,1
2025-04-15T00:22:46.080288708+00:00,0
2025-04-15T00:22:46.080923958+00:00,1
2025-04-15T00:22:46.082543250+00:00,0
2025-04-15T00:22:46.083100333+00:00,1
2025-04-15T00:22:46.083672917+00:00,0
2025-04-15T00:22:46.084229875+00:00,1
2025-04-15T00:22:46.084805333+00:00,0
2025-04-15T00:22:46.085433792+00:00,1
2025-04-15T00:22:46.085929875+00:00,0
2025-04-15T00:22:46.086565625+00:00,1
2025-04-15T00:22:46.128579917+00:00,0
2025-04-15T00:22:46.137546625+00:00,1
2025-04-15T00:22:46.139814458+00:00,0
2025-04-15T00:22:46.140447083+00:00,1
2025-04-15T00:22:46.236680958+00:00,0
2025-04-15T00:22:46.245647708+00:00,1
2025-04-15T00:22:46.247945958+00:00,0
2025-04-15T00:22:46.248471667+00:00,1
2025-04-15T00:22:46.344763750+00:00,0
2025-04-15T00:22:46.353733333+00:00,1
2025-04-15T00:22:46.355999292+00:00,0
2025-04-15T00:22:46.356637958+00:00,1
2025-04-15T00:22:46.452860083+00:00,0
2025-04-15T00:22:46.461901417+00:00,1
2025-04-15T00:22:46.464123625+00:00,0
2025-04-15T00:22:46.464730000+00:00,1
2025-04-15T00:22:46.560969083+00:00,0
2025-04-15T00:22:46.569901667+00:00,1
2025-04-15T00:22:46.572168333+00:00,0
2025-04-15T00:22:46.572805542+00:00,1
2025-04-15T00:22:46.669002625+00:00,0
2025-04-15T00:22:46.678046417+00:00,1
2025-04-15T00:22:46.680237375+00:00,0
2025-04-15T00:22:46.680869167+00:00,1
2025-04-15T00:22:46.876392000+00:00,1
