Time [s],Channel 0
2025-04-15T00:25:59.159034000+00:00,1
2025-04-15T00:25:59.364806958+00:00,0
2025-04-15T00:25:59.373745625+00:00,1
2025-04-15T00:25:59.378284917+00:00,0
2025-04-15T00:25:59.378815042+00:00,1
2025-04-15T00:25:59.379414833+00:00,0
2025-04-15T00:25:59.379944500+00:00,1
2025-04-15T00:25:59.381672583+00:00,0
2025-04-15T00:25:59.382200792+00:00,1
2025-04-15T00:25:59.382802375+00:00,0
2025-04-15T00:25:59.383330667+00:00,1
2025-04-15T00:25:59.383931250+00:00,0
2025-04-15T00:25:59.384460250+00:00,1
2025-04-15T00:25:59.385060875+00:00,0
2025-04-15T00:25:59.385590042+00:00,1
2025-04-15T00:25:59.386190333+00:00,0
2025-04-15T00:25:59.386719542+00:00,1
2025-04-15T00:25:59.387319333+00:00,0
2025-04-15T00:25:59.387849417+00:00,1
2025-04-15T00:25:59.389577042+00:00,0
2025-04-15T00:25:59.390106208+00:00,1
2025-04-15T00:25:59.391834208+00:00,0
2025-04-15T00:25:59.392362917+00:00,1
2025-04-15T00:25:59.392964667+00:00,0
2025-04-15T00:25:59.393492667+00:00,1
2025-04-15T00:25:59.395219875+00:00,0
2025-04-15T00:25:59.395749500+00:00,1
2025-04-15T00:25:59.397476292+00:00,0
2025-04-15T00:25:59.398006083+00:00,1
2025-04-15T00:25:59.398606875+00:00,0
2025-04-15T00:25:59.399135875+00:00,1
2025-04-15T00:25:59.400862792+00:00,0
2025-04-15T00:25:59.401392250+00:00,1
2025-04-15T00:25:59.403119333+00:00,0
2025-04-15T00:25:59.403648708+00:00,1
2025-04-15T00:25:59.404249000+00:00,0
2025-04-15T00:25:59.404778000+00:00,1
2025-04-15T00:25:59.405380125+00:00,0
2025-04-15T00:25:59.405907917+00:00,1
2025-04-15T00:25:59.407635333+00:00,0
2025-04-15T00:25:59.408164375+00:00,1
2025-04-15T00:25:59.409891208+00:00,0
2025-04-15T00:25:59.410421083+00:00,1
2025-04-15T00:25:59.411021333+00:00,0
2025-04-15T00:25:59.411550750+00:00,1
2025-04-15T00:25:59.412150667+00:00,0
2025-04-15T00:25:59.412680708+00:00,1
2025-04-15T00:25:59.414408000+00:00,0
2025-04-15T00:25:59.414937125+00:00,1
2025-04-15T00:25:59.415536917+00:00,0
2025-04-15T00:25:59.416066875+00:00,1
2025-04-15T00:25:59.416665917+00:00,0
2025-04-15T00:25:59.417196208+00:00,1
2025-04-15T00:25:59.418923958+00:00,0
2025-04-15T00:25:59.419452542+00:00,1
2025-04-15T00:25:59.420052417+00:00,0
2025-04-15T00:25:59.420582125+00:00,1
2025-04-15T00:25:59.421181292+00:00,0
2025-04-15T00:25:59.421711708+00:00,1
2025-04-15T00:25:59.423437625+00:00,0
2025-04-15T00:25:59.423967958+00:00,1
2025-04-15T00:25:59.425694667+00:00,0
2025-04-15T00:25:59.426223792+00:00,1
2025-04-15T00:25:59.426823458+00:00,0
2025-04-15T00:25:59.427353417+00:00,1
2025-04-15T00:25:59.429079500+00:00,0
2025-04-15T00:25:59.429609417+00:00,1
2025-04-15T00:25:59.431336875+00:00,0
2025-04-15T00:25:59.431866958+00:00,1
2025-04-15T00:25:59.472846583+00:00,0
2025-04-15T00:25:59.481783458+00:00,1
2025-04-15T00:25:59.484077208+00:00,0
2025-04-15T00:25:59.484607417+00:00,1
2025-04-15T00:25:59.580914375+00:00,0
2025-04-15T00:25:59.589851708+00:00,1
2025-04-15T00:25:59.592145500+00:00,0
2025-04-15T00:25:59.592675375+00:00,1
2025-04-15T00:25:59.688982292+00:00,0
2025-04-15T00:25:59.697919958+00:00,1
2025-04-15T00:25:59.700212792+00:00,0
2025-04-15T00:25:59.700743292+00:00,1
2025-04-15T00:25:59.797052583+00:00,0
2025-04-15T00:25:59.805991000+00:00,1
2025-04-15T00:25:59.808284583+00:00,0
2025-04-15T00:25:59.808814792+00:00,1
2025-04-15T00:25:59.905125167+00:00,0
2025-04-15T00:25:59.914062000+00:00,1
2025-04-15T00:25:59.916356375+00:00,0
2025-04-15T00:25:59.916885458+00:00,1
2025-04-15T00:26:00.013191458+00:00,0
2025-04-15T00:26:00.022127750+00:00,1
2025-04-15T00:26:00.024421833+00:00,0
2025-04-15T00:26:00.024951000+00:00,1
2025-04-15T00:26:00.225700667+00:00,1
