Time [s],Channel 0
2025-04-15T00:26:46.558733000+00:00,1
2025-04-15T00:26:46.742024958+00:00,0
2025-04-15T00:26:46.750964875+00:00,1
2025-04-15T00:26:46.755503750+00:00,0
2025-04-15T00:26:46.756034417+00:00,1
2025-04-15T00:26:46.756636250+00:00,0
2025-04-15T00:26:46.757164208+00:00,1
2025-04-15T00:26:46.758892000+00:00,0
2025-04-15T00:26:46.759421000+00:00,1
2025-04-15T00:26:46.760022875+00:00,0
2025-04-15T00:26:46.760550875+00:00,1
2025-04-15T00:26:46.761150833+00:00,0
2025-04-15T00:26:46.761680667+00:00,1
2025-04-15T00:26:46.762281500+00:00,0
2025-04-15T00:26:46.762810417+00:00,1
2025-04-15T00:26:46.763410833+00:00,0
2025-04-15T00:26:46.763940125+00:00,1
2025-04-15T00:26:46.764540208+00:00,0
2025-04-15T00:26:46.765069833+00:00,1
2025-04-15T00:26:46.766797042+00:00,0
2025-04-15T00:26:46.767326333+00:00,1
2025-04-15T00:26:46.769054083+00:00,0
2025-04-15T00:26:46.769582708+00:00,1
2025-04-15T00:26:46.770183292+00:00,0
2025-04-15T00:26:46.770712333+00:00,1
2025-04-15T00:26:46.772438750+00:00,0
2025-04-15T00:26:46.772969083+00:00,1
2025-04-15T00:26:46.774696333+00:00,0
2025-04-15T00:26:46.775225667+00:00,1
2025-04-15T00:26:46.775825625+00:00,0
2025-04-15T00:26:46.776355333+00:00,1
2025-04-15T00:26:46.778082708+00:00,0
2025-04-15T00:26:46.778611917+00:00,1
2025-04-15T00:26:46.780339000+00:00,0
2025-04-15T00:26:46.780868375+00:00,1
2025-04-15T00:26:46.781469125+00:00,0
2025-04-15T00:26:46.781998292+00:00,1
2025-04-15T00:26:46.782597833+00:00,0
2025-04-15T00:26:46.783128208+00:00,1
2025-04-15T00:26:46.783728083+00:00,0
2025-04-15T00:26:46.784257917+00:00,1
2025-04-15T00:26:46.785984833+00:00,0
2025-04-15T00:26:46.786514667+00:00,1
2025-04-15T00:26:46.788242000+00:00,0
2025-04-15T00:26:46.788771625+00:00,1
2025-04-15T00:26:46.790498875+00:00,0
2025-04-15T00:26:46.791028542+00:00,1
2025-04-15T00:26:46.792756167+00:00,0
2025-04-15T00:26:46.793285333+00:00,1
2025-04-15T00:26:46.793885833+00:00,0
2025-04-15T00:26:46.794415042+00:00,1
2025-04-15T00:26:46.795015292+00:00,0
2025-04-15T00:26:46.795544792+00:00,1
2025-04-15T00:26:46.797272125+00:00,0
2025-04-15T00:26:46.797801417+00:00,1
2025-04-15T00:26:46.799528125+00:00,0
2025-04-15T00:26:46.800058167+00:00,1
2025-04-15T00:26:46.800659208+00:00,0
2025-04-15T00:26:46.801187750+00:00,1
2025-04-15T00:26:46.801787292+00:00,0
2025-04-15T00:26:46.802317417+00:00,1
2025-04-15T00:26:46.802900750+00:00,0
2025-04-15T00:26:46.803446958+00:00,1
2025-04-15T00:26:46.804048167+00:00,0
2025-04-15T00:26:46.804576417+00:00,1
2025-04-15T00:26:46.806302917+00:00,0
2025-04-15T00:26:46.806832625+00:00,1
2025-04-15T00:26:46.808561667+00:00,0
2025-04-15T00:26:46.809090292+00:00,1
2025-04-15T00:26:46.850074500+00:00,0
2025-04-15T00:26:46.859014417+00:00,1
2025-04-15T00:26:46.861309375+00:00,0
2025-04-15T00:26:46.861838625+00:00,1
2025-04-15T00:26:46.958153125+00:00,0
2025-04-15T00:26:46.967091833+00:00,1
2025-04-15T00:26:46.969385292+00:00,0
2025-04-15T00:26:46.969915333+00:00,1
2025-04-15T00:26:47.066234708+00:00,0
2025-04-15T00:26:47.075170875+00:00,1
2025-04-15T00:26:47.077464333+00:00,0
2025-04-15T00:26:47.077994625+00:00,1
2025-04-15T00:26:47.174311292+00:00,0
2025-04-15T00:26:47.183249125+00:00,1
2025-04-15T00:26:47.185543750+00:00,0
2025-04-15T00:26:47.186072792+00:00,1
2025-04-15T00:26:47.282383750+00:00,0
2025-04-15T00:26:47.291321750+00:00,1
2025-04-15T00:26:47.293614875+00:00,0
2025-04-15T00:26:47.294145208+00:00,1
2025-04-15T00:26:47.646733000+00:00,1
