Time [s],Channel 0
2025-04-15T00:26:58.300819000+00:00,1
2025-04-15T00:26:58.785267000+00:00,0
2025-04-15T00:26:58.794208875+00:00,1
2025-04-15T00:26:58.798749750+00:00,0
2025-04-15T00:26:58.799279208+00:00,1
2025-04-15T00:26:58.799880000+00:00,0
2025-04-15T00:26:58.800409208+00:00,1
2025-04-15T00:26:58.802137208+00:00,0
2025-04-15T00:26:58.802666625+00:00,1
2025-04-15T00:26:58.803267500+00:00,0
2025-04-15T00:26:58.803796792+00:00,1
2025-04-15T00:26:58.804397875+00:00,0
2025-04-15T00:26:58.804926750+00:00,1
2025-04-15T00:26:58.805527000+00:00,0
2025-04-15T00:26:58.806057083+00:00,1
2025-04-15T00:26:58.806658750+00:00,0
2025-04-15T00:26:58.807187000+00:00,1
2025-04-15T00:26:58.807789542+00:00,0
2025-04-15T00:26:58.808316875+00:00,1
2025-04-15T00:26:58.810045708+00:00,0
2025-04-15T00:26:58.810574042+00:00,1
2025-04-15T00:26:58.812301417+00:00,0
2025-04-15T00:26:58.812831083+00:00,1
2025-04-15T00:26:58.813431083+00:00,0
2025-04-15T00:26:58.813961000+00:00,1
2025-04-15T00:26:58.815691458+00:00,0
2025-04-15T00:26:58.816218500+00:00,1
2025-04-15T00:26:58.817944875+00:00,0
2025-04-15T00:26:58.818475708+00:00,1
2025-04-15T00:26:58.819076792+00:00,0
2025-04-15T00:26:58.819605875+00:00,1
2025-04-15T00:26:58.821332833+00:00,0
2025-04-15T00:26:58.821863042+00:00,1
2025-04-15T00:26:58.823589750+00:00,0
2025-04-15T00:26:58.824120167+00:00,1
2025-04-15T00:26:58.824720875+00:00,0
2025-04-15T00:26:58.825249917+00:00,1
2025-04-15T00:26:58.826977500+00:00,0
2025-04-15T00:26:58.827506833+00:00,1
2025-04-15T00:26:58.829234167+00:00,0
2025-04-15T00:26:58.829763875+00:00,1
2025-04-15T00:26:58.831491208+00:00,0
2025-04-15T00:26:58.832020833+00:00,1
2025-04-15T00:26:58.833748333+00:00,0
2025-04-15T00:26:58.834277875+00:00,1
2025-04-15T00:26:58.834877708+00:00,0
2025-04-15T00:26:58.835407750+00:00,1
2025-04-15T00:26:58.837133917+00:00,0
2025-04-15T00:26:58.837664208+00:00,1
2025-04-15T00:26:58.838264833+00:00,0
2025-04-15T00:26:58.838794167+00:00,1
2025-04-15T00:26:58.839395042+00:00,0
2025-04-15T00:26:58.839923958+00:00,1
2025-04-15T00:26:58.840525417+00:00,0
2025-04-15T00:26:58.841054125+00:00,1
2025-04-15T00:26:58.841654625+00:00,0
2025-04-15T00:26:58.842183875+00:00,1
2025-04-15T00:26:58.842783958+00:00,0
2025-04-15T00:26:58.843313625+00:00,1
2025-04-15T00:26:58.843913000+00:00,0
2025-04-15T00:26:58.844443500+00:00,1
2025-04-15T00:26:58.846171208+00:00,0
2025-04-15T00:26:58.846700417+00:00,1
2025-04-15T00:26:58.847300792+00:00,0
2025-04-15T00:26:58.847830333+00:00,1
2025-04-15T00:26:58.849557500+00:00,0
2025-04-15T00:26:58.850087292+00:00,1
2025-04-15T00:26:58.851816875+00:00,0
2025-04-15T00:26:58.852345208+00:00,1
2025-04-15T00:26:58.893336500+00:00,0
2025-04-15T00:26:58.902276667+00:00,1
2025-04-15T00:26:58.904572083+00:00,0
2025-04-15T00:26:58.905101208+00:00,1
2025-04-15T00:26:59.001428750+00:00,0
2025-04-15T00:26:59.010366875+00:00,1
2025-04-15T00:26:59.012660875+00:00,0
2025-04-15T00:26:59.013190833+00:00,1
2025-04-15T00:26:59.109515500+00:00,0
2025-04-15T00:26:59.118454208+00:00,1
2025-04-15T00:26:59.120749500+00:00,0
2025-04-15T00:26:59.121278500+00:00,1
2025-04-15T00:26:59.217605500+00:00,0
2025-04-15T00:26:59.226545167+00:00,1
2025-04-15T00:26:59.228839208+00:00,0
2025-04-15T00:26:59.229369458+00:00,1
2025-04-15T00:26:59.325698458+00:00,0
2025-04-15T00:26:59.334637875+00:00,1
2025-04-15T00:26:59.336932042+00:00,0
2025-04-15T00:26:59.337461875+00:00,1
2025-04-15T00:26:59.943485667+00:00,1
