Time [s],Channel 0
2026-08-23T10:18:18.448164700+00:00,1
2026-08-23T10:18:20.101304450+00:00,0
2026-08-23T10:18:20.110323950+00:00,1
2026-08-23T10:18:20.114793617+00:00,0
2026-08-23T10:18:20.115402617+00:00,1
2026-08-23T10:18:20.117049867+00:00,0
2026-08-23T10:18:20.117657950+00:00,1
2026-08-23T10:18:20.119310117+00:00,0
2026-08-23T10:18:20.119916658+00:00,1
2026-08-23T10:18:20.120444908+00:00,0
2026-08-23T10:18:20.121050575+00:00,1
2026-08-23T10:18:20.121579533+00:00,0
2026-08-23T10:18:20.122111450+00:00,1
2026-08-23T10:18:20.123835242+00:00,0
2026-08-23T10:18:20.124443367+00:00,1
2026-08-23T10:18:20.124970908+00:00,0
2026-08-23T10:18:20.125575158+00:00,1
2026-08-23T10:18:20.126104492+00:00,0
2026-08-23T10:18:20.126636325+00:00,1
2026-08-23T10:18:20.127238700+00:00,0
2026-08-23T10:18:20.127844575+00:00,1
2026-08-23T10:18:20.129495783+00:00,0
2026-08-23T10:18:20.130100075+00:00,1
2026-08-23T10:18:20.131753075+00:00,0
2026-08-23T10:18:20.132362867+00:00,1
2026-08-23T10:18:20.134012742+00:00,0
2026-08-23T10:18:20.134620367+00:00,1
2026-08-23T10:18:20.135147200+00:00,0
2026-08-23T10:18:20.135753742+00:00,1
2026-08-23T10:18:20.137404783+00:00,0
2026-08-23T10:18:20.138012367+00:00,1
2026-08-23T10:18:20.138540075+00:00,0
2026-08-23T10:18:20.139148700+00:00,1
2026-08-23T10:18:20.139673450+00:00,0
2026-08-23T10:18:20.140279408+00:00,1
2026-08-23T10:18:20.140807992+00:00,0
2026-08-23T10:18:20.141413158+00:00,1
2026-08-23T10:18:20.141941658+00:00,0
2026-08-23T10:18:20.142548450+00:00,1
2026-08-23T10:18:20.143075367+00:00,0
2026-08-23T10:18:20.143680783+00:00,1
2026-08-23T10:18:20.144209867+00:00,0
2026-08-23T10:18:20.144742867+00:00,1
2026-08-23T10:18:20.145345200+00:00,0
2026-08-23T10:18:20.145950158+00:00,1
2026-08-23T10:18:20.147602283+00:00,0
2026-08-23T10:18:20.148210242+00:00,1
2026-08-23T10:18:20.149860200+00:00,0
2026-08-23T10:18:20.150393283+00:00,1
2026-08-23T10:18:20.152118783+00:00,0
2026-08-23T10:18:20.152726075+00:00,1
2026-08-23T10:18:20.154376408+00:00,0
2026-08-23T10:18:20.154983200+00:00,1
2026-08-23T10:18:20.155510033+00:00,0
2026-08-23T10:18:20.156115242+00:00,1
2026-08-23T10:18:20.156643950+00:00,0
2026-08-23T10:18:20.157248075+00:00,1
2026-08-23T10:18:20.157776242+00:00,0
2026-08-23T10:18:20.158385658+00:00,1
2026-08-23T10:18:20.158910408+00:00,0
2026-08-23T10:18:20.159516658+00:00,1
2026-08-23T10:18:20.161166158+00:00,0
2026-08-23T10:18:20.161773283+00:00,1
2026-08-23T10:18:20.163423908+00:00,0
2026-08-23T10:18:20.164028283+00:00,1
2026-08-23T10:18:20.165680367+00:00,0
2026-08-23T10:18:20.166287075+00:00,1
2026-08-23T10:18:20.167937617+00:00,0
2026-08-23T10:18:20.168541658+00:00,1
2026-08-23T10:18:20.169072325+00:00,0
2026-08-23T10:18:20.169675742+00:00,1
2026-08-23T10:18:20.171327283+00:00,0
2026-08-23T10:18:20.171935908+00:00,1
2026-08-23T10:18:20.173585325+00:00,0
2026-08-23T10:18:20.174191575+00:00,1
2026-08-23T10:18:20.174718075+00:00,0
2026-08-23T10:18:20.175249658+00:00,1
2026-08-23T10:18:20.176975242+00:00,0
2026-08-23T10:18:20.177577825+00:00,1
2026-08-23T10:18:20.179230950+00:00,0
2026-08-23T10:18:20.179763158+00:00,1
2026-08-23T10:18:20.180365117+00:00,0
2026-08-23T10:18:20.180970283+00:00,1
2026-08-23T10:18:20.181497867+00:00,0
2026-08-23T10:18:20.182103408+00:00,1
2026-08-23T10:18:20.183754033+00:00,0
2026-08-23T10:18:20.184360575+00:00,1
2026-08-23T10:18:20.184888408+00:00,0
2026-08-23T10:18:20.185420200+00:00,1
2026-08-23T10:18:20.186021492+00:00,0
2026-08-23T10:18:20.186627242+00:00,1
2026-08-23T10:18:20.188279283+00:00,0
2026-08-23T10:18:20.188886950+00:00,1
2026-08-23T10:18:20.189413950+00:00,0
2026-08-23T10:18:20.190022908+00:00,1
2026-08-23T10:18:20.190550450+00:00,0
2026-08-23T10:18:20.191082283+00:00,1
2026-08-23T10:18:20.192807617+00:00,0
2026-08-23T10:18:20.193415200+00:00,1
2026-08-23T10:18:20.195064117+00:00,0
2026-08-23T10:18:20.195672575+00:00,1
2026-08-23T10:18:20.227402200+00:00,0
2026-08-23T10:18:20.236338075+00:00,1
2026-08-23T10:18:20.238631867+00:00,0
2026-08-23T10:18:20.239237617+00:00,1
2026-08-23T10:18:23.077498033+00:00,1
