Time [s],Channel 0
2026-08-23T10:19:17.113474500+00:00,1
2026-08-23T10:19:18.861461667+00:00,0
2026-08-23T10:19:18.870482208+00:00,1
2026-08-23T10:19:18.874947125+00:00,0
2026-08-23T10:19:18.875554667+00:00,1
2026-08-23T10:19:18.877201292+00:00,0
2026-08-23T10:19:18.877811375+00:00,1
2026-08-23T10:19:18.879458500+00:00,0
2026-08-23T10:19:18.880067625+00:00,1
2026-08-23T10:19:18.880592250+00:00,0
2026-08-23T10:19:18.881200750+00:00,1
2026-08-23T10:19:18.881723792+00:00,0
2026-08-23T10:19:18.882333167+00:00,1
2026-08-23T10:19:18.883979750+00:00,0
2026-08-23T10:19:18.884586167+00:00,1
2026-08-23T10:19:18.885113000+00:00,0
2026-08-23T10:19:18.885721417+00:00,1
2026-08-23T10:19:18.886247500+00:00,0
2026-08-23T10:19:18.886853792+00:00,1
2026-08-23T10:19:18.887379667+00:00,0
2026-08-23T10:19:18.887986000+00:00,1
2026-08-23T10:19:18.889635792+00:00,0
2026-08-23T10:19:18.890241583+00:00,1
2026-08-23T10:19:18.891891000+00:00,0
2026-08-23T10:19:18.892497083+00:00,1
2026-08-23T10:19:18.894146208+00:00,0
2026-08-23T10:19:18.894755000+00:00,1
2026-08-23T10:19:18.895279375+00:00,0
2026-08-23T10:19:18.895886958+00:00,1
2026-08-23T10:19:18.897534708+00:00,0
2026-08-23T10:19:18.898145333+00:00,1
2026-08-23T10:19:18.898668000+00:00,0
2026-08-23T10:19:18.899276208+00:00,1
2026-08-23T10:19:18.899800542+00:00,0
2026-08-23T10:19:18.900408792+00:00,1
2026-08-23T10:19:18.900932542+00:00,0
2026-08-23T10:19:18.901540000+00:00,1
2026-08-23T10:19:18.902064208+00:00,0
2026-08-23T10:19:18.902672583+00:00,1
2026-08-23T10:19:18.903198000+00:00,0
2026-08-23T10:19:18.903805833+00:00,1
2026-08-23T10:19:18.904330958+00:00,0
2026-08-23T10:19:18.904936625+00:00,1
2026-08-23T10:19:18.905462083+00:00,0
2026-08-23T10:19:18.906070000+00:00,1
2026-08-23T10:19:18.907717250+00:00,0
2026-08-23T10:19:18.908327083+00:00,1
2026-08-23T10:19:18.909971958+00:00,0
2026-08-23T10:19:18.910580750+00:00,1
2026-08-23T10:19:18.912229375+00:00,0
2026-08-23T10:19:18.912834000+00:00,1
2026-08-23T10:19:18.914484542+00:00,0
2026-08-23T10:19:18.915091792+00:00,1
2026-08-23T10:19:18.915618250+00:00,0
2026-08-23T10:19:18.916222833+00:00,1
2026-08-23T10:19:18.916750833+00:00,0
2026-08-23T10:19:18.917358375+00:00,1
2026-08-23T10:19:18.917882833+00:00,0
2026-08-23T10:19:18.918490958+00:00,1
2026-08-23T10:19:18.919015875+00:00,0
2026-08-23T10:19:18.919622333+00:00,1
2026-08-23T10:19:18.921269792+00:00,0
2026-08-23T10:19:18.921875375+00:00,1
2026-08-23T10:19:18.923523208+00:00,0
2026-08-23T10:19:18.924127375+00:00,1
2026-08-23T10:19:18.925777750+00:00,0
2026-08-23T10:19:18.926385667+00:00,1
2026-08-23T10:19:18.928032958+00:00,0
2026-08-23T10:19:18.928640750+00:00,1
2026-08-23T10:19:18.929164958+00:00,0
2026-08-23T10:19:18.929770667+00:00,1
2026-08-23T10:19:18.930296333+00:00,0
2026-08-23T10:19:18.930903208+00:00,1
2026-08-23T10:19:18.932551917+00:00,0
2026-08-23T10:19:18.933159917+00:00,1
2026-08-23T10:19:18.934805542+00:00,0
2026-08-23T10:19:18.935412958+00:00,1
2026-08-23T10:19:18.937060292+00:00,0
2026-08-23T10:19:18.937668583+00:00,1
2026-08-23T10:19:18.939315083+00:00,0
2026-08-23T10:19:18.939924625+00:00,1
2026-08-23T10:19:18.940448042+00:00,0
2026-08-23T10:19:18.941054125+00:00,1
2026-08-23T10:19:18.941581333+00:00,0
2026-08-23T10:19:18.942187583+00:00,1
2026-08-23T10:19:18.943835750+00:00,0
2026-08-23T10:19:18.944443167+00:00,1
2026-08-23T10:19:18.946092458+00:00,0
2026-08-23T10:19:18.946698333+00:00,1
2026-08-23T10:19:18.947226542+00:00,0
2026-08-23T10:19:18.947834625+00:00,1
2026-08-23T10:19:18.948360958+00:00,0
2026-08-23T10:19:18.948893125+00:00,1
2026-08-23T10:19:18.949494250+00:00,0
2026-08-23T10:19:18.950098083+00:00,1
2026-08-23T10:19:18.950626458+00:00,0
2026-08-23T10:19:18.951231792+00:00,1
2026-08-23T10:19:18.952880375+00:00,0
2026-08-23T10:19:18.953413083+00:00,1
2026-08-23T10:19:18.955136208+00:00,0
2026-08-23T10:19:18.955742833+00:00,1
2026-08-23T10:19:18.987411208+00:00,0
2026-08-23T10:19:18.996427500+00:00,1
2026-08-23T10:19:18.998647667+00:00,0
2026-08-23T10:19:18.999254375+00:00,1
2026-08-23T10:19:22.318807833+00:00,1
