Time [s],Channel 0
2026-08-23T10:15:37.583729800+00:00,1
2026-08-23T10:15:42.068695883+00:00,0
2026-08-23T10:15:42.077715592+00:00,1
2026-08-23T10:15:42.082176300+00:00,0
2026-08-23T10:15:42.082786383+00:00,1
2026-08-23T10:15:42.084430633+00:00,0
2026-08-23T10:15:42.085042383+00:00,1
2026-08-23T10:15:42.086686550+00:00,0
2026-08-23T10:15:42.087296758+00:00,1
2026-08-23T10:15:42.087819550+00:00,0
2026-08-23T10:15:42.088428592+00:00,1
2026-08-23T10:15:42.088951467+00:00,0
2026-08-23T10:15:42.089560758+00:00,1
2026-08-23T10:15:42.091206092+00:00,0
2026-08-23T10:15:42.091815717+00:00,1
2026-08-23T10:15:42.092338508+00:00,0
2026-08-23T10:15:42.092947758+00:00,1
2026-08-23T10:15:42.093470175+00:00,0
2026-08-23T10:15:42.094079967+00:00,1
2026-08-23T10:15:42.094601800+00:00,0
2026-08-23T10:15:42.095212217+00:00,1
2026-08-23T10:15:42.096855175+00:00,0
2026-08-23T10:15:42.097464467+00:00,1
2026-08-23T10:15:42.099111133+00:00,0
2026-08-23T10:15:42.099722217+00:00,1
2026-08-23T10:15:42.101369550+00:00,0
2026-08-23T10:15:42.101977133+00:00,1
2026-08-23T10:15:42.102501717+00:00,0
2026-08-23T10:15:42.103111050+00:00,1
2026-08-23T10:15:42.104756133+00:00,0
2026-08-23T10:15:42.105366467+00:00,1
2026-08-23T10:15:42.105888967+00:00,0
2026-08-23T10:15:42.106498675+00:00,1
2026-08-23T10:15:42.107022092+00:00,0
2026-08-23T10:15:42.107630717+00:00,1
2026-08-23T10:15:42.108154592+00:00,0
2026-08-23T10:15:42.108764342+00:00,1
2026-08-23T10:15:42.109287550+00:00,0
2026-08-23T10:15:42.109897633+00:00,1
2026-08-23T10:15:42.110420175+00:00,0
2026-08-23T10:15:42.111031633+00:00,1
2026-08-23T10:15:42.111553550+00:00,0
2026-08-23T10:15:42.112163592+00:00,1
2026-08-23T10:15:42.112686425+00:00,0
2026-08-23T10:15:42.113295758+00:00,1
2026-08-23T10:15:42.114941758+00:00,0
2026-08-23T10:15:42.115552133+00:00,1
2026-08-23T10:15:42.117199550+00:00,0
2026-08-23T10:15:42.117808717+00:00,1
2026-08-23T10:15:42.119455383+00:00,0
2026-08-23T10:15:42.120066133+00:00,1
2026-08-23T10:15:42.121712508+00:00,0
2026-08-23T10:15:42.122322675+00:00,1
2026-08-23T10:15:42.122846467+00:00,0
2026-08-23T10:15:42.123454508+00:00,1
2026-08-23T10:15:42.123978342+00:00,0
2026-08-23T10:15:42.124588008+00:00,1
2026-08-23T10:15:42.125111800+00:00,0
2026-08-23T10:15:42.125721092+00:00,1
2026-08-23T10:15:42.126244675+00:00,0
2026-08-23T10:15:42.126855383+00:00,1
2026-08-23T10:15:42.128502258+00:00,0
2026-08-23T10:15:42.129112175+00:00,1
2026-08-23T10:15:42.130757633+00:00,0
2026-08-23T10:15:42.131368175+00:00,1
2026-08-23T10:15:42.133015300+00:00,0
2026-08-23T10:15:42.133626050+00:00,1
2026-08-23T10:15:42.135271175+00:00,0
2026-08-23T10:15:42.135882133+00:00,1
2026-08-23T10:15:42.136405258+00:00,0
2026-08-23T10:15:42.137014717+00:00,1
2026-08-23T10:15:42.137538342+00:00,0
2026-08-23T10:15:42.138148342+00:00,1
2026-08-23T10:15:42.138670217+00:00,0
2026-08-23T10:15:42.139281383+00:00,1
2026-08-23T10:15:42.139803758+00:00,0
2026-08-23T10:15:42.140414467+00:00,1
2026-08-23T10:15:42.142059758+00:00,0
2026-08-23T10:15:42.142670967+00:00,1
2026-08-23T10:15:42.144317425+00:00,0
2026-08-23T10:15:42.144927133+00:00,1
2026-08-23T10:15:42.145450592+00:00,0
2026-08-23T10:15:42.146059633+00:00,1
2026-08-23T10:15:42.146584008+00:00,0
2026-08-23T10:15:42.147193383+00:00,1
2026-08-23T10:15:42.148839175+00:00,0
2026-08-23T10:15:42.149449300+00:00,1
2026-08-23T10:15:42.151095425+00:00,0
2026-08-23T10:15:42.151707300+00:00,1
2026-08-23T10:15:42.153352633+00:00,0
2026-08-23T10:15:42.153964133+00:00,1
2026-08-23T10:15:42.155608883+00:00,0
2026-08-23T10:15:42.156219550+00:00,1
2026-08-23T10:15:42.156742050+00:00,0
2026-08-23T10:15:42.157353592+00:00,1
2026-08-23T10:15:42.157876800+00:00,0
2026-08-23T10:15:42.158486050+00:00,1
2026-08-23T10:15:42.160132300+00:00,0
2026-08-23T10:15:42.160742425+00:00,1
2026-08-23T10:15:42.162389467+00:00,0
2026-08-23T10:15:42.163000425+00:00,1
2026-08-23T10:15:42.194744633+00:00,0
2026-08-23T10:15:42.203768842+00:00,1
2026-08-23T10:15:42.205987383+00:00,0
2026-08-23T10:15:42.206597092+00:00,1
2026-08-23T10:15:42.302490592+00:00,0
2026-08-23T10:15:42.311512175+00:00,1
2026-08-23T10:15:42.313731925+00:00,0
2026-08-23T10:15:42.314342092+00:00,1
2026-08-23T10:15:44.922396467+00:00,1
