Time [s],Channel 0
2026-08-23T10:17:34.756114800+00:00,1
2026-08-23T10:17:38.701108383+00:00,0
2026-08-23T10:17:38.710126883+00:00,1
2026-08-23T10:17:38.714586758+00:00,0
2026-08-23T10:17:38.715196633+00:00,1
2026-08-23T10:17:38.716840425+00:00,0
2026-08-23T10:17:38.717450092+00:00,1
2026-08-23T10:17:38.719095758+00:00,0
2026-08-23T10:17:38.719706383+00:00,1
2026-08-23T10:17:38.720229758+00:00,0
2026-08-23T10:17:38.720838425+00:00,1
2026-08-23T10:17:38.721361633+00:00,0
2026-08-23T10:17:38.721971633+00:00,1
2026-08-23T10:17:38.723616092+00:00,0
2026-08-23T10:17:38.724225508+00:00,1
2026-08-23T10:17:38.724748092+00:00,0
2026-08-23T10:17:38.725359008+00:00,1
2026-08-23T10:17:38.725881008+00:00,0
2026-08-23T10:17:38.726490675+00:00,1
2026-08-23T10:17:38.727012800+00:00,0
2026-08-23T10:17:38.727623217+00:00,1
2026-08-23T10:17:38.729267508+00:00,0
2026-08-23T10:17:38.729877383+00:00,1
2026-08-23T10:17:38.731521883+00:00,0
2026-08-23T10:17:38.732132050+00:00,1
2026-08-23T10:17:38.733778592+00:00,0
2026-08-23T10:17:38.734388258+00:00,1
2026-08-23T10:17:38.734911675+00:00,0
2026-08-23T10:17:38.735520925+00:00,1
2026-08-23T10:17:38.737166133+00:00,0
2026-08-23T10:17:38.737777342+00:00,1
2026-08-23T10:17:38.738299883+00:00,0
2026-08-23T10:17:38.738909842+00:00,1
2026-08-23T10:17:38.739433967+00:00,0
2026-08-23T10:17:38.740046008+00:00,1
2026-08-23T10:17:38.740569092+00:00,0
2026-08-23T10:17:38.741178717+00:00,1
2026-08-23T10:17:38.741701508+00:00,0
2026-08-23T10:17:38.742310592+00:00,1
2026-08-23T10:17:38.742834758+00:00,0
2026-08-23T10:17:38.743444092+00:00,1
2026-08-23T10:17:38.743966592+00:00,0
2026-08-23T10:17:38.744576758+00:00,1
2026-08-23T10:17:38.745100133+00:00,0
2026-08-23T10:17:38.745709883+00:00,1
2026-08-23T10:17:38.747354342+00:00,0
2026-08-23T10:17:38.747962467+00:00,1
2026-08-23T10:17:38.749610842+00:00,0
2026-08-23T10:17:38.750221008+00:00,1
2026-08-23T10:17:38.751867008+00:00,0
2026-08-23T10:17:38.752474758+00:00,1
2026-08-23T10:17:38.754123675+00:00,0
2026-08-23T10:17:38.754733592+00:00,1
2026-08-23T10:17:38.755258050+00:00,0
2026-08-23T10:17:38.755865133+00:00,1
2026-08-23T10:17:38.756389842+00:00,0
2026-08-23T10:17:38.756998342+00:00,1
2026-08-23T10:17:38.757522258+00:00,0
2026-08-23T10:17:38.758132675+00:00,1
2026-08-23T10:17:38.758656008+00:00,0
2026-08-23T10:17:38.759266592+00:00,1
2026-08-23T10:17:38.760914300+00:00,0
2026-08-23T10:17:38.761525050+00:00,1
2026-08-23T10:17:38.763173133+00:00,0
2026-08-23T10:17:38.763782133+00:00,1
2026-08-23T10:17:38.765430508+00:00,0
2026-08-23T10:17:38.766041508+00:00,1
2026-08-23T10:17:38.767689592+00:00,0
2026-08-23T10:17:38.768299300+00:00,1
2026-08-23T10:17:38.768820883+00:00,0
2026-08-23T10:17:38.769429508+00:00,1
2026-08-23T10:17:38.771076467+00:00,0
2026-08-23T10:17:38.771686175+00:00,1
2026-08-23T10:17:38.772210383+00:00,0
2026-08-23T10:17:38.772821008+00:00,1
2026-08-23T10:17:38.773343925+00:00,0
2026-08-23T10:17:38.773952508+00:00,1
2026-08-23T10:17:38.775598550+00:00,0
2026-08-23T10:17:38.776206550+00:00,1
2026-08-23T10:17:38.777852133+00:00,0
2026-08-23T10:17:38.778461425+00:00,1
2026-08-23T10:17:38.778985800+00:00,0
2026-08-23T10:17:38.779594133+00:00,1
2026-08-23T10:17:38.780117342+00:00,0
2026-08-23T10:17:38.780726425+00:00,1
2026-08-23T10:17:38.782372675+00:00,0
2026-08-23T10:17:38.782982258+00:00,1
2026-08-23T10:17:38.783505342+00:00,0
2026-08-23T10:17:38.784114842+00:00,1
2026-08-23T10:17:38.785759342+00:00,0
2026-08-23T10:17:38.786369425+00:00,1
2026-08-23T10:17:38.788013425+00:00,0
2026-08-23T10:17:38.788622592+00:00,1
2026-08-23T10:17:38.789145883+00:00,0
2026-08-23T10:17:38.789754508+00:00,1
2026-08-23T10:17:38.790277592+00:00,0
2026-08-23T10:17:38.790885425+00:00,1
2026-08-23T10:17:38.792533758+00:00,0
2026-08-23T10:17:38.793145175+00:00,1
2026-08-23T10:17:38.794792675+00:00,0
2026-08-23T10:17:38.795400883+00:00,1
2026-08-23T10:17:38.827079967+00:00,0
2026-08-23T10:17:38.836095633+00:00,1
2026-08-23T10:17:38.838313175+00:00,0
2026-08-23T10:17:38.838924092+00:00,1
2026-08-23T10:17:42.158781467+00:00,1
