Time [s],Channel 0
2026-08-23T10:19:42.717742600+00:00,1
2026-08-23T10:19:44.848466767+00:00,0
2026-08-23T10:19:44.857409600+00:00,1
2026-08-23T10:19:44.861951142+00:00,0
2026-08-23T10:19:44.862483433+00:00,1
2026-08-23T10:19:44.864207267+00:00,0
2026-08-23T10:19:44.864810725+00:00,1
2026-08-23T10:19:44.866463475+00:00,0
2026-08-23T10:19:44.866995558+00:00,1
2026-08-23T10:19:44.867596058+00:00,0
2026-08-23T10:19:44.868128267+00:00,1
2026-08-23T10:19:44.868729225+00:00,0
2026-08-23T10:19:44.869260975+00:00,1
2026-08-23T10:19:44.870984017+00:00,0
2026-08-23T10:19:44.871516433+00:00,1
2026-08-23T10:19:44.872117642+00:00,0
2026-08-23T10:19:44.872649100+00:00,1
2026-08-23T10:19:44.873250725+00:00,0
2026-08-23T10:19:44.873782475+00:00,1
2026-08-23T10:19:44.874383267+00:00,0
2026-08-23T10:19:44.874915142+00:00,1
2026-08-23T10:19:44.876638975+00:00,0
2026-08-23T10:19:44.877242725+00:00,1
2026-08-23T10:19:44.878894767+00:00,0
2026-08-23T10:19:44.879501475+00:00,1
2026-08-23T10:19:44.881150225+00:00,0
2026-08-23T10:19:44.881682933+00:00,1
2026-08-23T10:19:44.882283517+00:00,0
2026-08-23T10:19:44.882815558+00:00,1
2026-08-23T10:19:44.884539017+00:00,0
2026-08-23T10:19:44.885071892+00:00,1
2026-08-23T10:19:44.885671850+00:00,0
2026-08-23T10:19:44.886204475+00:00,1
2026-08-23T10:19:44.886804850+00:00,0
2026-08-23T10:19:44.887337017+00:00,1
2026-08-23T10:19:44.887937725+00:00,0
2026-08-23T10:19:44.888469017+00:00,1
2026-08-23T10:19:44.889070683+00:00,0
2026-08-23T10:19:44.889601517+00:00,1
2026-08-23T10:19:44.890203308+00:00,0
2026-08-23T10:19:44.890734225+00:00,1
2026-08-23T10:19:44.891336058+00:00,0
2026-08-23T10:19:44.891867267+00:00,1
2026-08-23T10:19:44.892468683+00:00,0
2026-08-23T10:19:44.893000308+00:00,1
2026-08-23T10:19:44.894724058+00:00,0
2026-08-23T10:19:44.895255142+00:00,1
2026-08-23T10:19:44.896977600+00:00,0
2026-08-23T10:19:44.897510017+00:00,1
2026-08-23T10:19:44.899233308+00:00,0
2026-08-23T10:19:44.899764683+00:00,1
2026-08-23T10:19:44.901487892+00:00,0
2026-08-23T10:19:44.902018558+00:00,1
2026-08-23T10:19:44.902619475+00:00,0
2026-08-23T10:19:44.903150725+00:00,1
2026-08-23T10:19:44.903751100+00:00,0
2026-08-23T10:19:44.904282808+00:00,1
2026-08-23T10:19:44.904883475+00:00,0
2026-08-23T10:19:44.905414725+00:00,1
2026-08-23T10:19:44.906015642+00:00,0
2026-08-23T10:19:44.906547350+00:00,1
2026-08-23T10:19:44.908271558+00:00,0
2026-08-23T10:19:44.908803392+00:00,1
2026-08-23T10:19:44.910526433+00:00,0
2026-08-23T10:19:44.911058433+00:00,1
2026-08-23T10:19:44.912782517+00:00,0
2026-08-23T10:19:44.913313350+00:00,1
2026-08-23T10:19:44.915036058+00:00,0
2026-08-23T10:19:44.915567892+00:00,1
2026-08-23T10:19:44.916169350+00:00,0
2026-08-23T10:19:44.916700225+00:00,1
2026-08-23T10:19:44.918421975+00:00,0
2026-08-23T10:19:44.918954433+00:00,1
2026-08-23T10:19:44.920676767+00:00,0
2026-08-23T10:19:44.921209433+00:00,1
2026-08-23T10:19:44.922934308+00:00,0
2026-08-23T10:19:44.923465308+00:00,1
2026-08-23T10:19:44.925189267+00:00,0
2026-08-23T10:19:44.925720683+00:00,1
2026-08-23T10:19:44.927443308+00:00,0
2026-08-23T10:19:44.927975392+00:00,1
2026-08-23T10:19:44.928575600+00:00,0
2026-08-23T10:19:44.929107308+00:00,1
2026-08-23T10:19:44.929708017+00:00,0
2026-08-23T10:19:44.930239350+00:00,1
2026-08-23T10:19:44.931962142+00:00,0
2026-08-23T10:19:44.932493225+00:00,1
2026-08-23T10:19:44.933093850+00:00,0
2026-08-23T10:19:44.933625433+00:00,1
2026-08-23T10:19:44.934226642+00:00,0
2026-08-23T10:19:44.934757892+00:00,1
2026-08-23T10:19:44.935358642+00:00,0
2026-08-23T10:19:44.935889933+00:00,1
2026-08-23T10:19:44.936491475+00:00,0
2026-08-23T10:19:44.937021767+00:00,1
2026-08-23T10:19:44.937622517+00:00,0
2026-08-23T10:19:44.938154058+00:00,1
2026-08-23T10:19:44.939876892+00:00,0
2026-08-23T10:19:44.940408642+00:00,1
2026-08-23T10:19:44.942131975+00:00,0
2026-08-23T10:19:44.942663808+00:00,1
2026-08-23T10:19:44.974490058+00:00,0
2026-08-23T10:19:44.983503933+00:00,1
2026-08-23T10:19:44.985724850+00:00,0
2026-08-23T10:19:44.986331642+00:00,1
2026-08-23T10:19:48.861742600+00:00,1
