Time [s],Channel 0
2026-08-23T10:18:49.994050100+00:00,1
2026-08-23T10:18:51.562471850+00:00,0
2026-08-23T10:18:51.571516933+00:00,1
2026-08-23T10:18:51.575983642+00:00,0
2026-08-23T10:18:51.576591642+00:00,1
2026-08-23T10:18:51.578238142+00:00,0
2026-08-23T10:18:51.578848558+00:00,1
2026-08-23T10:18:51.580495892+00:00,0
2026-08-23T10:18:51.581098808+00:00,1
2026-08-23T10:18:51.581628850+00:00,0
2026-08-23T10:18:51.582236892+00:00,1
2026-08-23T10:18:51.582761517+00:00,0
2026-08-23T10:18:51.583367600+00:00,1
2026-08-23T10:18:51.585017225+00:00,0
2026-08-23T10:18:51.585625725+00:00,1
2026-08-23T10:18:51.586151558+00:00,0
2026-08-23T10:18:51.586761058+00:00,1
2026-08-23T10:18:51.587284433+00:00,0
2026-08-23T10:18:51.587894308+00:00,1
2026-08-23T10:18:51.588416558+00:00,0
2026-08-23T10:18:51.589026183+00:00,1
2026-08-23T10:18:51.590671058+00:00,0
2026-08-23T10:18:51.591280267+00:00,1
2026-08-23T10:18:51.592926267+00:00,0
2026-08-23T10:18:51.593534642+00:00,1
2026-08-23T10:18:51.595184767+00:00,0
2026-08-23T10:18:51.595796183+00:00,1
2026-08-23T10:18:51.596321558+00:00,0
2026-08-23T10:18:51.596931975+00:00,1
2026-08-23T10:18:51.598578892+00:00,0
2026-08-23T10:18:51.599188267+00:00,1
2026-08-23T10:18:51.599713225+00:00,0
2026-08-23T10:18:51.600320308+00:00,1
2026-08-23T10:18:51.600846142+00:00,0
2026-08-23T10:18:51.601456058+00:00,1
2026-08-23T10:18:51.601980100+00:00,0
2026-08-23T10:18:51.602590517+00:00,1
2026-08-23T10:18:51.603113892+00:00,0
2026-08-23T10:18:51.603724808+00:00,1
2026-08-23T10:18:51.604248850+00:00,0
2026-08-23T10:18:51.604856392+00:00,1
2026-08-23T10:18:51.605383350+00:00,0
2026-08-23T10:18:51.605992392+00:00,1
2026-08-23T10:18:51.606517267+00:00,0
2026-08-23T10:18:51.607125850+00:00,1
2026-08-23T10:18:51.608772517+00:00,0
2026-08-23T10:18:51.609382308+00:00,1
2026-08-23T10:18:51.611030392+00:00,0
2026-08-23T10:18:51.611639017+00:00,1
2026-08-23T10:18:51.613286017+00:00,0
2026-08-23T10:18:51.613896142+00:00,1
2026-08-23T10:18:51.615541642+00:00,0
2026-08-23T10:18:51.616152225+00:00,1
2026-08-23T10:18:51.616674892+00:00,0
2026-08-23T10:18:51.617284517+00:00,1
2026-08-23T10:18:51.617808308+00:00,0
2026-08-23T10:18:51.618415392+00:00,1
2026-08-23T10:18:51.618940517+00:00,0
2026-08-23T10:18:51.619551350+00:00,1
2026-08-23T10:18:51.620074183+00:00,0
2026-08-23T10:18:51.620681558+00:00,1
2026-08-23T10:18:51.622329142+00:00,0
2026-08-23T10:18:51.622937392+00:00,1
2026-08-23T10:18:51.624585100+00:00,0
2026-08-23T10:18:51.625193767+00:00,1
2026-08-23T10:18:51.626841600+00:00,0
2026-08-23T10:18:51.627450933+00:00,1
2026-08-23T10:18:51.629098933+00:00,0
2026-08-23T10:18:51.629706142+00:00,1
2026-08-23T10:18:51.630231058+00:00,0
2026-08-23T10:18:51.630840433+00:00,1
2026-08-23T10:18:51.631365267+00:00,0
2026-08-23T10:18:51.631974392+00:00,1
2026-08-23T10:18:51.632497933+00:00,0
2026-08-23T10:18:51.633108058+00:00,1
2026-08-23T10:18:51.634753892+00:00,0
2026-08-23T10:18:51.635364600+00:00,1
2026-08-23T10:18:51.637010475+00:00,0
2026-08-23T10:18:51.637621392+00:00,1
2026-08-23T10:18:51.639267975+00:00,0
2026-08-23T10:18:51.639876683+00:00,1
2026-08-23T10:18:51.640400892+00:00,0
2026-08-23T10:18:51.641009308+00:00,1
2026-08-23T10:18:51.641534558+00:00,0
2026-08-23T10:18:51.642143475+00:00,1
2026-08-23T10:18:51.643790558+00:00,0
2026-08-23T10:18:51.644398892+00:00,1
2026-08-23T10:18:51.646047183+00:00,0
2026-08-23T10:18:51.646655850+00:00,1
2026-08-23T10:18:51.648304517+00:00,0
2026-08-23T10:18:51.648915975+00:00,1
2026-08-23T10:18:51.649438683+00:00,0
2026-08-23T10:18:51.650048475+00:00,1
2026-08-23T10:18:51.650571517+00:00,0
2026-08-23T10:18:51.651181058+00:00,1
2026-08-23T10:18:51.651707433+00:00,0
2026-08-23T10:18:51.652315392+00:00,1
2026-08-23T10:18:51.653962892+00:00,0
2026-08-23T10:18:51.654571058+00:00,1
2026-08-23T10:18:51.656220600+00:00,0
2026-08-23T10:18:51.656830267+00:00,1
2026-08-23T10:18:51.688226183+00:00,0
2026-08-23T10:18:51.697251475+00:00,1
2026-08-23T10:18:51.699471767+00:00,0
2026-08-23T10:18:51.700083517+00:00,1
2026-08-23T10:18:54.111383433+00:00,1
